,group,variable,month,NÚMERO DE IMPLANTES RETIRADOS < 15,NÚMERO DE IMPLANTES RETIRADOS 15 - 19,NÚMERO DE IMPLANTES RETIRADOS 20 - 34,NÚMERO DE IMPLANTES RETIRADOS 35 - 49,NÚMERO DE IMPLANTES RETIRADOS 50 Y +,TOTALES
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,5,4,0,9
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,4,2,0,7
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,1,0,4
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,9,2,1,13
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,7,1,0,8
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,2,0,4
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,1,0,7
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,4,2,0,6
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,4,0,7
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,5,0,0,5
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,6,1,0,8
CHOQUE COTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
CHUA COCANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,2,1,0,4
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,3,0,4
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,5,0,0,5
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,8,38,8,0,54
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,4,0,6
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,3,127,47,1,178
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,7,0,0,7
COLLANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,0,3,0,4
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,7,1,0,9
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,1,1,4
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,1,0,3
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,3,0,9
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,2,1,4
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,5,3,0,8
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,11,0,0,12
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,3,2,0,6
DESAGUADERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,2,84,14,0,100
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,0,0,3
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,3,0,9
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,1,0,4
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,10,2,0,12
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,0,0,6
ESCARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
EXALTACION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,3,0,0,4
FILADELFIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,1,2,1,1,0,5
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,1,0,7
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,0,0,0,1
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
HUACHACALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,3,0,0,4
HUARINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,0,1,0,1
HUAYLLAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,4,1,0,5
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,1,0,3
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,5,2,0,8
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,3,1,0,5
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,1,3,106,41,0,151
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,5,4,1,10
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,10,1,0,11
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
LORETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,0,0,3
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,3,1,0,5
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,5,0,0,5
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,1,0,7
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,0,1,0,1
MOJINETE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,0,1,0,1
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,15,3,0,19
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,8,0,0,9
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,2,0,0,3
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,1,0,3
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,1,5,53,29,0,88
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,12,3,0,15
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,5,2,0,7
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,4,1,0,5
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,3,0,9
PAPEL PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,0,0,3
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,2,0,4
POCONA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,0,1,0,1
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,3,0,4
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,2,0,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,45,9,0,55
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,0,0,3
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,1,1,0,3
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,1,0,0,2
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,8,2,0,11
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,2,0,4
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,8,2,0,10
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,26,5,0,31
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,5,3,0,8
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,0,0,3
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,7,25,4,0,36
SABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,76,7,0,84
SACABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
SAN BENITO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,4,0,0,4
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,2,10,3,0,15
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,0,0,3
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,1,1,4,0,0,6
SAN LORENZO(PND),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,2,2,0,0,4
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,2,8,1,0,11
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,12,1,0,13
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,2,0,3
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,2,0,5
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,4,59,56,3,0,122
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,1,0,0,0,0,1
SANTIAGO DE HUARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,4,0,0,4
SANTIAGO DE HUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,1,1,0,3
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,0,0,0,1
SANTIVAÑES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,1,0,3
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
SAPAHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,1,0,3
SENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,6,6,1,0,13
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,7,2,0,9
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
SICAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,0,1,0,1
SIPE SIPE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,1,0,7
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,1,1,0,3
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,3,92,35,1,131
TACACOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,2,0,3
TACOPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
TAPACARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,0,0,6
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,1,0,3
TARATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,0,1,0,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,3,84,21,1,109
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,4,1,0,5
TIAHUANACU,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
TIPUANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,0,1,0,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,9,4,0,13
TIRAQUE (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
TOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,1,0,3
TOLEDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
TOMINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,1,0,4
TORO TORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,1,0,2
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
TRIGAL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,2,10,1,0,13
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,18,0,0,18
TURCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,0,0,0,1
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,8,1,0,10
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,4,1,0,5
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,0,0,2
VACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,0,0,3
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,15,3,0,19
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,3,0,6
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,8,2,0,11
VILLA RIVERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,3,0,5
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,2,8,2,0,12
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,1,24,2,0,27
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,3,0,0,3
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,3,20,7,0,30
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,7,1,0,8
VITICHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,2,1,0,3
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,6,1,0,7
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2023-01-01,0,0,44,2,1,47
