,group,variable,month,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN < 15,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 15 - 19,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 20 - 34,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 35 - 49,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 50 Y +,TOTALES
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,26,23,1,55
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,17,69,33,5,124
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,31,20,7,60
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,5,1,0,7
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,3,7,3,1,15
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,6,2,1,11
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,69,39,1,114
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,26,57,45,25,7,160
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,7,47,19,1,75
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,22,12,0,35
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,6,1,9
BELEN DE URMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,2,0,0,3
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,8,23,4,0,36
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,72,41,4,121
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,15,28,9,0,52
BOLIVAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,5,5,1,12
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,0,3,0,0,4
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,17,8,1,29
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,8,36,20,0,65
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,20,6,0,29
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,29,9,6,47
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,3,35,14,1,54
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,15,2,1,19
CALACOTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,3,3,3,11
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,21,9,3,38
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,46,62,62,24,6,200
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,10,10,2,7,4,33
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,29,13,5,51
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,23,10,1,36
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,8,4,1,15
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,20,5,0,29
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,49,11,0,64
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,47,21,1,74
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,14,9,0,28
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,8,1,0,13
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,5,2,0,7
CHACARILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,1,0,2
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,11,64,22,1,98
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,8,1,0,11
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,6,27,8,1,42
CHARAÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,1,0,0,2
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,26,6,0,37
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,4,21,85,29,2,141
CHIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,2,0,3
CHOQUE COTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,6,1,0,8
CHUA COCANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,7,22,7,2,38
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,10,8,4,26
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,12,6,0,20
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,8,6,0,18
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,52,12,1,67
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,7,30,104,28,0,169
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,22,13,0,39
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,7,194,1212,447,59,1919
COIPASA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,19,163,57,9,248
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,34,17,1,57
COLLANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,7,20,18,12,57
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,16,79,15,1,111
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,4,5,0,11
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,9,13,1,0,24
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,46,12,1,64
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,7,31,13,0,51
COMANCHE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,1,0,1
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,17,79,47,4,147
COMBAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,1,0,1
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,7,0,0,8
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,0,11,6,0,18
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,21,13,3,41
CORO CORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,14,11,1,26
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,30,4,1,37
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,4,0,0,5
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,11,51,39,1,103
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,14,4,0,20
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,10,4,0,17
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,8,1,0,11
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,13,5,0,20
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,68,58,54,28,3,211
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,2,2,0,6
CURVA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,8,4,2,14
DESAGUADERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,4,3,0,9
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,3,104,932,438,48,1525
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,8,24,10,0,42
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,8,39,29,0,76
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,6,21,104,39,9,179
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,12,16,3,1,0,32
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,2,9,15,5,0,31
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,23,103,38,2,166
ESCOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,7,14,9,1,31
ESMERALDA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,0,1,0,1
EUCALIPTUS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,6,1,0,7
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,3,0,0,4
EXALTACION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,2,4,0,0,7
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,3,21,9,2,36
FILADELFIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,0,4,1,0,6
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,7,5,0,15
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,13,81,51,10,156
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,11,44,21,1,77
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,26,5,2,38
GUAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,3,1,0,4
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,19,108,316,44,9,496
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,7,4,0,14
HUACARAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,13,3,0,17
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,20,21,28,26,2,97
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,17,20,15,5,0,57
HUACHACALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,1,0,2
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,19,12,5,39
HUARINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,5,3,0,9
HUATAJATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,1,0,2
HUAYLLAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,5,2,0,7
HUMANATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,8,0,0,9
ICHOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,6,2,0,11
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,35,38,3,4,0,80
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,49,68,34,10,1,162
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,20,9,0,32
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,3,20,1,0,25
IXIAMAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,2,15,0,0,18
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,10,1,0,14
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,23,83,15,0,122
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,38,268,88,34,429
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,6,94,1097,419,46,1662
LA RIVERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,2,0,0,2
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,3,17,6,1,27
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,6,36,18,2,62
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,33,50,14,3,1,101
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,4,2,0,6
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,4,101,531,127,10,773
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,5,21,11,1,38
LORETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,12,0,0,12
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,29,12,1,44
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,2,6,1,0,9
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,19,16,19,11,0,65
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,5,38,9,0,53
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,3,22,3,0,29
MALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,3,0,0,7
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,7,1,0,9
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,13,3,0,17
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,7,62,25,7,102
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,2,24,102,41,1,170
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,4,20,3,1,29
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,39,40,27,14,1,121
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,54,81,145,76,31,387
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,41,259,102,14,417
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,1,1,0,1,3
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,4,5,3,0,12
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,2,2,3,0,0,7
NAZACARA DE PACAJES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,1,2
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,0,0,1,0,0,1
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2023-01-01,1,4,22,11,0,38
