,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES,TOTALES,TOTALES
REYES,cirugias y anestesias,anestesias generales y regionales,2010-01-01,3,8,3,8,11
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,78,164,78,164,242
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-01-01,5,3,5,3,8
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-01-01,2,5,2,5,7
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,20,92,20,92,112
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,3,0,3,3
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,3,25,3,25,28
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1,14,1,14,15
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-01-01,3,5,3,5,8
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,6,53,6,53,59
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,3,0,3,3
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-01-01,10,16,10,16,26
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-01-01,50,50,50,50,100
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-01-01,5,0,5,0,5
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-01-01,5,18,5,18,23
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-01-01,10,9,10,9,19
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-01-01,7,0,7,0,7
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,3,25,3,25,28
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,2377,1905,2377,1905,4282
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,3,3,3,3,6
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,13,0,13,13
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,1,0,1,1
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-01-01,483,676,483,676,1159
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,5,0,5,5
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,214,369,214,369,583
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,2,0,2,2
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1,14,1,14,15
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-01-01,193,114,193,114,307
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,39,23,39,23,62
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-01-01,1,13,1,13,14
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-01-01,15,23,15,23,38
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,25,0,25,25
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-01-01,42,43,42,43,85
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,12,0,12,12
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-01-01,40,106,40,106,146
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-01-01,18,16,18,16,34
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,33,74,33,74,107
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,1,0,1,1
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-01-01,8,15,8,15,23
YOTALA,cirugias y anestesias,anestesias generales y regionales,2010-01-01,0,1,0,1,1
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-02-01,3,2,3,2,5
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,9,1,9,10
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-02-01,2,12,2,12,14
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,9,1,9,10
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,1,1,1,2
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,1,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,1,1,1,2
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,13,38,13,38,51
CABEZAS,cirugias y anestesias,anestesias generales y regionales,2010-02-01,6,4,6,4,10
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,7,14,7,14,21
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-02-01,20,48,20,48,68
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,3,0,3,3
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-02-01,3,16,3,16,19
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,8,1,8,9
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,11,0,11,11
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,0,1,0,1
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,50,93,50,93,143
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1083,1302,1083,1302,2385
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,29,40,29,40,69
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,13,0,13,13
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,6,9,6,9,15
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,2,0,2,0,2
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,2,12,2,12,14
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,5,11,5,11,16
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,285,453,285,453,738
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,4,16,4,16,20
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,1,0,1,1
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-02-01,27,74,27,74,101
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-02-01,868,1346,868,1346,2214
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,6,12,6,12,18
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,2,0,2,2
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,7,20,7,20,27
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,55,86,55,86,141
OCURI,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,3,0,3,3
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,227,315,227,315,542
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,8,3,8,3,11
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,6,1,6,7
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,16,40,16,40,56
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-02-01,591,98,591,98,689
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,2,1,2,3
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-02-01,21,54,21,54,75
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-02-01,50,40,50,40,90
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,7,56,7,56,63
REYES,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,3,0,3,3
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,57,53,57,53,110
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-02-01,4,14,4,14,18
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,7,0,7,7
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,15,80,15,80,95
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,4,0,4,4
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,3,21,3,21,24
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,8,1,8,9
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-02-01,2,18,2,18,20
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,6,32,6,32,38
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,8,0,8,8
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-02-01,4,15,4,15,19
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-02-01,16,19,16,19,35
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,4,0,4,4
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-02-01,8,8,8,8,16
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,3,24,3,24,27
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1764,1673,1764,1673,3437
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,4,0,4,4
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,20,0,20,20
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,3,0,3,3
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-02-01,292,620,292,620,912
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,3,0,3,3
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,175,341,175,341,516
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,1,0,1,1
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,14,0,14,14
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-02-01,282,3,282,3,285
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,27,19,27,19,46
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,12,0,12,12
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,27,1,27,28
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-02-01,24,75,24,75,99
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-02-01,4,16,4,16,20
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,1,1,1,2
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-02-01,7,90,7,90,97
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-02-01,10,14,10,14,24
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-02-01,3,23,3,23,26
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-02-01,25,71,25,71,96
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,1,0,1,1
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-02-01,1,7,1,7,8
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-02-01,0,3,0,3,3
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,7,3,7,3,10
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-03-01,2,1,2,1,3
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-03-01,8,41,8,41,49
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,3,3,3,3,6
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-03-01,1,2,1,2,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,15,53,15,53,68
CABEZAS,cirugias y anestesias,anestesias generales y regionales,2010-03-01,7,3,7,3,10
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,2,16,2,16,18
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,47,62,47,62,109
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,11,0,11,11
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,2,6,2,6,8
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,10,0,10,10
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,65,103,65,103,168
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,1097,1727,1097,1727,2824
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,24,54,24,54,78
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,1,15,1,15,16
COPACABANA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,9,0,9,9
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,6,28,6,28,34
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,1,0,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,2,11,2,11,13
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,8,2,8,2,10
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,335,540,335,540,875
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,12,23,12,23,35
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,2,1,2,1,3
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-03-01,15,49,15,49,64
JESUS DE MACHACA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,3,6,3,6,9
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-03-01,1526,2019,1526,2019,3545
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,12,35,12,35,47
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,9,0,9,9
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,1,0,1,1
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,15,39,15,39,54
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,34,148,34,148,182
OCURI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,1,1,1,1,2
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,130,559,130,559,689
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,5,10,5,10,15
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,17,0,17,17
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,18,51,18,51,69
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,723,98,723,98,821
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-03-01,28,55,28,55,83
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-03-01,50,59,50,59,109
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,15,46,15,46,61
REYES,cirugias y anestesias,anestesias generales y regionales,2010-03-01,1,1,1,1,2
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,80,186,80,186,266
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-03-01,1,6,1,6,7
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,6,0,6,6
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,21,97,21,97,118
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,7,0,7,7
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,8,27,8,27,35
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,2,12,2,12,14
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-03-01,6,28,6,28,34
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,2,5,2,5,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,9,55,9,55,64
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-03-01,5,5,5,5,10
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-03-01,6,30,6,30,36
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,20,11,20,11,31
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-03-01,8,13,8,13,21
SAN LORENZO(TJA),cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,2,0,2,2
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-03-01,7,6,7,6,13
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-03-01,5,5,5,5,10
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,4,0,4,4
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-03-01,9,0,9,0,9
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,1,25,1,25,26
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,2094,2195,2094,2195,4289
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,27,28,27,28,55
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,32,0,32,32
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,3,0,3,3
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-03-01,456,705,456,705,1161
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,3,10,3,10,13
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,157,444,157,444,601
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,5,0,5,5
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,1,14,1,14,15
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-03-01,193,186,193,186,379
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,28,29,28,29,57
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,2,7,2,7,9
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-03-01,7,38,7,38,45
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,24,0,24,24
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-03-01,33,44,33,44,77
VILLA SERRANO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,31,0,31,31
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,15,30,15,30,45
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,anestesias generales y regionales,2010-03-01,2,1,2,1,3
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-03-01,10,26,10,26,36
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-03-01,17,28,17,28,45
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-03-01,4,29,4,29,33
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-03-01,19,49,19,49,68
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2010-03-01,0,2,0,2,2
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-03-01,3,24,3,24,27
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,2,0,2,2
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,5,0,5,5
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-04-01,17,46,17,46,63
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1,11,1,11,12
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,5,0,5,5
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,14,37,14,37,51
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,2,15,2,15,17
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,20,72,20,72,92
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,6,2,6,2,8
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,2,10,2,10,12
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,5,8,5,8,13
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,11,0,11,11
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,47,113,47,113,160
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1308,1879,1308,1879,3187
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,20,32,20,32,52
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,12,0,12,12
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-04-01,6,0,6,0,6
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,9,16,9,16,25
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,1,0,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,13,0,13,13
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1,0,1,0,1
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,379,495,379,495,874
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,8,35,8,35,43
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,3,0,3,3
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-04-01,38,45,38,45,83
INCAHUASI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,2,0,2,2
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1190,1690,1190,1690,2880
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,15,35,15,35,50
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,1,5,1,5,6
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,8,0,8,8
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,17,27,17,27,44
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,30,130,30,130,160
OCURI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,3,0,3,3
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,198,491,198,491,689
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,6,12,6,12,18
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2010-04-01,0,7,0,7,7
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-04-01,10,27,10,27,37
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-04-01,573,103,573,103,676
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-04-01,17,47,17,47,64
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-04-01,46,61,46,61,107
