,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES,TOTALES,TOTALES
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,78,164,78,164,242
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,5,3,5,3,8
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,2,5,2,5,7
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,15,17,15,17,32
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,3,0,3,3
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,3,25,3,25,28
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,13,1,13,14
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,3,5,3,5,8
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,6,53,6,53,59
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,3,0,3,3
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,6,16,6,16,22
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,50,50,50,50,100
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,5,0,5,0,5
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,2,15,2,15,17
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,6,6,6,6,12
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,7,0,7,0,7
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,3,21,3,21,24
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,2194,1692,2194,1692,3886
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,3,3,3,3,6
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,13,0,13,13
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,1,0,1,1
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,350,435,350,435,785
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,3,0,3,3
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,190,337,190,337,527
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,2,0,2,2
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,14,1,14,15
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,193,114,193,114,307
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,39,23,39,23,62
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,13,1,13,14
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,15,23,15,23,38
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,25,0,25,25
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,39,43,39,43,82
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,12,0,12,12
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,1,15,1,15,16
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,18,16,18,16,34
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,31,72,31,72,103
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,8,15,8,15,23
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2010-01-01,0,1,0,1,1
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,3,2,3,2,5
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,9,1,9,10
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,2,3,2,3,5
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,9,1,9,10
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,1,0,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,1,1,1,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,13,22,13,22,35
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,7,14,7,14,21
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,14,37,14,37,51
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,3,0,3,3
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,3,16,3,16,19
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,8,1,8,9
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,11,0,11,11
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,0,1,0,1
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,50,93,50,93,143
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,988,1048,988,1048,2036
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,29,40,29,40,69
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,10,0,10,10
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,2,1,2,3
COTAGAITA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,2,0,2,0,2
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,2,12,2,12,14
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,285,453,285,453,738
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,4,16,4,16,20
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,1,0,1,1
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,10,54,10,54,64
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,816,1287,816,1287,2103
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,6,12,6,12,18
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,2,0,2,2
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,7,18,7,18,25
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,55,86,55,86,141
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,227,315,227,315,542
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,8,3,8,3,11
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,6,1,6,7
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,16,40,16,40,56
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,270,80,270,80,350
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,2,1,2,3
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,3,23,3,23,26
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,11,1,11,12
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,7,48,7,48,55
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,3,0,3,3
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,57,53,57,53,110
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,4,14,4,14,18
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,7,0,7,7
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,15,53,15,53,68
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,4,0,4,4
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,3,21,3,21,24
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,5,1,5,6
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,2,18,2,18,20
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,6,32,6,32,38
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,8,0,8,8
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,4,13,4,13,17
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,16,19,16,19,35
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,4,0,4,4
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,5,5,5,5,10
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,3,24,3,24,27
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1714,1527,1714,1527,3241
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,4,0,4,4
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,20,0,20,20
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,3,0,3,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,197,319,197,319,516
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,3,0,3,3
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,138,305,138,305,443
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,1,0,1,1
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,14,0,14,14
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,282,3,282,3,285
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,27,17,27,17,44
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,12,0,12,12
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,27,1,27,28
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,24,75,24,75,99
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,4,16,4,16,20
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,3,15,3,15,18
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,10,14,10,14,24
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,3,23,3,23,26
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,25,71,25,71,96
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,1,6,1,6,7
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2010-02-01,0,3,0,3,3
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,7,3,7,3,10
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,1,2,1,3
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,6,3,6,3,9
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,3,3,3,3,6
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1,2,1,2,3
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,33,2,33,35
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,10,2,10,12
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,33,50,33,50,83
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,11,0,11,11
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,6,2,6,8
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,10,0,10,10
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,65,103,65,103,168
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1004,1542,1004,1542,2546
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,24,54,24,54,78
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1,6,1,6,7
COPACABANA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,3,0,3,3
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,3,24,3,24,27
COTAGAITA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,1,0,1,1
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,11,2,11,13
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,2,0,2,2
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,335,540,335,540,875
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,12,23,12,23,35
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,1,2,1,3
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,15,49,15,49,64
JESUS DE MACHACA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1,4,1,4,5
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1435,1891,1435,1891,3326
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,12,35,12,35,47
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,9,0,9,9
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,1,0,1,1
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,10,30,10,30,40
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,34,148,34,148,182
OCURI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1,1,1,1,2
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,130,559,130,559,689
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,4,10,4,10,14
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,17,0,17,17
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,18,51,18,51,69
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,172,90,172,90,262
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,6,19,6,19,25
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,27,0,27,27
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,15,46,15,46,61
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1,1,1,1,2
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,80,186,80,186,266
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1,6,1,6,7
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,6,0,6,6
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,19,62,19,62,81
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,7,0,7,7
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,8,27,8,27,35
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,8,2,8,10
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,6,28,6,28,34
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,5,2,5,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,9,55,9,55,64
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-03-01,5,5,5,5,10
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,5,27,5,27,32
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,20,11,20,11,31
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,8,13,8,13,21
SAN LORENZO(TJA),cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,2,0,2,2
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,5,5,5,5,10
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,4,0,4,4
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,9,0,9,0,9
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1,25,1,25,26
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1817,2002,1817,2002,3819
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,27,28,27,28,55
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,32,0,32,32
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,3,0,3,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,359,516,359,516,875
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,3,10,3,10,13
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,140,346,140,346,486
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,5,0,5,5
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,1,14,1,14,15
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,193,186,193,186,379
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,28,29,28,29,57
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,7,2,7,9
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,7,38,7,38,45
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,0,24,0,24,24
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,33,44,33,44,77
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,15,30,15,30,45
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,2,16,2,16,18
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,17,28,17,28,45
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,4,29,4,29,33
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,19,49,19,49,68
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-03-01,3,24,3,24,27
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,2,0,2,2
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,5,0,5,5
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,5,4,5,4,9
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,11,1,11,12
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,3,0,3,3
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,18,1,18,19
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,2,8,2,8,10
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,15,57,15,57,72
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,6,2,6,2,8
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,2,10,2,10,12
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,5,8,5,8,13
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,11,0,11,11
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,45,103,45,103,148
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1168,1700,1168,1700,2868
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,20,32,20,32,52
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,11,0,11,11
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,6,0,6,0,6
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,7,15,7,15,22
COTAGAITA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,1,0,1,1
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,13,0,13,13
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,0,1,0,1
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,379,495,379,495,874
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,8,35,8,35,43
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,3,0,3,3
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,10,41,10,41,51
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1116,1511,1116,1511,2627
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,15,35,15,35,50
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,5,1,5,6
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,8,0,8,8
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,12,26,12,26,38
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,30,130,30,130,160
OCURI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,3,0,3,3
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,198,491,198,491,689
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,6,12,6,12,18
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,7,0,7,7
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,10,27,10,27,37
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,166,75,166,75,241
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,3,18,3,18,21
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,30,9,30,9,39
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,9,44,9,44,53
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,4,5,4,5,9
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,1,6,1,6,7
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,73,67,73,67,140
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,2,8,2,8,10
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,8,0,8,8
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,11,44,11,44,55
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,0,2,0,2,2
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,5,28,5,28,33
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-04-01,2,7,2,7,9
