,group,variable,month,DPT 5TA DOSIS CANTIDAD,DPT 5TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CAMARGO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,9,13,9,13,22
CAMIRI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,7,0,7,7
CAQUIAVIRI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,4,0,4,4
CARAPARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,2,0,2,2
CHAQUI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,1,0,1,1
COBIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,7,9,7,9,16
"COLCHA ""K""",vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,5,10,5,10,15
COMANCHE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,9,0,9,9
COPACABANA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,1,0,1,1
COTAGAITA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,10,0,10,10
COTOCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,3,7,3,7,10
EL PUENTE(STC),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,7,0,7,7
EL PUENTE(TJA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,14,0,14,14
EL TORNO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,13,2,13,2,15
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,16,0,16,16
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,1,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,27,44,27,44,71
HUAYLLAMARCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,6,0,6,6
ICLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,7,22,7,22,29
LA GUARDIA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,5,0,5,0,5
LA PAZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,8,42,8,42,50
LAGUNILLAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,1,7,1,7,8
LAS CARRERAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,6,0,6,6
MACHARETI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,19,43,19,43,62
MONTEAGUDO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,3,4,3,4,7
MOROCHATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,2,2,2,2,4
NAZACARA DE PACAJES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,18,0,18,18
ORURO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,1,0,1,0,1
PADILLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,18,9,18,9,27
POSTRER VALLE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,3,0,3,3
POTOSI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,1,9,1,9,10
PUERTO SUAREZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,1,0,1,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,1,13,1,13,14
QUILLACOLLO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,4,13,4,13,17
ROBORE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,5,0,5,0,5
SACABA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,3,0,3,3
SAN BORJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,1,4,1,4,5
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,2,0,2,2
SAN LUCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,9,53,9,53,62
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,4,0,4,4
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,4,0,4,4
SAPAHAQUI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,2,0,2,2
SHINAOTA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,4,0,4,4
SOPACHUY,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,8,0,8,8
SUCRE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,22,17,22,17,39
TARABUCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,4,24,4,24,28
TARIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,61,20,61,20,81
TOMINA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,16,0,16,0,16
TORO TORO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,1,0,1,1
TOTORA(ORR),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,1,0,1,1
TURCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,2,0,2,2
UYUNI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,1,0,1,0,1
VALLEGRANDE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,5,0,5,0,5
VILLA CHARCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,12,20,12,20,32
VILLA MONTES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,1,18,1,18,19
VILLA TUNARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,9,11,9,11,20
VILLAZON,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,16,2,16,2,18
WARNES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,0,1,0,1,1
YAMPARAEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,3,4,3,4,7
YOTALA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,3,2,3,2,5
YUNCHARA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,3,29,3,29,32
ZUDAÑEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-06-01,5,7,5,7,12
ACACIO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,20,0,20,20
BELEN DE URMIRI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,2,0,2,0,2
CARACOLLO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,1,0,1,0,1
COBIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,3,0,3,0,3
COCHABAMBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,50,5,50,5,55
COLOMI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,1,0,1,1
COMANCHE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,7,0,7,7
COTAGAITA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,1,0,1,0,1
COTOCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,1,0,1,0,1
CULPINA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,2,7,2,7,9
EL ALTO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,39,13,39,13,52
EL PUENTE(STC),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,1,8,1,8,9
EL TORNO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,25,9,25,9,34
GUAYARAMERIN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,14,7,14,7,21
HUACHACALLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,1,3,1,3,4
HUAYLLAMARCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,1,0,1,1
ICLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,3,5,3,5,8
IXIAMAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,4,0,4,0,4
LA GUARDIA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,9,6,9,6,15
LA PAZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,5,9,5,9,14
LAS CARRERAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,6,6,6,6,12
MACHARETI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,7,2,7,2,9
PADILLA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,4,0,4,4
POCONA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,3,0,3,0,3
POTOSI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,1,0,1,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,4,2,4,2,6
RIBERALTA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,9,0,9,0,9
RURRENABAQUE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,1,0,1,1
SAN IGNACIO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,5,0,5,5
SAN JULIAN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,8,0,8,8
SAN LUCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,12,2,12,2,14
SAN MATIAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,8,14,8,14,22
SAN RAMON SCZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,14,6,14,6,20
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,132,56,132,56,188
SAPAHAQUI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,2,0,2,2
SUCRE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,16,15,16,15,31
TARIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,52,16,52,16,68
TIQUIPAYA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,3,7,3,7,10
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,3,0,3,3
TOCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,4,0,4,4
TOMINA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,4,0,4,0,4
TUPIZA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,2,0,2,2
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,2,0,2,0,2
UYUNI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,1,0,1,0,1
VALLEGRANDE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,5,0,5,0,5
VILLA CHARCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,4,12,4,12,16
VILLA TUNARI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,4,8,4,8,12
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,1,0,1,1
VILLAZON,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,55,74,55,74,129
WARNES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,6,0,6,6
YACUIBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,1,0,1,0,1
YAMPARAEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,9,0,9,0,9
YUNCHARA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,0,5,0,5,5
ZUDAÑEZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-07-01,5,2,5,2,7
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,10,0,10,10
BOYUIBE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,7,0,7,7
CAJUATA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,1,0,1,0,1
CALACOTO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,40,0,40,40
CAQUIAVIRI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,4,0,4,4
CHARAGUA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,5,0,5,5
COBIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,7,2,7,2,9
COCHABAMBA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,8,0,8,0,8
COLOMI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,3,0,3,3
COLQUIRI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,7,5,7,5,12
COTAGAITA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,16,0,16,16
COTOCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,26,37,26,37,63
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,4,0,4,4
EL ALTO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,59,15,59,15,74
EL TORNO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,25,3,25,3,28
GUAYARAMERIN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,9,107,9,107,116
HUACARETA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,3,0,3,3
HUAYLLAMARCA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,1,0,1,0,1
INQUISIVI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,1,1,1,1,2
IXIAMAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,4,0,4,0,4
LA GUARDIA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,9,0,9,0,9
LA PAZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,6,19,6,19,25
LAGUNILLAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,6,19,6,19,25
MOJOCOYA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,1,1,1,1,2
MORO MORO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,10,0,10,0,10
OKINAWA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,7,5,7,5,12
ORURO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,1,0,1,0,1
POCONA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,3,0,3,3
PUERTO SUAREZ,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,15,0,15,0,15
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,4,3,4,3,7
SACABA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,113,234,113,234,347
SAN JULIAN,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,2,22,2,22,24
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,3,0,3,3
SAN MATIAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,46,16,46,16,62
SAN RAMON BENI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,115,12,115,12,127
SAPAHAQUI,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,3,0,3,3
SENA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,1,11,1,11,12
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,4,4,4,4,8
SUCRE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,36,37,36,37,73
TARIJA,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,21,4,21,4,25
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,1,0,1,1
TOTORA(CBBA),vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,1,0,1,1
VALLEGRANDE,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,14,0,14,0,14
VILLA CHARCAS,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,13,17,13,17,30
VILLA MONTES,vacunacion en ninos de 4 anos,dpt 5ta dosis,2010-08-01,0,2,0,2,2
