,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
VACAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,2,0,2,0,2
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,4,0,4,0,4
VILLA CHARCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,1,0,1,0,1
VILLA MONTES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,24,102,24,102,126
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,9,0,9,9
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,15,0,15,15
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,4,0,4,4
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,4,0,4,4
YAMPARAEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,4,0,4,4
YOTALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,9,47,9,47,56
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,1,33,1,33,34
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-05-01,0,25,0,25,25
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,9,0,9,9
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,27,13,27,13,40
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,2,0,2,2
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,3,4,3,4,7
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,4,0,4,4
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,4,0,4,4
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,2,0,2,2
CHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,1,0,1,1
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,7,9,7,9,16
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,15,1,15,1,16
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,5,8,5,8,13
COMANCHE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,6,0,6,6
COPACABANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,1,0,1,1
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,9,0,9,9
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,3,7,3,7,10
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,6,0,6,0,6
EL PUENTE(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,7,0,7,7
EL PUENTE(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,14,0,14,14
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,13,2,13,2,15
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,16,0,16,16
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,1,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,27,44,27,44,71
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,6,0,6,6
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,7,22,7,22,29
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,48,42,48,42,90
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,1,7,1,7,8
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,4,0,4,4
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,19,43,19,43,62
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,3,4,3,4,7
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,2,2,2,2,4
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,1,0,1,0,1
POSTRER VALLE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,3,0,3,3
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,1,3,1,3,4
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,1,0,1,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,1,17,1,17,18
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,4,13,4,13,17
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,1,4,1,4,5
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,9,53,9,53,62
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,8,4,8,4,12
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,4,0,4,4
SAPAHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,2,0,2,2
SHINAOTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,4,0,4,4
SOPACHUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,8,0,8,8
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,22,17,22,17,39
TARABUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,4,24,4,24,28
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,30,7,30,7,37
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,16,0,16,0,16
TOTORA(ORR),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,1,0,1,1
TURCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,2,0,2,2
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,5,0,5,0,5
VILLA CHARCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,12,20,12,20,32
VILLA MONTES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,1,22,1,22,23
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,9,11,9,11,20
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,17,2,17,2,19
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,0,1,0,1,1
YAMPARAEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,3,4,3,4,7
YOTALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,1,0,1,0,1
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,3,29,3,29,32
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-06-01,1,7,1,7,8
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,4,0,4,0,4
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,2,0,2,2
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,1,0,1,0,1
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,3,0,3,0,3
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,57,5,57,5,62
COLOMI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,1,0,1,1
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,1,0,1,0,1
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,1,0,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,59,12,59,12,71
EL PUENTE(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,1,8,1,8,9
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,20,3,20,3,23
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,14,6,14,6,20
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,1,0,1,1
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,3,5,3,5,8
IXIAMAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,4,0,4,0,4
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,43,9,43,9,52
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,4,2,4,2,6
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,3,2,3,2,5
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,4,0,4,4
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,3,0,3,0,3
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,1,0,1,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,4,2,4,2,6
SACABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,5,0,5,5
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,7,0,7,0,7
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,5,0,5,5
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,12,2,12,2,14
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,8,14,8,14,22
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,42,11,42,11,53
SAPAHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,2,0,2,2
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,16,7,16,7,23
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,36,14,36,14,50
TIQUIPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,3,7,3,7,10
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,3,0,3,3
TOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,4,0,4,4
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,4,0,4,0,4
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,2,0,2,0,2
UYUNI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,1,0,1,0,1
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,5,0,5,0,5
VILLA CHARCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,4,16,4,16,20
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,4,10,4,10,14
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,47,48,47,48,95
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,1,0,1,0,1
YAMPARAEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,9,0,9,0,9
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,0,5,0,5,5
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-07-01,5,2,5,2,7
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,10,0,10,10
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,2,0,2,2
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,4,0,4,4
CHARAGUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,5,0,5,5
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,7,2,7,2,9
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,8,0,8,0,8
COLOMI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,3,0,3,3
COLQUIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,7,5,7,5,12
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,16,0,16,16
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,26,37,26,37,63
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,4,0,4,4
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,56,15,56,15,71
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,23,3,23,3,26
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,9,107,9,107,116
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,3,0,3,3
HUAYLLAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,1,0,1,0,1
INQUISIVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,1,1,1,1,2
IXIAMAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,2,0,2,0,2
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,7,0,7,0,7
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,5,23,5,23,28
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,6,19,6,19,25
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,1,1,1,1,2
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,7,5,7,5,12
PALOS BLANCOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,1,0,1,0,1
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,3,0,3,3
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,15,0,15,0,15
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,5,3,5,3,8
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,89,235,89,235,324
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,46,16,46,16,62
SAN RAMON BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,72,12,72,12,84
SAPAHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,0,3,0,3,3
SENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-08-01,1,11,1,11,12
