,group,variable,month,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 10 A 14,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 15 A 19,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 20 A 34,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 35 A 49,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE 50 Y +,ILE EN EL 2DO TRIMESTRE DEL EMBARAZO POR CAUSAL RIESGO DE SALUD DE LA MADRE < A 10,TOTALES
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-04-01,0,1,1,0,0,0,2
EL ALTO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-05-01,0,0,1,0,0,0,1
POTOSI,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-05-01,0,0,2,0,0,0,2
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-05-01,0,0,0,1,0,0,1
EL ALTO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,1,0,0,0,0,1
LA PAZ,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,0,4,0,0,0,4
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,0,4,0,0,0,4
POTOSI,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,1,0,1,0,0,2
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,0,1,2,0,0,3
TUPIZA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-06-01,0,1,0,1,0,0,2
LA PAZ,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,8,0,0,0,8
MACHARETI,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,0,2,0,0,2
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,3,1,0,0,4
POTOSI,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,1,1,1,0,0,3
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-07-01,0,0,2,0,0,0,2
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,0,2,1,0,0,3
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-08-01,0,1,1,0,0,0,2
ESCOMA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,0,1,0,0,0,1
LA PAZ,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,0,3,0,0,0,3
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,0,0,1,0,0,1
POTOSI,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,0,2,0,0,0,2
SAN JOSE DE CHIQUITOS,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,1,0,1,0,0,0,2
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-09-01,0,1,3,0,0,0,4
LA PAZ,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,0,10,0,0,0,10
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,0,0,1,0,0,0,1
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-10-01,1,0,1,1,0,0,3
BETANZOS,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,0,2,1,0,0,3
LA PAZ,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,0,2,0,0,0,2
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-11-01,0,0,6,0,0,0,6
LA PAZ,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,0,1,0,0,0,1
ORURO,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,0,2,2,0,0,4
TARIJA,interrupcion legal del embarazo,ile en el 2do trimestre del embarazo por causal riesgo de salud de la madre,2024-12-01,0,1,0,1,0,0,2
