municipality,group,variable,month,Niños de 0 a 6 meses que reciben Lactancia Mat. Ex,TOTAL
HUARACAJE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,24,24
ICLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,12,12
INCAHUASI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,49,49
IXIAMAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,2,2
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,13,13
LA PAZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,707,707
LA RIVERA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,1,1
LAS CARRERAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,22,22
LLALLAGUA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,274,274
LLICA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,1,1
MACHACAMARCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,35,35
MACHARETI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,57,57
MAGDALENA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,84,84
MAIRANA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,68,68
MAPIRI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,2,2
MOCOMOCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,3,3
MOJOCOYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,35,35
MONTEAGUDO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,111,111
MORO MORO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,10,10
MOROCHATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,5,5
OCURI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,6,6
OMEREQUE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,52,52
ORURO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,496,496
PADCAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,77,77
PALOS BLANCOS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,3,3
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,31,31
PAZÑA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,37,37
POOPO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,32,32
POROMA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,41,41
POSTRER VALLE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,3,3
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,31,31
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,4,4
PUNA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,56,56
PUNATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,199,199
QUILLACOLLO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,343,343
RIBERALTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,182,182
RURRENABAQUE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,87,87
SABAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,16,16
SACABA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,80,80
SACABAMBA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,20,20
SACACA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,15,15
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,45,45
SAN AGUSTIN,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,2,2
SAN IGNACIO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,1,1
SAN JAVIER(BNI),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,5,5
SAN LORENZO(TJA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,93,93
SAN LUCAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,7,7
SAN MATIAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,69,69
SAN PEDRO DE QUEMES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,3,3
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,83,83
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,28,28
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,13,13
SIPE SIPE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,64,64
SORACACHI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,49,49
SUCRE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,87,87
TACOPAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,13,13
TARATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,1,1
TARIJA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,11,11
TIPUANI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,21,21
TOCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,12,12
TOLATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,16,16
TOLEDO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,26,26
TOMINA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,2,2
TURCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,22,22
UNCIA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,42,42
UYUNI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,12,12
VALLEGRANDE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,24,24
VIACHA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,28,28
VILLA NUEVA (LOMA ALTA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,3,3
VILLA TUNARI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,39,39
VILLAZON,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,2,2
VINTO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,10,10
YACUIBA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,115,115
YOTALA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,22,22
YUNCHARA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,14,14
ZUDAÑEZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-01-01,6,6
ACACIO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,2,2
ACHACACHI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,96,96
ACHOCALLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,45,45
AIQUILE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,16,16
ANCORAIMES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,61,61
ANDAMARCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,19,19
ANTEQUERA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,31,31
ANZALDO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,14,14
APOLO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,12,12
ARAMPAMPA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,17,17
ARBIETO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,10,10
AYATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,15,15
AYO AYO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,8,8
BATALLAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,79,79
BAURES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,24,24
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,7,7
BERMEJO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,42,42
BETANZOS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,61,61
CAIROMA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,28,28
"CAIZA ""D""",nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,29,29
CALAMARCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,89,89
CAMARGO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,166,166
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,22,22
CAQUIAVIRI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,39,39
CARACOLLO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,69,69
CARANAVI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,332,332
CARAPARI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,35,35
CATACORA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,7,7
CHALLAPATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,82,82
CHAQUI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,5,5
CHARAGUA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,1,1
CHIPAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,10,10
CHOQUE COTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,5,5
CHUMA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,34,34
CLIZA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,14,14
COBIJA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,17,17
COCHABAMBA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,693,693
COIPASA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,1,1
COLCAPIRHUA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,16,16
"COLCHA ""K""",nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,21,21
COLLANA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,9,9
COLOMI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,4,4
COLQUECHACA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,80,80
COLQUENCHA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,6,6
COMANCHE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,8,8
COMBAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,2,2
COPACABANA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,76,76
CORIPATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,20,20
CORO CORO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,20,20
CORQUE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,13,13
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,5,5
CURVA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,22,22
DESAGUADERO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,29,29
EL ALTO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,1303,1303
EL CHORO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,3,3
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,11,11
ENTRE RIOS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,11,11
ENTRE RIOS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,6,6
EUCALIPTUS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,15,15
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,17,17
GUANAY,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,13,13
GUAQUI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,24,24
GUAYARAMERIN,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,160,160
HUACARETA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,48,48
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,13,13
HUACHACALLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,12,12
HUANUNI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,61,61
HUARACAJE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,26,26
ICLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,1,1
INCAHUASI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,2,2
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,89,89
IXIAMAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,62,62
LA ASUNTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,56,56
LA PAZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,1251,1251
LAJA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,44,44
LAS CARRERAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,23,23
LLALLAGUA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,198,198
LLICA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,1,1
MACHACAMARCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,22,22
MACHARETI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,32,32
MAGDALENA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,45,45
MAIRANA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,67,67
MALLA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,9,9
MAPIRI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,23,23
MOCOMOCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,75,75
MOJOCOYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,5,5
MONTEAGUDO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,49,49
MORO MORO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,3,3
NAZACARA DE PACAJES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,3,3
OCURI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,36,36
OMEREQUE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,29,29
ORURO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,363,363
PADCAYA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,49,49
PALCA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,35,35
PALOS BLANCOS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,82,82
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,20,20
PASORAPA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,11,11
PAZÑA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,8,8
PELECHUCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,19,19
POOPO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,36,36
POROMA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,32,32
POSTRER VALLE,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,1,1
PRESTO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,10,10
PUCARANI,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,107,107
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,115,115
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,58,58
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,9,9
PUERTO PEREZ,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,4,4
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,79,79
PUNA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,93,93
PUNATA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,184,184
QUILLACOLLO,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,46,46
REYES,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,14,14
RIBERALTA,nutricion y micronutrientes,ninos de 0 a 6 meses que reciben lactancia mat. ex,2007-02-01,281,281
