municipality,group,variable,month,Mujeres embarazadas que recibieron 90 tabletas de,TOTAL
BOYUIBE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,10,10
BUENA VISTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,38,38
CABEZAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,25,25
CAIROMA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,17,17
"CAIZA ""D""",nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,10,10
CAJUATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,25,25
CALACOTO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,10,10
CALAMARCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,17,17
CAMARGO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,40,40
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
CAMIRI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,87,87
CAPINOTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,51,51
CAQUIAVIRI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
CARACOLLO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,43,43
CARANAVI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,174,174
CARAPARI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,20,20
CARIPUYO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
CATACORA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,7,7
CHACARILLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
CHALLAPATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,69,69
CHAQUI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,3,3
CHARAGUA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,78,78
CHARAÑA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,7,7
CHAYANTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,17,17
CHIMORE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,94,94
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,28,28
CHUMA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
CLIZA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,30,30
COBIJA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,115,115
COCHABAMBA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,477,477
COLCAPIRHUA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,32,32
"COLCHA ""K""",nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
COLLANA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
COLOMI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,60,60
COLPA BELGICA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,9,9
COLQUECHACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,62,62
COLQUENCHA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,19,19
COLQUIRI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,30,30
COMANCHE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,3,3
COMARAPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,23,23
COMBAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
CONCEPCION,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,27,27
COPACABANA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,20,20
CORIPATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,31,31
CORO CORO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,9,9
COROICO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
CORQUE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,3,3
COTAGAITA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,26,26
COTOCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,17,17
CUATRO CAÑADAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,9,9
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
CUEVO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,10,10
CULPINA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,44,44
CURAHUARA DE CARANGAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,21,21
CURVA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
DESAGUADERO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,10,10
EL ALTO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1856,1856
EL CHORO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
EL PUENTE(STC),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,14,14
EL PUENTE(TJA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
EL TORNO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,18,18
EL VILLAR,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
ENTRE RIOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,32,32
ENTRE RIOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,72,72
EUCALIPTUS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
EXALTACION,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
FERNANDEZ ALONSO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,20,20
FILADELFIA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
GENERAL SAAVEDRA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,44,44
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,18,18
GUANAY,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,29,29
GUAQUI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
GUAYARAMERIN,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,115,115
GUTIERREZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,23,23
HUACARETA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,15,15
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
HUACHACALLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,3,3
HUANUNI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,21,21
HUARACAJE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
HUAYLLAMARCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,10,10
ICHOCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
ICLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,15,15
INCAHUASI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,49,49
INGAVI (HUMAITA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
INQUISIVI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,26,26
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,36,36
IXIAMAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,11,11
JESUS DE MACHACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
LA ASUNTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,106,106
LA GUARDIA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,70,70
LA PAZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1809,1809
LA RIVERA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
LAGUNILLAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
LAJA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,31,31
LAS CARRERAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
LICOMA PAMPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
LLALLAGUA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,74,74
LLICA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
LORETO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
LURIBAY,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,18,18
MACHACAMARCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
MACHARETI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,14,14
MAGDALENA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,10,10
MAIRANA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
MALLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
MAPIRI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,21,21
MECAPACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,24,24
MINEROS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,26,26
MIZQUE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,39,39
MOCOMOCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,10,10
MOJINETE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
MOJOCOYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
MONTEAGUDO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,60,60
MONTERO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,189,189
MORO MORO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
MOROCHATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,17,17
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
OCURI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,26,26
OKINAWA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,32,32
OMEREQUE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
ORURO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,412,412
PADCAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,31,31
PADILLA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,25,25
PAILON,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
PALCA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,17,17
PALOS BLANCOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,75,75
PAMPA AULLAGAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
PAMPA GRANDE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,7,7
PAPEL PAMPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,16,16
PASORAPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
PATACAMAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,52,52
PAZÑA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
PELECHUCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
POCOATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,24,24
POCONA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,31,31
POJO (CBBA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
POOPO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
PORCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,22,22
POROMA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,35,35
PORONGO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
PORTACHUELO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,22,22
PORVENIR,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
POTOSI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,241,241
PRESTO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
PUCARA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
PUCARANI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,59,59
PUERTO ACOSTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,40,40
PUERTO CARABUCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,22,22
PUERTO GONZALO MORENO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
PUERTO PEREZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
PUERTO QUIJARRO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
PUERTO RICO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
PUERTO SILES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
PUERTO SUAREZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
PUERTO VILLARROEL,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,37,37
PUNA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,56,56
PUNATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,16,16
QUIABAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
QUILLACOLLO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,208,208
QUIME,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,21,21
QUIRUSILLAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
RAVELO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,27,27
REYES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,60,60
RIBERALTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,158,158
ROBORE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,3,3
RURRENABAQUE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,40,40
SABAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
SACABA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,396,396
SACABAMBA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
SACACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,25,25
SAIPINA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,12,12
SAMAIPATA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
SAN AGUSTIN,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
SAN ANDRES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,25,25
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,3,3
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
SAN BENITO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
SAN BORJA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,94,94
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,38,38
SAN CARLOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,48,48
SAN IGNACIO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,62,62
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,174,174
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
SAN JAVIER(STC),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,10,10
SAN JOAQUIN,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,9,9
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,42,42
SAN JUAN DE YAPACANI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,15,15
SAN JULIAN,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,59,59
SAN LORENZO(PND),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
SAN LORENZO(TJA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,26,26
SAN LUCAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,61,61
SAN MATIAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,31,31
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,18,18
SAN PABLO DE LIPEZ,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
SAN PEDRO,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,50,50
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,35,35
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
SAN PEDRO DE QUEMES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,11,11
SAN PEDRO(PND),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,5,5
SAN RAFAEL,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,3,3
SAN RAMON,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,6,6
SAN RAMON,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,28,28
SANTA ANA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,26,26
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1353,1353
SANTA ROSA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,13,13
SANTA ROSA DEL SARA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,42,42
SANTIAGO DE CALLAPA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,2,2
SANTIAGO DE HUARI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,11,11
SANTIAGO DE MACHACA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
SANTIVAÑES,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,9,9
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,4,4
SAPAHAQUI,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,8,8
SENA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,7,7
SICA SICA (VILLA AROMA),nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,39,39
SICAYA,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,1,1
SIPE SIPE,nutricion y micronutrientes,mujeres embarazadas que recibieron 90 tabletas de,2007-01-01,60,60
