municipality,group,variable,month,Niños de 6 a 11 meses con dosis única de vitamina,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,26,26
AZURDUY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,33,33
BATALLAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,29,29
BAURES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,13,13
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
BELEN DE URMIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
BERMEJO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,22,22
BETANZOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,35,35
BOLIVAR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,5,5
BOLPEBRA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
BOYUIBE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
BUENA VISTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,17,17
CABEZAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,18,18
CAIROMA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,7,7
"CAIZA ""D""",nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,14,14
CAJUATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,11,11
CALACOTO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
CALAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,12,12
CAMARGO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,27,27
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,10,10
CAMIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,48,48
CAPINOTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,24,24
CAQUIAVIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,13,13
CARACOLLO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,29,29
CARANAVI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,78,78
CARAPARI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,18,18
CARIPUYO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,14,14
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,5,5
CATACORA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,7,7
CHALLAPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,51,51
CHAQUI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,7,7
CHARAGUA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,32,32
CHARAÑA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
CHAYANTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,8,8
CHIMORE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,23,23
CHIPAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,22,22
CHUMA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,10,10
CLIZA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,24,24
COBIJA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,65,65
COCHABAMBA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,764,764
COLCAPIRHUA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,27,27
"COLCHA ""K""",nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
COLLANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
COLOMI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,32,32
COLPA BELGICA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,12,12
COLQUECHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,46,46
COLQUENCHA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,12,12
COLQUIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,42,42
COMARAPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,19,19
COMBAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,6,6
CONCEPCION,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,33,33
COPACABANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,27,27
CORIPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,25,25
CORO CORO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,12,12
COROICO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
CORQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,6,6
COTAGAITA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
COTOCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,128,128
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,16,16
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
CUEVO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
CULPINA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,42,42
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
CURVA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,6,6
DESAGUADERO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
EL ALTO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,934,934
EL CHORO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
EL PUENTE(STC),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,11,11
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,54,54
EL TORNO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,13,13
ENTRE RIOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,29,29
ENTRE RIOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,61,61
EUCALIPTUS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
EXALTACION,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,21,21
FILADELFIA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,20,20
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,15,15
GUANAY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,16,16
GUAQUI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
GUAYARAMERIN,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,63,63
GUTIERREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,39,39
HUACARETA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,24,24
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,5,5
HUANUNI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,48,48
HUARACAJE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
HUAYLLAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
ICHOCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,8,8
ICLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,24,24
INCAHUASI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,36,36
INQUISIVI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,16,16
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,30,30
IXIAMAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,27,27
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,16,16
LA ASUNTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,56,56
LA GUARDIA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,78,78
LA PAZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,970,970
LAGUNILLAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
LAJA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,30,30
LAS CARRERAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
LICOMA PAMPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,7,7
LLALLAGUA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,15,15
LLICA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
LORETO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,3,3
LURIBAY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,3,3
MACHACAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,12,12
MACHARETI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,14,14
MAGDALENA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,35,35
MAIRANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,21,21
MALLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
MAPIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,26,26
MECAPACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,11,11
MINEROS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,48,48
MIZQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,67,67
MOCOMOCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,26,26
MOJINETE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
MOJOCOYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,12,12
MONTEAGUDO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,38,38
MONTERO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,184,184
MOROCHATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,35,35
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,3,3
OCURI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,20,20
OKINAWA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,27,27
OMEREQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,19,19
ORURO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,353,353
PADCAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,15,15
PADILLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,8,8
PAILON,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,22,22
PALCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,7,7
PALOS BLANCOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,44,44
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,5,5
PAMPA GRANDE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,17,17
PAPEL PAMPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,3,3
PATACAMAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,50,50
PAZÑA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,8,8
PELECHUCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,8,8
POCOATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,10,10
POCONA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
POJO (CBBA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,11,11
POOPO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
PORCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,3,3
POROMA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,29,29
PORONGO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,19,19
PORTACHUELO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,17,17
PORVENIR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,14,14
POSTRER VALLE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
POTOSI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,276,276
PRESTO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,10,10
PUCARA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
PUCARANI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,44,44
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,21,21
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,62,62
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,6,6
PUERTO PEREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,9,9
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,22,22
PUERTO RICO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,10,10
PUERTO SILES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
PUERTO SUAREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,36,36
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,65,65
PUNA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,53,53
PUNATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,52,52
QUIABAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
QUILLACOLLO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,78,78
QUIME,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,31,31
QUIRUSILLAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,4,4
RAVELO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,6,6
REYES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,15,15
RIBERALTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,196,196
ROBORE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,21,21
RURRENABAQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,38,38
SABAYA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
SACABA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,57,57
SACABAMBA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,2,2
SACACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,24,24
SAIPINA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,12,12
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,10,10
SAMAIPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,14,14
SAN ANDRES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,23,23
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,3,3
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,17,17
SAN BENITO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,65,65
SAN BORJA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,70,70
SAN BUENA VENTURA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,14,14
SAN CARLOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,33,33
SAN IGNACIO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,76,76
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,146,146
SAN JAVIER(BNI),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,3,3
SAN JAVIER(STC),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,23,23
SAN JOAQUIN,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,8,8
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,27,27
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,19,19
SAN JULIAN,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,111,111
SAN LORENZO(PND),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,7,7
SAN LORENZO(TJA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,30,30
SAN LUCAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,51,51
SAN MATIAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,24,24
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,15,15
SAN PABLO DE LIPEZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
SAN PEDRO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,58,58
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,32,32
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,5,5
SAN PEDRO DE QUEMES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,7,7
SAN PEDRO(PND),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
SAN RAFAEL,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,19,19
SAN RAMON,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,16,16
SAN RAMON,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,7,7
SANTA ANA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,26,26
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1113,1113
SANTA ROSA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,8,8
SANTA ROSA DEL SARA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,18,18
SANTIAGO DE CALLAPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,12,12
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,8,8
SANTIAGO DE MACHACA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,6,6
SANTIVAÑES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,11,11
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,1,1
SAPAHAQUI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,13,13
SENA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,14,14
SICA SICA (VILLA AROMA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2007-01-01,26,26
