municipality,group,variable,month,Mujeres puérperas que recibieron dosis única de vi,TOTAL
COLOMI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,31,31
COLPA BELGICA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
COLQUECHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,60,60
COLQUENCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
COLQUIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,16,16
COMANCHE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
COMARAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,33,33
COMBAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
CONCEPCION,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,25,25
COPACABANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,14,14
CORIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
CORO CORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,8,8
COROICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
CORQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,5,5
COTAGAITA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,26,26
COTOCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,36,36
CUATRO CAÑADAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,19,19
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
CUEVO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
CULPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,40,40
CURAHUARA DE CARANGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
CURVA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
DESAGUADERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,13,13
EL ALTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1030,1030
EL CHORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
EL PUENTE(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,8,8
EL PUENTE(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,8,8
EL TORNO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
EL VILLAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,5,5
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,22,22
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,23,23
EUCALIPTUS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
EXALTACION,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
FERNANDEZ ALONSO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,22,22
FILADELFIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,5,5
GENERAL SAAVEDRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
GUANAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
GUAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,10,10
GUAYARAMERIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,130,130
GUTIERREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,20,20
HUACARETA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,21,21
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
HUACHACALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
HUANUNI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,28,28
HUARACAJE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
HUAYLLAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,8,8
ICHOCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
ICLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,26,26
INCAHUASI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,37,37
INQUISIVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,20,20
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,23,23
IXIAMAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
JESUS DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,11,11
LA ASUNTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,49,49
LA GUARDIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,53,53
LA PAZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1301,1301
LAGUNILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
LAJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,26,26
LICOMA PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
LLALLAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,76,76
LLICA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
LORETO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
LURIBAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
MACHACAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
MACHARETI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,14,14
MAGDALENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,24,24
MAIRANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,23,23
MALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
MAPIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,23,23
MECAPACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,8,8
MINEROS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,28,28
MIZQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,33,33
MOCOMOCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,21,21
MOJOCOYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,10,10
MONTEAGUDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,43,43
MONTERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,33,33
MORO MORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
MOROCHATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,24,24
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
NAZACARA DE PACAJES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
OCURI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,22,22
OKINAWA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,32,32
OMEREQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
ORURO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,190,190
PADCAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,33,33
PADILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,19,19
PAILON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,25,25
PALCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
PALOS BLANCOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,44,44
PAMPA AULLAGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
PAMPA GRANDE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
PAPEL PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
PASORAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
PATACAMAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,25,25
PAZÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
PELECHUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
POCOATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,23,23
POCONA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,13,13
POJO (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,13,13
POOPO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
PORCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
POROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,21,21
PORONGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
PORTACHUELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,21,21
PORVENIR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
POSTRER VALLE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
POTOSI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,330,330
PRESTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,15,15
PUCARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,47,47
PUERTO ACOSTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,20,20
PUERTO CARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,21,21
PUERTO GONZALO MORENO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
PUERTO PEREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,5,5
PUERTO QUIJARRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,8,8
PUERTO RICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
PUERTO SILES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
PUERTO SUAREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,21,21
PUERTO VILLARROEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,99,99
PUNA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,45,45
PUNATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,61,61
QUIABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
QUILLACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,139,139
QUIME,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
QUIRUSILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
RAVELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,24,24
REYES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,24,24
RIBERALTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,178,178
ROBORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,28,28
RURRENABAQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,29,29
SABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
SACABA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,142,142
SACABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
SACACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,46,46
SAIPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,12,12
SAMAIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
SAN AGUSTIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
SAN ANDRES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,5,5
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
SAN BENITO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
SAN BORJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,76,76
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,22,22
SAN CARLOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,51,51
SAN IGNACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,32,32
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,117,117
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1,1
SAN JAVIER(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,34,34
SAN JOAQUIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,13,13
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,32,32
SAN JUAN DE YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,16,16
SAN JULIAN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,25,25
SAN LORENZO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,8,8
SAN LORENZO(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,22,22
SAN LUCAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,60,60
SAN MATIAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,19,19
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,17,17
SAN PABLO DE LIPEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
SAN PEDRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,23,23
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,31,31
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,11,11
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,2,2
SAN PEDRO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,7,7
SAN RAFAEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
SANTA ANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,54,54
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,1654,1654
SANTA ROSA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,15,15
SANTA ROSA DEL SARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,21,21
SANTIAGO DE CALLAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
SANTIAGO DE HUARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,11,11
SANTIAGO DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
SANTIVAÑES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,4,4
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,3,3
SAPAHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
SENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
SICA SICA (VILLA AROMA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,26,26
SICAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,5,5
SIPE SIPE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,28,28
SOPACHUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,16,16
SORACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,14,14
SORATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,15,15
SUCRE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,265,265
TACACOMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,9,9
TACOBAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,18,18
TACOPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,27,27
TAPACARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,40,40
TARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,36,36
TARACO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
TARATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vi,2007-01-01,6,6
