,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
COMBAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,2,2,4
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
SAN PABLO DE LIPEZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,10,1,11
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,0,1,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,4,0,4
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,2,0,2
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-02-01,2,1,3
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,0,2,2
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
CHIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,2,1,3
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
PAZÑA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
POSTRER VALLE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,2,0,2
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,9,7,16
SENA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-03-01,0,1,1
AYO AYO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,2,2,4
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,6,3,9
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,2,0,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,0,2,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-04-01,0,1,1
BELEN DE URMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,0,1,1
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,6,1,7
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,4,0,4
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,4,0,4
LLICA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,8,7,15
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-05-01,1,0,1
ANCORAIMES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
BOLIVAR,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,3,0,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,3,4,7
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,7,9,16
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-06-01,2,0,2
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,0,1,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,1,2
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,0,2,2
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,0,1,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,2,1,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,2,0,2
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,1,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,1,2
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,7,7,14
SENA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,1,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
VILLA SERRANO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-07-01,2,0,2
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,4,0,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,0,4,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,2,0,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,4,1,5
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,3,0,3
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,2,3
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,15,3,18
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,2,0,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-08-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,0,1,1
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,1,2
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,3,1,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,5,0,5
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,0,3,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,0,1,1
SAN JAVIER(BNI),tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,16,1,17
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,2,1,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,2,0,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,3,4
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-09-01,7,1,8
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,0,1,1
HUACHACALLA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,2,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,2,0,2
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2011-10-01,2,0,2
