,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,6,0,6
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,4,4,8
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,52,45,97
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,5,0,5
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,5,5,10
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,3,6,9
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,4,2,6
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,2,2
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
POSTRER VALLE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,12,0,12
PUERTO GONZALO MORENO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
PUERTO PEREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,11,2,13
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,4,4,8
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,5,1,6
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,7,3,10
SAN ANDRES DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,3,3
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,2,3
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,75,42,117
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,2,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,8,6,14
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,1,3
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,6,6,12
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,4,0,4
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
TOMINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,10,4,14
TURCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,3,5
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,1,3
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,4,0,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,2,2,4
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,5,8,13
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-01-01,5,5,10
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,2,2
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,1,3
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,2,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,4,5,9
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,1,2
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,1,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,21,5,26
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,1,2
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,0,2
CORO CORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,36,28,64
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,6,8
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,4,1,5
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,1,2
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,0,2
HUMANATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,1,3
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,0,3
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,4,2,6
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,30,25,55
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
MACHACAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,4,2,6
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,9,4,13
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,9,8,17
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,0,3
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,2,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,1,4
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
PAPEL PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,1,3
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,2,3
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
PUERTO GONZALO MORENO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,6,6,12
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,7,1,8
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,2,4
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,8,3,11
SACABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,1,4
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,2,3
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,1,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,3,6
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,66,53,119
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,1,2
SANTIAGO DE HUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,3,4
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,0,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,10,4,14
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,2,2
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,0,3
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,4,3,7
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,5,0,5
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,1,4
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
TOMINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,5,4,9
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,1,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,7,2,9
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,3,3,6
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,2,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,2,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,2,2,4
YACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,10,10,20
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,5,6,11
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,4,2,6
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,2,4
ANCORAIMES,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
BELEN DE URMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,2,3
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,1,3
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,1,2
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,1,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,1,3
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,1,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,5,6,11
CARMEN RIVERO TORREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,15,11,26
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,2,2
CORO CORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,4,2,6
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,2,3
DESAGUADERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,27,22,49
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,3,3,6
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,1,3
GUAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
HUMANATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,3,5
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,3,4,7
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,47,25,72
MAGDALENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,8,3,11
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,5,4,9
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,1,1,2
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,1,3
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,0,2,2
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2011-03-01,2,0,2
