,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,3,0,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,5,3,8
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,0,1,1
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,2,0,2
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,0,0,0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,2,2,4
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-04-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,1,1,2
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,2,4,6
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,1,2,3
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,2,0,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-05-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,0,2,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,1,0,1
ESCOMA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,0,2,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,3,1,4
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,0,4,4
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,2,1,3
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-06-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-07-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-07-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-07-01,0,2,2
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-07-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-07-01,1,1,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-07-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-07-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,0,2,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,2,0,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,2,1,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,4,0,4
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-09-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,6,0,6
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,1,1,2
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,1,4,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,5,2,7
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-10-01,1,0,1
BOLIVAR,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,2,0,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,0,2,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,1,2,3
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,1,1,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,1,0,1
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,2,1,3
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,2,4,6
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-11-01,0,1,1
BOLIVAR,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,0,2,2
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,13,5,18
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,5,9,14
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,1,1,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2011-12-01,1,0,1
