,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TOTALES
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-09-01,2,1,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-10-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-10-01,0,0,0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-11-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-11-01,0,0,0
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-11-01,0,2,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-12-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-12-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2011-12-01,1,0,1
