,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,10,5,15
PUERTO ACOSTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,2,2
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,4,0,4
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,3,3
SAN MATIAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,8,6,14
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,7,0,7
VITICHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-02-01,0,1,1
ACHOCALLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,0,1,1
BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,2,0,2
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,2,0,2
CHUMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,4,6,10
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,3,1,4
GUANAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,10,6,16
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,4,1,5
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,0,1,1
POCONA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,2,0,2
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,0,1,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,0,2,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
SAN PABLO DE LIPEZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,6,1,7
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,22,12,34
SENA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,2,3
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
TOMINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,1,2
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,3,4
VITICHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-03-01,1,0,1
ARQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,2,0,2
BELLA FLOR,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,2,0,2
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,1,1
CARAPARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
CHACARILLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,1,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,5,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,8,10,18
CONCEPCION,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,2,3
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,6,3,9
MAGDALENA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,2,0,2
PALCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
PORVENIR,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,2,0,2
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,3,4,7
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,1,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,2,3
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,9,0,9
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,2,2,4
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,3,2,5
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,2,1,3
UNCIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,2,1,3
VILLAZON,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-04-01,0,1,1
ACHOCALLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,0,1,1
AYATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,0,1,1
CAQUIAVIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,2,3
COCAPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,8,6,14
CONCEPCION,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,2,5,7
COTOCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,12,5,17
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,0,3,3
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,3,0,3
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,2,0,2
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,2,3
SAN LUCAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,2,3
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,8,2,10
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,2,3
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
UYUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-05-01,3,0,3
CAPINOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,1,2
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,2,2
CHIMORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,9,6,15
COLQUECHACA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,2,0,2
CONCEPCION,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,5,5,10
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,1,1
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,1,1
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,5,11,16
HUANUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,41,21,62
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,2,0,2
POCONA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,3,1,4
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,1,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
SAN MATIAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
SAN RAFAEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,4,0,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,27,87,114
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,1,2
SHINAOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,4,7,11
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,3,3
UNCIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-06-01,0,2,2
APOLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,4,0,4
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,9,12,21
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,4,1,5
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,9,0,9
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,2,3
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,12,0,12
PRESTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,1,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,2,2,4
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,3,4,7
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,5,2,7
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,0,1
TURCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-07-01,0,1,1
ACHACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,1,2
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,3,1,4
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,10,4,14
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,2,3,5
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,0,1,1
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,5,1,6
MECAPACA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,0,1,1
MOCOMOCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,1,2
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,2,1,3
POROMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,0,1,1
PORTACHUELO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,7,7,14
PRESTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
PUNATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,4,2,6
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,1,2
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,6,1,7
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,10,4,14
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,2,0,2
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-08-01,3,2,5
ALTO BENI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,0,1,1
ANZALDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
BOYUIBE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,3,0,3
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,5,6
COCAPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,4,4,8
COTOCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,7,1,8
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,21,6,27
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
MIZQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,13,8,21
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,10,5,15
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,1,2
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,2,2,4
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,2,0,2
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,8,7,15
SOPACHUY,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,0,1,1
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,2,1,3
TEOPONTE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,1,0,1
TOMAVE,tuberculosis y lepra,n de tbp baar (-) nuevos,2011-09-01,2,0,2
