,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,2,2,4
TOMINA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,0,1
UNCIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,3,0,3
VALLEGRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,0,1,1
VIACHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,0,1
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,3,1,4
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-01-01,1,1,2
ACHACACHI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
CAIROMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
CALAMARCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,3,4
CHALLAPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,5,2,7
COLPA BELGICA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,7,7,14
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,3,1,4
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
INQUISIVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,2,1,3
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,1,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,5,2,7
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,3,4
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,4,4
PUNATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,2,5,7
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,1,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,13,9,22
SANTA ROSA DEL SARA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,1,2
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,3,3,6
TAPACARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,2,1,3
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
TOMINA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,3,3
TUPIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,3,1,4
VILLAZON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,2,0,2
YACO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,0,1,1
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,4,3,7
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-02-01,4,3,7
ALTO BENI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,2,0,2
BATALLAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,5,9,14
BUENA VISTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,0,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,2,2,4
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,3,3
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,10,2,12
COMARAPA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,2,0,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,6,3,9
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,1,2
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,2,3
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,2,2,4
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,2,2
MINEROS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,2,3
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
PAMPA GRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,7,7
PUNATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,2,2,4
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,2,2,4
SAN BUENA VENTURA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,2,0,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,15,6,21
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,1,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,1,2
TAPACARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,2,0,2
TARABUCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,0,1
TEOPONTE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,3,1,4
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,4,4,8
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-03-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
ARQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,1,2
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,2,2
CABEZAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,2,2
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,4,2,6
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,12,13,25
COTAGAITA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,12,0,12
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,2,0,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,8,9,17
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,1,2
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,2,3
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,4,5
MINEROS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,1,2
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,2,0,2
PALCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
POCONA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,3,0,3
PORONGO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
PORVENIR,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,3,4
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,2,3
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,3,1,4
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,1,2
SAN MATIAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,2,1,3
SANTA ANA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,17,12,29
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
SICAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,1,2
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
TUPIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,4,5
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,1,0,1
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,2,1,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,2,1,3
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-04-01,3,4,7
AYATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,1,1
BETANZOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,4,0,4
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,4,5
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,0,2
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,9,11
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,2,4
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,3,0,3
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,2,3
MINEROS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,1,1
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,3,3
PADCAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
PORTACHUELO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,2,2
PUERTO SUAREZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,1,3
PUNA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,2,3
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,2,2
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,1,2
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,1,2
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,1,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,3,3
SAN LUCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,15,19,34
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,1,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,1,3
TACACOMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,0,2
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,1,2
TEOPONTE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,1,1
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,0,2
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,1,2,3
VILLAZON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,1,1
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,2,1,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,0,7,7
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-05-01,5,1,6
ANDAMARCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,2,1,3
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
BETANZOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
CABEZAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,1,1,2
CAIROMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,4,3,7
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,6,2,8
COLPA BELGICA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,6,4,10
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,2,2
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,3,5,8
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,1,1,2
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,1,1,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,2,2,4
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,4,0,4
POROMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,1,1,2
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,3,1,4
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,2,2
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,5,2,7
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2011-06-01,19,18,37
