municipality,group,variable,month,Nacidos vivos atendidos por partera capacitad,TOTAL
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,7,7
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,12,12
BOLPEBRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,5,5
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,16,16
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,16,16
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
COROICO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,6,6
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,10,10
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
EL VILLAR,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
GUANAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,6,6
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
INGAVI (HUMAITA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
LICOMA PAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
MAPIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,5,5
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,11,11
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
PAILON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
PALCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
PASORAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,6,6
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
PORVENIR,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,5,5
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
PUERTO RICO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
PUERTO SUAREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,8,8
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,12,12
REYES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
SABAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,29,29
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
SAMAIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,17,17
SAN CARLOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
SAN JAVIER(STC),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
SAN JUAN DE YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,12,12
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,5,5
SOPACHUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
SORATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
TACOBAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,4,4
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
TARVITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,5,5
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,5,5
TOMAVE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
TOMINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,6,6
TOTORA(ORR),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,5,5
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,3,3
UMALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
VACAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
VITICHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
YACO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
YAMPARAEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,2,2
YUNCHARA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-02-01,1,1
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,3,3
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,7,7
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,2,2
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,6,6
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,2,2
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,4,4
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,6,6
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,2,2
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,4,4
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,3,3
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,2,2
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,2,2
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,4,4
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,3,3
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,3,3
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2007-03-01,1,1
