municipality,group,variable,month,Partos atendidos por partera capacitada u otr,TOTAL
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,7,7
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,4,4
CHAQUI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,8,8
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,32,32
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
COMARAPA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
COMBAYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
CUEVO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,9,9
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
EL TORNO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
FILADELFIA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
HUACARETA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
HUACHACALLA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
HUAYLLAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,5,5
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,4,4
IXIAMAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
LICOMA PAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
LURIBAY,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
MOCOMOCO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
MOJOCOYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,5,5
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,9,9
OMEREQUE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
PADCAYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
PADILLA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,4,4
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
PASORAPA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
PAZÑA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,5,5
POCONA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
POJO (CBBA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
PORTACHUELO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,12,12
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
PUERTO RICO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
PUERTO SUAREZ,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,9,9
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,6,6
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
SABAYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,27,27
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
SAN ANDRES DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,12,12
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,13,13
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,6,6
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
SAN RAFAEL,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
SORACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,4,4
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
TACOBAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,4,4
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,10,10
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
TARACO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
TARIJA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
TEOPONTE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,12,12
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
TOMINA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
TOTORA(ORR),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
TURCO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,5,5
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,4,4
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
VILLAZON,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
VITICHI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,2,2
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
YAPACANI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,4,4
YUNCHARA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-01-01,3,3
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
ACHOCALLA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
ANCORAIMES,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
ANZALDO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,7,7
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
ARANI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
BELLA FLOR,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,12,12
BOLPEBRA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
CALACOTO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
CALAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
CARAPARI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,5,5
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,16,16
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,17,17
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
COROICO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,5,5
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,10,10
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
EL TORNO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
EL VILLAR,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
GUANAY,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
HUACARETA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,6,6
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
LA GUARDIA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
LICOMA PAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
LURIBAY,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
MAPIRI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
MOJOCOYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,5,5
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,11,11
OMEREQUE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
PAILON,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
PASORAPA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,6,6
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
PORVENIR,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
POTOSI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,5,5
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,5,5
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
PUERTO RICO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
PUERTO SUAREZ,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,8,8
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,12,12
REYES,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
SABAYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,30,30
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,17,17
SAN CARLOS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
SAN JAVIER(STC),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
SAN JUAN DE YAPACANI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
SAN JULIAN,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,12,12
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
SIPE SIPE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,5,5
SOPACHUY,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
SORACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
TACOBAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,4,4
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
TARVITA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,5,5
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,5,5
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
TOMINA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,6,6
TOTORA(ORR),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,5,5
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,3,3
UMALA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
VACAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
VILA VILA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
VITICHI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
YAMPARAEZ,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,2,2
YUNCHARA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-02-01,1,1
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,4,4
ACHOCALLA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,7,7
ANCORAIMES,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,7,7
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,2,2
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,4,4
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,6,6
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,2,2
BELLA FLOR,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,4,4
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,3,3
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,2,2
CAJUATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,2,2
CALACOTO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,4,4
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,3,3
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,3,3
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,3,3
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,13,13
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,5,5
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,36,36
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada u otr,2007-03-01,1,1
