municipality,group,variable,month,Niños menores de 5 años con 3ra dosis de hier,TOTAL
COLCAPIRHUA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,5,5
COLLANA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,3,3
COLOMI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,21,21
COLQUECHACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,20,20
CONCEPCION,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
CORIPATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,10,10
CORO CORO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
COROICO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,4,4
CURVA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,3,3
DESAGUADERO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,5,5
EL ALTO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,319,319
EL CHORO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
EL PUENTE(TJA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,9,9
ENTRE RIOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,26,26
ENTRE RIOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,8,8
EUREKA (SANTOS MERCADO),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,6,6
EXALTACION,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,15,15
FILADELFIA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,24,24
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,9,9
GUANAY,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,4,4
GUAQUI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,7,7
GUTIERREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,61,61
HUANUNI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,4,4
IRUPANA (VILLA DE LANZA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,12,12
JESUS DE MACHACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,10,10
LA ASUNTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,23,23
LA PAZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,433,433
LAGUNILLAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,3,3
MAGDALENA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,15,15
MECAPACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
MINEROS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,17,17
MOROCHATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,27,27
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,11,11
OCURI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,22,22
OMEREQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,3,3
ORURO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,78,78
PADCAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,32,32
PAILON,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,16,16
PALCA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,3,3
PALOS BLANCOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,53,53
PAPEL PAMPA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,6,6
PATACAMAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,43,43
PELECHUCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,11,11
POCOATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,6,6
POCONA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,17,17
POJO (CBBA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,4,4
POTOSI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,10,10
PUCARANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,16,16
PUERTO QUIJARRO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,40,40
PUERTO RICO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,7,7
PUERTO SILES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
PUERTO SUAREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,98,98
PUERTO VILLARROEL,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,42,42
PUNA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,18,18
PUNATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,31,31
QUILLACOLLO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,35,35
QUIME,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,20,20
RAVELO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,15,15
RIBERALTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,119,119
ROBORE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,13,13
SABAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,4,4
SACABA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,90,90
SACABAMBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,8,8
SAN ANDRES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,8,8
SAN ANDRES DE MACHACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,17,17
SAN BENITO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,5,5
SAN CARLOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,71,71
SAN IGNACIO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,109,109
SAN JOSE DE CHIQUITOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,30,30
SAN JUAN DE YAPACANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,19,19
SAN LORENZO(PND),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,48,48
SAN LORENZO(TJA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,45,45
SAN RAMON,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,25,25
SANTA ANA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,15,15
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,677,677
SANTIVAÑES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,5,5
SENA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,21,21
SICA SICA (VILLA AROMA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,21,21
SICAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,3,3
SIPE SIPE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,16,16
SUCRE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,8,8
TACACHI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,1,1
TACOPAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,3,3
TAPACARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,18,18
TARACO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,15,15
TARATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,6,6
TARIJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,83,83
TIAWANACU,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,24,24
TIQUIPAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,47,47
TIRAQUE (CBBA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,15,15
TOCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,8,8
TOLATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
TOMAVE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
TOTORA(CBBA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,3,3
TRINIDAD,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,50,50
TUPIZA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,4,4
TURCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,2,2
UMALA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,5,5
UNCIA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,56,56
URIONDO (A. CONCEPCION),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,34,34
VACAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,9,9
VALLEGRANDE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,107,107
VIACHA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,34,34
VILA VILA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,1,1
VILLA RIVERO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,8,8
VILLA TUNARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,21,21
VINTO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,6,6
YACO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,12,12
YACUIBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,79,79
YANACACHI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,9,9
YAPACANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-01-01,84,84
ACHOCALLA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,7,7
AIQUILE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,7,7
ANTEQUERA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
APOLO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,2,2
ARQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,15,15
ASCENCION DE GUARAYOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,6,6
ATOCHA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,22,22
AUCAPATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,42,42
BATALLAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,19,19
BAURES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
BELEN DE URMIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,5,5
BELLA FLOR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,17,17
BERMEJO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,13,13
BOLIVAR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,10,10
BOLPEBRA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,8,8
BOYUIBE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
BUENA VISTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,57,57
CABEZAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,5,5
CAJUATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,83,83
CAMIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,32,32
CAPINOTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,10,10
CARANAVI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,20,20
CARAPARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,14,14
CARMEN RIVERO TORREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,33,33
CHARAGUA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,34,34
CHAYANTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,44,44
CHIMORE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,12,12
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,10,10
CLIZA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,12,12
COBIJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,46,46
COCHABAMBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,128,128
COLCAPIRHUA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,16,16
COLLANA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
COLOMI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,13,13
COLQUECHACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,18,18
CORIPATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,7,7
CORO CORO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,5,5
COROICO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,16,16
CORQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
CURVA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,4,4
DESAGUADERO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
EL ALTO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,281,281
EL CHORO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
EL PUENTE(STC),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
EL PUENTE(TJA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,21,21
ENTRE RIOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,21,21
ENTRE RIOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,31,31
EUREKA (SANTOS MERCADO),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
EXALTACION,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,29,29
FILADELFIA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,23,23
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,33,33
GUANAY,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,4,4
GUAQUI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,8,8
GUTIERREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,51,51
ICHOCA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
IRUPANA (VILLA DE LANZA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
JESUS DE MACHACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,14,14
LA ASUNTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,35,35
LA PAZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,308,308
LAGUNILLAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,19,19
MAGDALENA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,2,2
MECAPACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,9,9
MIZQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,4,4
MOROCHATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,21,21
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
OCURI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,17,17
ORURO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,2,2
PADCAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,46,46
PAILON,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,10,10
PALOS BLANCOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,64,64
PAPEL PAMPA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,6,6
PATACAMAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,47,47
PELECHUCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,12,12
POCOATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,6,6
POCONA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,13,13
POJO (CBBA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,13,13
PORCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,6,6
PORVENIR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,4,4
PUCARANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,37,37
PUERTO GONZALO MORENO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,20,20
PUERTO QUIJARRO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,27,27
PUERTO RICO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,18,18
PUERTO SILES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,11,11
PUERTO SUAREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,43,43
PUERTO VILLARROEL,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,61,61
PUNA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,23,23
PUNATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,18,18
QUILLACOLLO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,72,72
QUIME,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
RAVELO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,31,31
RIBERALTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,100,100
ROBORE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,9,9
SABAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,2,2
SACABA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,56,56
SACABAMBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,2,2
SALINAS DE GARCI MENDOZA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
SAN ANDRES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,35,35
SAN ANDRES DE MACHACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
SAN BENITO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
SAN CARLOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,75,75
SAN IGNACIO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,55,55
SAN JOAQUIN,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,29,29
SAN JOSE DE CHIQUITOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,7,7
SAN JUAN DE YAPACANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,29,29
SAN LORENZO(PND),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,10,10
SAN LORENZO(TJA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,36,36
SAN PEDRO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,8,8
SAN RAMON,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,10,10
SANTA ANA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,14,14
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,424,424
SANTIVAÑES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
SENA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,15,15
SICA SICA (VILLA AROMA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,16,16
SIPE SIPE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,8,8
SUCRE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,32,32
TACACHI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,2,2
TACOBAMBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
TACOPAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,4,4
TAPACARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,10,10
TARACO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,10,10
TARATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,4,4
TARIJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,111,111
TIAWANACU,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,6,6
TIPUANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,2,2
TIQUIPAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,192,192
TIRAQUE (CBBA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,11,11
TOCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
TOMAVE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,33,33
TOTORA(CBBA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,1,1
TRINIDAD,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,81,81
UMALA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,8,8
UNCIA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,49,49
URIONDO (A. CONCEPCION),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,33,33
URUBICHA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,10,10
VACAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,7,7
VALLEGRANDE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,210,210
VIACHA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,47,47
VILLA NUEVA (LOMA ALTA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,3,3
VILLA TUNARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,11,11
VINTO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2005-02-01,16,16
