municipality,group,variable,month,Niños de 6 a 11 meses con dosis única de vitam,TOTAL
BELEN DE URMIRI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
BELLA FLOR,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
BERMEJO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,68,68
BETANZOS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,27,27
BOLIVAR,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
BOLPEBRA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
BOYUIBE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,3,3
BUENA VISTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,51,51
CABEZAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,46,46
CAIROMA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,28,28
"CAIZA ""D""",micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,12,12
CAJUATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,32,32
CALACOTO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
CALAMARCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,12,12
CAMARGO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,24,24
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,7,7
CAMIRI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,139,139
CAPINOTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
CAQUIAVIRI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
CARACOLLO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,21,21
CARANAVI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,69,69
CARAPARI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,20,20
CARIPUYO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,20,20
CARMEN RIVERO TORREZ,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,20,20
CATACORA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
CHACARILLA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
CHALLAPATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,46,46
CHAQUI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
CHARAGUA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,58,58
CHARAÑA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
CHAYANTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
CHIMORE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,13,13
CHIPAYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,3,3
CHOQUE COTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,16,16
CHUMA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
CLIZA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
COBIJA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,96,96
COCHABAMBA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,406,406
COIPASA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
COLOMI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,61,61
COLPA BELGICA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
COLQUECHACA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,18,18
COLQUENCHA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,19,19
COLQUIRI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,22,22
COMANCHE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
COMARAPA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,39,39
CONCEPCION,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
COPACABANA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,26,26
CORIPATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,19,19
CORO CORO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
COROICO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,61,61
CORQUE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,12,12
COTAGAITA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,34,34
COTOCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,102,102
CUATRO CAÑADAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
CUEVO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
CULPINA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,48,48
CURAHUARA DE CARANGAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
CURVA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,4,4
DESAGUADERO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,16,16
EL ALTO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,502,502
EL CHORO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
EL PUENTE(STC),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,24,24
EL PUENTE(TJA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
EL TORNO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,65,65
ENTRE RIOS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,55,55
ENTRE RIOS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,35,35
EUCALIPTUS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
EXALTACION,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,4,4
FERNANDEZ ALONSO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,40,40
FILADELFIA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,12,12
GENERAL SAAVEDRA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,61,61
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
GUANAY,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,20,20
GUAQUI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
GUAYARAMERIN,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,50,50
GUTIERREZ,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,41,41
HUACARETA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,21,21
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
HUANUNI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,35,35
HUARACAJE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,7,7
HUAYLLAMARCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
ICHOCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,7,7
ICLA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
INCAHUASI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,48,48
INGAVI (HUMAITA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
INQUISIVI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,41,41
IRUPANA (VILLA DE LANZA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,27,27
IXIAMAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
JESUS DE MACHACA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,18,18
LA ASUNTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
LA GUARDIA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,70,70
LA PAZ,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1112,1112
LA RIVERA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
LAGUNILLAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,12,12
LAJA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,18,18
LAS CARRERAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
LLALLAGUA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,24,24
LLICA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
LORETO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
LURIBAY,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,4,4
MACHARETI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
MAGDALENA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,21,21
MAIRANA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,10,10
MALLA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,3,3
MAPIRI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
MECAPACA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,14,14
MINEROS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,54,54
MIZQUE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,28,28
MOCOMOCO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,18,18
MOJOCOYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
MONTEAGUDO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,27,27
MONTERO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,156,156
MORO MORO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,3,3
MOROCHATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,38,38
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
OCURI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,33,33
OKINAWA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,36,36
ORURO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,152,152
PADCAYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,18,18
PADILLA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1,1
PAILON,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
PALCA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
PALOS BLANCOS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,48,48
PAMPA AULLAGAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
PAMPA GRANDE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
PAPEL PAMPA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,3,3
PASORAPA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
PATACAMAYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,48,48
PAZÑA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
PELECHUCO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
POCOATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
POCONA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
POJO (CBBA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,19,19
POOPO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
PORCO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
POROMA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,24,24
PORONGO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,16,16
PORTACHUELO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,39,39
PORVENIR,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,4,4
POSTRER VALLE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
POTOSI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,234,234
PRESTO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,14,14
PUCARA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
PUCARANI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,35,35
PUERTO ACOSTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,32,32
PUERTO CARABUCO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,33,33
PUERTO GONZALO MORENO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
PUERTO PEREZ,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
PUERTO QUIJARRO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,31,31
PUERTO RICO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,7,7
PUERTO SUAREZ,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
PUERTO VILLARROEL,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,52,52
PUNA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,29,29
PUNATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,60,60
QUIABAYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,4,4
QUILLACOLLO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,221,221
QUIME,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,19,19
QUIRUSILLAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,4,4
RAVELO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
REYES,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,31,31
RIBERALTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,167,167
ROBORE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
RURRENABAQUE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,32,32
SACABA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,42,42
SACABAMBA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,10,10
SACACA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,27,27
SAIPINA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,13,13
SALINAS DE GARCI MENDOZA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
SAMAIPATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
SAN ANDRES,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,26,26
SAN ANDRES DE MACHACA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,7,7
SAN ANTONIO DE LOMERIO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,20,20
SAN BENITO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
SAN BORJA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,45,45
SAN BUENA VENTURA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
SAN CARLOS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,47,47
SAN IGNACIO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,66,66
SAN IGNACIO DE VELASCO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,91,91
SAN JAVIER(BNI),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
SAN JAVIER(STC),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
SAN JOAQUIN,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,22,22
SAN JUAN DE YAPACANI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,21,21
SAN JULIAN,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,26,26
SAN LORENZO(PND),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,12,12
SAN LORENZO(TJA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,23,23
SAN LUCAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,58,58
SAN MATIAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
SAN MIGUEL DE VELASCO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
SAN PEDRO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,29,29
SAN PEDRO DE BUENA VISTA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,26,26
SAN PEDRO DE CURAHUARA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,11,11
SAN PEDRO DE TIQUINA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
SAN RAFAEL,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
SAN RAMON,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,16,16
SAN RAMON,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,13,13
SANTA ANA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,20,20
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,1294,1294
SANTA ROSA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,18,18
SANTA ROSA DEL SARA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,18,18
SANTIAGO DE CALLAPA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
SANTIAGO DE HUARI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
SANTIAGO DE MACHACA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
SANTIVAÑES,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
SANTUARIO DE QUILLACAS,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
SAPAHAQUI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,10,10
SENA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
SICA SICA (VILLA AROMA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,25,25
SICAYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
SIPE SIPE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,22,22
SOPACHUY,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,3,3
SORACACHI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,18,18
SORATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,50,50
SUCRE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,225,225
TACACHI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
TACACOMA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,14,14
TACOBAMBA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
TACOPAYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
TAPACARI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,42,42
TARABUCO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,69,69
TARACO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,6,6
TARATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,14,14
TARIJA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,129,129
TARVITA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,81,81
TEOPONTE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,9,9
TIAWANACU,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,27,27
TINGUIPAYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,25,25
TIPUANI,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
TIQUIPAYA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,27,27
TIRAQUE (CBBA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,53,53
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
TOCO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,14,14
TOLATA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,2,2
TOLEDO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,8,8
TOMAVE,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,5,5
TOMINA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,4,4
TORO TORO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,18,18
TOTORA(CBBA),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,10,10
TOTORA(ORR),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,3,3
TRINIDAD,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,372,372
TUPIZA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,125,125
TURCO,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,4,4
UMALA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,13,13
UNCIA,micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,15,15
URIONDO (A. CONCEPCION),micronutrientes,ninos de 6 a 11 meses con dosis unica de vitam,2005-01-01,30,30
