,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
ARANI,atencion odontologica,consulta nueva,2023-01-01,13,6,62,86,39,58,54,109,14,11,0,0,0,0,452
ARBIETO,atencion odontologica,consulta nueva,2023-01-01,53,56,166,156,87,118,42,230,21,10,0,8,0,6,953
ARQUE,atencion odontologica,consulta nueva,2023-01-01,7,27,47,45,48,45,44,59,8,6,0,6,0,6,348
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2023-01-01,29,30,150,104,65,77,87,208,4,3,0,16,0,7,780
ATOCHA,atencion odontologica,consulta nueva,2023-01-01,15,17,107,100,87,110,114,214,15,14,0,11,0,3,807
AUCAPATA,atencion odontologica,consulta nueva,2023-01-01,0,3,2,19,9,16,33,74,6,8,0,5,0,3,178
AYATA,atencion odontologica,consulta nueva,2023-01-01,15,18,34,49,24,22,65,109,17,22,0,5,0,4,384
AYO AYO,atencion odontologica,consulta nueva,2023-01-01,2,6,31,26,39,63,31,89,8,19,0,0,0,0,314
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2023-01-01,18,31,166,227,83,188,146,363,33,28,0,4,0,15,1302
AZURDUY,atencion odontologica,consulta nueva,2023-01-01,0,59,28,61,33,65,23,96,2,13,0,0,0,0,380
BATALLAS,atencion odontologica,consulta nueva,2023-01-01,33,44,92,130,48,76,49,161,36,24,0,3,0,0,696
BAURES,atencion odontologica,consulta nueva,2023-01-01,6,1,19,12,3,5,13,24,4,1,0,1,0,0,89
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2023-01-01,19,17,31,14,19,8,15,25,4,11,0,9,0,0,172
BELEN DE URMIRI,atencion odontologica,consulta nueva,2023-01-01,7,10,26,9,19,8,17,30,11,8,0,0,0,0,145
BELLA FLOR,atencion odontologica,consulta nueva,2023-01-01,14,21,6,7,6,6,5,18,0,0,0,1,0,1,85
BERMEJO,atencion odontologica,consulta nueva,2023-01-01,24,13,137,131,60,96,125,262,34,25,0,2,0,0,909
BETANZOS,atencion odontologica,consulta nueva,2023-01-01,67,81,295,300,121,141,148,375,41,54,0,10,0,20,1653
BOLIVAR,atencion odontologica,consulta nueva,2023-01-01,4,0,5,10,0,2,4,12,3,0,0,2,0,0,42
BOLPEBRA,atencion odontologica,consulta nueva,2023-01-01,2,0,2,0,6,0,2,0,0,0,0,0,0,0,12
BOYUIBE,atencion odontologica,consulta nueva,2023-01-01,4,11,25,45,8,24,34,77,9,7,0,0,0,0,244
BUENA VISTA,atencion odontologica,consulta nueva,2023-01-01,20,39,62,80,18,79,36,75,16,1,0,9,0,1,436
CABEZAS,atencion odontologica,consulta nueva,2023-01-01,67,80,111,148,54,59,44,137,24,28,0,10,0,0,762
CAIROMA,atencion odontologica,consulta nueva,2023-01-01,2,3,10,7,5,5,16,23,0,0,0,7,0,0,78
"CAIZA ""D""",atencion odontologica,consulta nueva,2023-01-01,16,16,66,88,26,72,36,98,9,15,0,15,0,1,458
CAJUATA,atencion odontologica,consulta nueva,2023-01-01,27,16,77,48,50,32,61,88,11,12,0,0,0,3,425
CALACOTO,atencion odontologica,consulta nueva,2023-01-01,0,3,8,18,2,0,10,7,0,4,0,0,0,0,52
CALAMARCA,atencion odontologica,consulta nueva,2023-01-01,18,27,90,96,118,107,55,109,8,10,0,4,0,2,644
CAMARGO,atencion odontologica,consulta nueva,2023-01-01,14,17,47,172,45,63,46,142,21,7,0,18,0,0,592
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2023-01-01,20,2,59,44,38,22,25,48,1,5,0,0,0,0,264
CAMIRI,atencion odontologica,consulta nueva,2023-01-01,36,52,175,177,36,105,128,384,24,44,0,34,0,0,1195
CAPINOTA,atencion odontologica,consulta nueva,2023-01-01,43,11,81,128,45,89,42,132,28,12,0,7,0,2,620
CAQUIAVIRI,atencion odontologica,consulta nueva,2023-01-01,22,10,54,77,23,53,34,56,17,22,0,3,0,1,372
CARACOLLO,atencion odontologica,consulta nueva,2023-01-01,47,49,159,221,87,185,125,288,23,27,0,18,0,1,1230
CARANAVI,atencion odontologica,consulta nueva,2023-01-01,30,16,94,111,102,62,54,136,23,5,0,21,0,1,655
CARANGAS,atencion odontologica,consulta nueva,2023-01-01,1,2,1,12,1,8,2,7,1,3,0,0,0,0,38
CARAPARI,atencion odontologica,consulta nueva,2023-01-01,11,17,118,142,66,84,53,243,70,18,0,3,0,10,835
CARIPUYO,atencion odontologica,consulta nueva,2023-01-01,5,15,21,7,52,8,35,54,3,15,0,3,0,5,223
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2023-01-01,20,3,24,35,5,10,16,43,8,0,0,0,0,0,164
CHALLAPATA,atencion odontologica,consulta nueva,2023-01-01,88,63,353,331,313,223,119,447,76,80,0,73,0,2,2168
CHAQUI,atencion odontologica,consulta nueva,2023-01-01,32,45,57,46,13,37,30,95,18,21,0,13,0,1,408
CHARAGUA,atencion odontologica,consulta nueva,2023-01-01,52,52,68,64,38,93,64,163,35,19,0,1,0,0,649
CHARAÑA,atencion odontologica,consulta nueva,2023-01-01,5,3,6,16,18,46,18,29,7,2,0,0,0,0,150
CHAYANTA,atencion odontologica,consulta nueva,2023-01-01,40,57,64,93,46,52,71,122,27,16,0,3,0,5,596
CHIMORE,atencion odontologica,consulta nueva,2023-01-01,27,37,170,223,158,111,94,179,24,7,0,2,0,0,1032
CHIPAYA,atencion odontologica,consulta nueva,2023-01-01,1,0,0,13,0,6,0,13,1,0,0,1,0,1,36
CHUA COCANI,atencion odontologica,consulta nueva,2023-01-01,18,18,25,44,10,29,25,70,8,7,0,0,0,0,254
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2023-01-01,9,4,16,39,30,18,12,14,0,0,0,0,0,0,142
CHUMA,atencion odontologica,consulta nueva,2023-01-01,31,29,47,72,41,57,88,149,42,27,0,3,0,3,589
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2023-01-01,13,5,28,20,8,14,17,56,4,1,0,0,0,0,166
CKOCHAS,atencion odontologica,consulta nueva,2023-01-01,7,3,25,32,5,22,17,56,11,7,0,6,0,1,192
CLIZA,atencion odontologica,consulta nueva,2023-01-01,64,75,152,153,46,76,53,143,31,34,0,3,0,0,830
COBIJA,atencion odontologica,consulta nueva,2023-01-01,254,217,357,436,181,235,268,594,36,44,0,91,0,29,2742
COCAPATA,atencion odontologica,consulta nueva,2023-01-01,18,2,20,31,23,58,21,82,8,8,0,4,0,0,275
COCHABAMBA,atencion odontologica,consulta nueva,2023-01-01,625,667,2642,3039,1169,1503,1593,3437,616,574,0,151,0,32,16048
COIPASA,atencion odontologica,consulta nueva,2023-01-01,3,6,6,25,6,0,7,13,5,8,0,0,0,0,79
COLCAPIRHUA,atencion odontologica,consulta nueva,2023-01-01,43,56,392,338,154,280,193,411,45,64,0,4,0,0,1980
"COLCHA ""K""",atencion odontologica,consulta nueva,2023-01-01,4,0,20,15,6,15,16,26,2,7,0,0,0,0,111
COLLANA,atencion odontologica,consulta nueva,2023-01-01,8,1,68,33,97,65,31,55,2,0,0,0,0,0,360
COLOMI,atencion odontologica,consulta nueva,2023-01-01,35,34,97,157,88,74,53,128,12,21,0,4,0,0,703
COLPA BELGICA,atencion odontologica,consulta nueva,2023-01-01,2,4,54,61,14,23,48,50,0,6,0,0,0,0,262
COLQUECHACA,atencion odontologica,consulta nueva,2023-01-01,16,4,17,34,19,22,39,82,7,17,0,6,0,2,265
COLQUENCHA,atencion odontologica,consulta nueva,2023-01-01,37,23,137,99,122,120,46,134,11,8,0,9,0,0,746
COLQUIRI,atencion odontologica,consulta nueva,2023-01-01,24,34,125,185,131,137,109,293,25,24,0,4,0,2,1093
COMANCHE,atencion odontologica,consulta nueva,2023-01-01,1,11,5,7,4,14,14,17,1,1,0,0,0,0,75
COMARAPA,atencion odontologica,consulta nueva,2023-01-01,32,40,102,191,52,122,80,200,19,7,0,8,0,23,876
COMBAYA,atencion odontologica,consulta nueva,2023-01-01,3,1,3,3,5,1,17,9,4,10,0,0,0,0,56
CONCEPCION,atencion odontologica,consulta nueva,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COPACABANA,atencion odontologica,consulta nueva,2023-01-01,6,10,22,43,34,32,35,47,1,5,0,3,0,1,239
CORIPATA,atencion odontologica,consulta nueva,2023-01-01,14,13,113,95,67,55,40,89,5,0,0,0,0,0,491
CORO CORO,atencion odontologica,consulta nueva,2023-01-01,10,9,41,76,46,55,26,88,11,4,0,1,0,0,367
COROICO,atencion odontologica,consulta nueva,2023-01-01,13,28,91,94,82,88,66,196,18,18,0,9,0,2,705
CORQUE,atencion odontologica,consulta nueva,2023-01-01,10,3,28,38,19,35,21,40,11,22,0,7,0,0,234
COTAGAITA,atencion odontologica,consulta nueva,2023-01-01,100,91,162,177,132,192,159,420,67,29,0,41,0,7,1577
COTOCA,atencion odontologica,consulta nueva,2023-01-01,83,61,134,163,36,71,54,227,16,20,0,17,0,0,882
CRUZ DE MACHACAMARCA,atencion odontologica,consulta nueva,2023-01-01,0,1,4,4,5,9,29,30,12,17,0,0,0,0,111
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2023-01-01,78,85,180,362,55,131,91,235,12,13,0,20,0,3,1265
CUEVO,atencion odontologica,consulta nueva,2023-01-01,0,4,11,21,5,17,21,54,8,1,0,1,0,0,143
CULPINA,atencion odontologica,consulta nueva,2023-01-01,8,8,39,50,32,37,28,122,2,16,0,8,0,2,352
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2023-01-01,33,35,115,137,20,28,27,101,4,20,0,1,0,0,521
CURVA,atencion odontologica,consulta nueva,2023-01-01,7,0,13,15,17,3,10,22,11,4,0,2,0,3,107
DESAGUADERO,atencion odontologica,consulta nueva,2023-01-01,13,2,35,28,45,29,31,45,7,23,0,2,0,2,262
EL ALTO,atencion odontologica,consulta nueva,2023-01-01,816,923,2448,3036,1379,1636,996,2452,301,173,0,511,0,27,14698
EL CHORO,atencion odontologica,consulta nueva,2023-01-01,26,4,23,40,18,17,16,69,20,6,0,4,0,2,245
EL PUENTE(STC),atencion odontologica,consulta nueva,2023-01-01,17,19,71,144,29,60,71,136,3,4,0,0,0,0,554
EL PUENTE(TJA),atencion odontologica,consulta nueva,2023-01-01,2,10,31,43,21,54,40,95,9,17,0,5,0,0,327
EL TORNO,atencion odontologica,consulta nueva,2023-01-01,228,203,105,92,47,101,70,234,75,92,0,82,0,66,1395
EL VILLAR,atencion odontologica,consulta nueva,2023-01-01,3,0,35,42,27,36,39,66,9,2,0,0,0,0,259
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2023-01-01,12,16,132,174,76,96,69,214,13,4,0,4,0,0,810
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2023-01-01,35,44,141,223,108,126,48,219,3,11,0,5,0,8,971
ESCARA,atencion odontologica,consulta nueva,2023-01-01,0,0,22,8,0,0,0,48,0,23,0,0,0,0,101
ESCOMA,atencion odontologica,consulta nueva,2023-01-01,20,7,29,47,55,16,22,72,15,14,0,2,0,3,302
ESMERALDA,atencion odontologica,consulta nueva,2023-01-01,0,0,10,5,3,6,0,10,10,11,0,0,0,0,55
EUCALIPTUS,atencion odontologica,consulta nueva,2023-01-01,0,9,23,30,38,48,19,60,6,18,0,13,0,0,264
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2023-01-01,31,36,142,149,68,73,82,296,19,5,0,4,0,1,906
FILADELFIA,atencion odontologica,consulta nueva,2023-01-01,14,12,29,50,16,14,11,50,8,3,0,10,0,2,219
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2023-01-01,12,11,60,80,37,35,10,107,8,5,0,14,0,2,381
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2023-01-01,16,54,56,62,79,63,103,138,29,39,0,7,0,1,647
GUANAY,atencion odontologica,consulta nueva,2023-01-01,10,8,18,52,20,28,32,66,14,3,0,2,0,0,253
GUAQUI,atencion odontologica,consulta nueva,2023-01-01,8,11,26,34,34,18,33,89,38,32,0,6,0,3,332
GUAYARAMERIN,atencion odontologica,consulta nueva,2023-01-01,25,14,116,167,30,97,33,107,2,8,0,26,0,2,627
GUTIERREZ,atencion odontologica,consulta nueva,2023-01-01,7,15,19,51,13,34,59,103,12,7,0,10,0,0,330
HUACARAJE,atencion odontologica,consulta nueva,2023-01-01,4,5,19,27,19,13,26,17,7,3,0,3,0,1,144
HUACARETA,atencion odontologica,consulta nueva,2023-01-01,2,3,27,56,1,49,32,57,3,1,0,0,0,0,231
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2023-01-01,2,4,10,10,2,2,11,13,1,0,0,4,0,0,59
HUACHACALLA,atencion odontologica,consulta nueva,2023-01-01,7,5,22,28,14,6,22,16,1,8,0,1,0,0,130
HUANUNI,atencion odontologica,consulta nueva,2023-01-01,30,9,111,168,122,158,59,159,32,13,0,14,0,0,875
HUARINA,atencion odontologica,consulta nueva,2023-01-01,7,11,32,31,27,17,32,39,9,13,0,0,0,1,219
HUATAJATA,atencion odontologica,consulta nueva,2023-01-01,13,18,43,55,20,15,12,58,4,7,0,0,0,0,245
HUAYLLAMARCA,atencion odontologica,consulta nueva,2023-01-01,18,19,25,40,25,50,25,46,31,13,0,3,0,0,295
HUMANATA,atencion odontologica,consulta nueva,2023-01-01,4,4,17,30,11,25,25,54,15,29,0,1,0,1,216
ICHOCA,atencion odontologica,consulta nueva,2023-01-01,6,0,20,27,22,29,36,43,22,8,0,4,0,0,217
ICLA,atencion odontologica,consulta nueva,2023-01-01,41,45,38,60,53,51,48,128,11,8,0,11,0,0,494
INCAHUASI,atencion odontologica,consulta nueva,2023-01-01,6,7,49,69,34,76,38,127,4,7,0,2,0,4,423
INQUISIVI,atencion odontologica,consulta nueva,2023-01-01,14,7,16,41,35,34,29,26,17,11,0,0,0,0,230
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2023-01-01,34,41,73,82,36,55,84,111,19,14,0,2,0,0,551
IXIAMAS,atencion odontologica,consulta nueva,2023-01-01,5,15,81,67,28,43,51,59,8,2,0,4,0,0,363
JESUS DE MACHACA,atencion odontologica,consulta nueva,2023-01-01,11,10,51,43,54,39,38,107,9,5,0,4,0,1,372
LA ASUNTA,atencion odontologica,consulta nueva,2023-01-01,210,171,308,381,283,269,330,611,37,32,0,51,0,8,2691
LA GUARDIA,atencion odontologica,consulta nueva,2023-01-01,130,129,175,190,23,69,53,213,19,8,0,8,0,0,1017
LA PAZ,atencion odontologica,consulta nueva,2023-01-01,1184,1208,3583,3616,1498,1882,2398,4549,767,618,0,412,0,57,21772
LA RIVERA,atencion odontologica,consulta nueva,2023-01-01,1,4,5,10,0,4,6,10,0,0,0,0,0,0,40
LAGUNILLAS,atencion odontologica,consulta nueva,2023-01-01,22,4,26,65,22,26,9,89,6,2,0,1,0,0,272
LAJA,atencion odontologica,consulta nueva,2023-01-01,104,165,161,236,85,80,60,241,23,66,0,31,0,12,1264
LAS CARRERAS,atencion odontologica,consulta nueva,2023-01-01,2,2,41,19,4,23,48,115,6,7,0,0,0,0,267
LICOMA PAMPA,atencion odontologica,consulta nueva,2023-01-01,13,12,24,44,6,10,7,20,0,0,0,2,0,0,138
LLALLAGUA,atencion odontologica,consulta nueva,2023-01-01,84,75,253,282,186,159,113,374,3,23,0,14,0,0,1566
LORETO,atencion odontologica,consulta nueva,2023-01-01,0,1,1,5,1,7,1,5,0,0,0,1,0,0,22
LURIBAY,atencion odontologica,consulta nueva,2023-01-01,17,15,22,40,10,36,49,78,5,7,0,4,0,1,284
MACHACAMARCA,atencion odontologica,consulta nueva,2023-01-01,7,4,65,67,30,35,54,69,13,15,0,2,0,0,361
MACHARETI,atencion odontologica,consulta nueva,2023-01-01,1,3,12,34,4,12,10,58,0,3,0,0,0,0,137
MAGDALENA,atencion odontologica,consulta nueva,2023-01-01,2,2,19,16,16,31,15,41,13,6,0,3,0,0,164
MAIRANA,atencion odontologica,consulta nueva,2023-01-01,38,44,174,250,19,130,67,194,29,16,0,40,0,14,1015
MALLA,atencion odontologica,consulta nueva,2023-01-01,9,17,14,25,14,10,47,33,6,5,0,3,0,1,184
MAPIRI,atencion odontologica,consulta nueva,2023-01-01,19,4,44,64,8,7,15,56,3,3,0,11,0,0,234
MECAPACA,atencion odontologica,consulta nueva,2023-01-01,28,13,59,59,33,61,42,72,9,4,0,2,0,2,384
MINEROS,atencion odontologica,consulta nueva,2023-01-01,29,25,34,35,30,54,13,80,12,12,0,34,0,2,360
MIZQUE,atencion odontologica,consulta nueva,2023-01-01,35,33,133,200,71,85,45,207,20,7,0,26,0,4,866
MOCOMOCO,atencion odontologica,consulta nueva,2023-01-01,9,20,69,90,118,87,108,156,22,17,0,9,0,2,707
MOJINETE,atencion odontologica,consulta nueva,2023-01-01,2,2,13,14,0,14,3,15,0,0,0,0,0,0,63
MOJOCOYA,atencion odontologica,consulta nueva,2023-01-01,17,21,71,109,66,28,52,177,2,9,0,1,0,0,553
MONTEAGUDO,atencion odontologica,consulta nueva,2023-01-01,16,31,183,263,48,215,114,199,15,13,0,2,0,0,1099
MONTERO,atencion odontologica,consulta nueva,2023-01-01,287,333,669,809,227,480,223,1099,89,107,0,194,0,18,4535
MORO MORO,atencion odontologica,consulta nueva,2023-01-01,3,23,21,19,4,7,12,40,3,4,0,2,0,1,139
MOROCHATA,atencion odontologica,consulta nueva,2023-01-01,23,7,72,81,65,84,63,155,9,25,0,4,0,0,588
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consulta nueva,2023-01-01,0,0,2,1,0,0,0,2,1,0,0,0,0,0,6
NAZACARA DE PACAJES,atencion odontologica,consulta nueva,2023-01-01,0,5,5,2,2,5,7,15,0,2,0,0,0,0,43
OCURI,atencion odontologica,consulta nueva,2023-01-01,46,34,58,98,24,76,72,159,51,58,0,25,0,4,705
OKINAWA,atencion odontologica,consulta nueva,2023-01-01,4,5,12,18,10,15,13,38,13,2,0,9,0,0,139
OMEREQUE,atencion odontologica,consulta nueva,2023-01-01,0,0,1,1,1,6,4,12,0,0,0,0,0,0,25
ORURO,atencion odontologica,consulta nueva,2023-01-01,695,639,2223,2752,1355,1564,1674,3895,392,344,0,458,0,114,16105
PADCAYA,atencion odontologica,consulta nueva,2023-01-01,5,7,33,34,35,60,37,147,4,8,0,3,0,0,373
PADILLA,atencion odontologica,consulta nueva,2023-01-01,28,21,97,129,18,103,56,151,28,4,0,1,0,5,641
PAILON,atencion odontologica,consulta nueva,2023-01-01,9,23,55,71,14,43,33,94,9,13,0,2,0,5,371
PALCA,atencion odontologica,consulta nueva,2023-01-01,71,75,160,177,115,111,101,199,50,38,0,8,0,3,1108
PALOS BLANCOS,atencion odontologica,consulta nueva,2023-01-01,29,21,90,87,34,56,34,73,2,2,0,4,0,1,433
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2023-01-01,7,0,30,19,18,0,12,30,9,21,0,2,0,0,148
PAMPA GRANDE,atencion odontologica,consulta nueva,2023-01-01,4,7,12,36,12,32,24,48,0,5,0,1,0,3,184
PAPEL PAMPA,atencion odontologica,consulta nueva,2023-01-01,4,5,11,7,14,7,24,38,11,8,0,1,0,0,130
PASORAPA,atencion odontologica,consulta nueva,2023-01-01,5,9,85,77,14,34,27,128,19,19,0,3,0,0,420
PATACAMAYA,atencion odontologica,consulta nueva,2023-01-01,93,84,232,227,125,111,29,162,10,7,0,72,0,12,1164
PAZÑA,atencion odontologica,consulta nueva,2023-01-01,11,18,65,102,41,33,54,81,20,22,0,3,0,0,450
PELECHUCO,atencion odontologica,consulta nueva,2023-01-01,44,42,69,79,15,42,64,134,8,17,0,0,0,0,514
POCOATA,atencion odontologica,consulta nueva,2023-01-01,16,10,45,41,18,45,49,105,15,31,0,1,0,2,378
POCONA,atencion odontologica,consulta nueva,2023-01-01,3,5,23,27,31,37,25,45,4,8,0,0,0,0,208
POJO (CBBA),atencion odontologica,consulta nueva,2023-01-01,27,17,92,187,101,87,50,192,17,20,0,23,0,0,813
POOPO,atencion odontologica,consulta nueva,2023-01-01,34,36,94,111,23,90,78,129,24,46,0,17,0,0,682
PORCO,atencion odontologica,consulta nueva,2023-01-01,22,59,24,72,1,35,12,94,3,3,0,43,0,2,370
POROMA,atencion odontologica,consulta nueva,2023-01-01,23,27,18,19,6,2,32,42,6,8,0,0,0,0,183
PORONGO,atencion odontologica,consulta nueva,2023-01-01,20,46,70,74,25,60,50,115,47,43,0,19,0,3,572
PORTACHUELO,atencion odontologica,consulta nueva,2023-01-01,0,0,4,2,2,7,3,5,0,2,0,0,0,0,25
PORVENIR,atencion odontologica,consulta nueva,2023-01-01,15,17,67,143,41,93,33,106,4,3,0,11,0,2,535
POTOSI,atencion odontologica,consulta nueva,2023-01-01,287,261,834,1002,288,573,534,1253,100,57,0,114,0,12,5315
PRESTO,atencion odontologica,consulta nueva,2023-01-01,4,6,78,110,51,70,53,137,13,3,0,10,0,0,535
PUCARA,atencion odontologica,consulta nueva,2023-01-01,0,0,13,16,0,0,1,17,1,0,0,0,0,0,48
PUCARANI,atencion odontologica,consulta nueva,2023-01-01,30,59,106,169,99,136,83,227,20,27,0,10,0,4,970
PUERTO ACOSTA,atencion odontologica,consulta nueva,2023-01-01,20,3,38,35,47,22,12,47,11,7,0,0,0,0,242
PUERTO CARABUCO,atencion odontologica,consulta nueva,2023-01-01,16,11,48,69,48,56,68,124,19,18,0,1,0,0,478
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2023-01-01,14,12,29,57,14,26,24,100,2,0,0,3,0,0,281
PUERTO PEREZ,atencion odontologica,consulta nueva,2023-01-01,0,4,6,12,21,16,17,31,16,4,0,2,0,0,129
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2023-01-01,17,7,3,7,1,1,4,8,9,9,0,0,0,0,66
PUERTO RICO,atencion odontologica,consulta nueva,2023-01-01,13,6,30,29,8,16,20,42,3,0,0,0,0,0,167
PUERTO SUAREZ,atencion odontologica,consulta nueva,2023-01-01,1,3,32,27,23,33,9,37,6,0,0,6,0,0,177
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2023-01-01,19,32,125,221,129,156,123,236,22,7,0,24,0,11,1105
PUNA,atencion odontologica,consulta nueva,2023-01-01,41,31,59,98,54,98,63,161,40,63,0,8,0,1,717
PUNATA,atencion odontologica,consulta nueva,2023-01-01,96,48,205,170,44,111,111,218,30,16,0,11,0,5,1065
QUIABAYA,atencion odontologica,consulta nueva,2023-01-01,6,11,20,23,18,16,33,50,9,3,0,0,0,0,189
QUILLACOLLO,atencion odontologica,consulta nueva,2023-01-01,119,211,591,735,362,427,361,878,78,95,0,39,0,3,3899
QUIME,atencion odontologica,consulta nueva,2023-01-01,15,45,69,108,50,60,72,108,6,7,0,5,0,3,548
QUIRUSILLAS,atencion odontologica,consulta nueva,2023-01-01,8,0,23,10,7,3,11,21,4,2,0,0,0,1,90
RAVELO,atencion odontologica,consulta nueva,2023-01-01,67,110,42,70,39,82,121,245,148,153,0,16,0,3,1096
REYES,atencion odontologica,consulta nueva,2023-01-01,0,3,5,4,1,6,4,4,1,0,0,0,0,0,28
RIBERALTA,atencion odontologica,consulta nueva,2023-01-01,80,124,249,274,91,150,124,388,31,20,0,235,0,6,1772
ROBORE,atencion odontologica,consulta nueva,2023-01-01,3,5,12,42,9,22,33,41,15,10,0,0,0,0,192
RURRENABAQUE,atencion odontologica,consulta nueva,2023-01-01,10,10,47,34,21,34,32,71,19,17,0,5,0,0,300
SABAYA,atencion odontologica,consulta nueva,2023-01-01,13,18,41,36,23,28,61,72,11,26,0,4,0,0,333
SACABA,atencion odontologica,consulta nueva,2023-01-01,334,359,1522,1955,736,1008,628,1674,141,120,0,53,0,11,8541
SACABAMBA,atencion odontologica,consulta nueva,2023-01-01,5,2,8,6,4,3,9,17,8,7,0,0,0,3,72
SACACA,atencion odontologica,consulta nueva,2023-01-01,0,4,28,12,13,45,59,79,18,39,0,5,0,1,303
SAIPINA,atencion odontologica,consulta nueva,2023-01-01,2,3,22,37,9,10,7,38,2,3,0,1,0,1,135
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta nueva,2023-01-01,24,8,115,97,44,55,71,155,31,50,0,10,0,6,666
SAMAIPATA,atencion odontologica,consulta nueva,2023-01-01,13,16,54,111,17,63,41,140,5,7,0,16,0,3,486
SAN AGUSTIN,atencion odontologica,consulta nueva,2023-01-01,0,0,8,4,0,1,7,5,0,0,0,0,0,0,25
SAN ANDRES,atencion odontologica,consulta nueva,2023-01-01,9,6,10,17,14,20,22,30,4,2,0,0,0,1,135
