,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,0,1,0,2,3,0,2,0,0,0,0,8
ARANI,atencion odontologica,cirugia bucal menor,2023-01-01,1,2,4,16,0,3,12,7,1,3,0,0,0,0,49
ARBIETO,atencion odontologica,cirugia bucal menor,2023-01-01,3,1,26,22,8,4,5,24,2,4,0,0,0,0,99
ARQUE,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,17,13,6,11,13,23,3,4,0,0,0,0,90
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2023-01-01,5,2,20,20,14,6,25,56,4,3,0,0,0,0,155
ATOCHA,atencion odontologica,cirugia bucal menor,2023-01-01,2,3,18,13,14,19,26,70,9,3,0,0,0,0,177
AUCAPATA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,2,8,3,8,11,29,0,3,0,0,0,0,64
AYATA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,16,18,3,9,18,38,9,17,0,0,0,0,129
AYO AYO,atencion odontologica,cirugia bucal menor,2023-01-01,1,2,12,14,14,18,10,44,6,11,0,0,0,0,132
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2023-01-01,2,2,28,40,6,11,19,48,7,8,0,0,0,0,171
AZURDUY,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,1,11,3,4,1,14,0,2,0,0,0,0,36
BATALLAS,atencion odontologica,cirugia bucal menor,2023-01-01,3,3,30,39,17,34,18,61,26,13,0,0,0,0,244
BAURES,atencion odontologica,cirugia bucal menor,2023-01-01,1,1,7,6,2,1,8,10,2,1,0,0,0,0,39
BELEN DE ANDAMARCA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,0,0,0,1,1,0,0,0,0,0,0,5
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,1,0,0,1,0,6,0,5,0,0,0,0,14
BELLA FLOR,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,4,2,1,2,0,0,0,0,0,0,0,12
BERMEJO,atencion odontologica,cirugia bucal menor,2023-01-01,3,1,27,15,3,5,30,61,17,6,0,0,0,0,168
BETANZOS,atencion odontologica,cirugia bucal menor,2023-01-01,7,6,75,62,25,26,47,98,22,37,0,0,0,0,405
BOLIVAR,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,4,9,0,0,1,3,1,0,0,0,0,0,18
BOLPEBRA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3
BOYUIBE,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,9,10,0,5,19,21,1,3,0,0,0,0,69
BUENA VISTA,atencion odontologica,cirugia bucal menor,2023-01-01,3,1,9,9,3,7,9,11,2,1,0,0,0,0,55
CABEZAS,atencion odontologica,cirugia bucal menor,2023-01-01,0,2,39,33,5,18,21,51,4,9,0,0,0,0,182
CAIROMA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,2,3,2,1,3,9,4,0,0,0,0,0,24
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2023-01-01,0,1,9,15,13,11,8,17,7,5,0,0,0,0,86
CAJUATA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,22,12,3,11,14,25,7,8,0,0,0,0,102
CALACOTO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,7,0,0,5,3,0,1,0,0,0,0,16
CALAMARCA,atencion odontologica,cirugia bucal menor,2023-01-01,3,3,24,25,23,21,18,44,5,4,0,0,0,0,170
CAMARGO,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,6,30,6,2,2,16,7,2,0,0,0,0,72
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2023-01-01,2,0,3,4,2,3,11,6,1,0,0,0,0,0,32
CAMIRI,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,24,52,2,12,11,58,4,14,0,0,0,0,178
CAPINOTA,atencion odontologica,cirugia bucal menor,2023-01-01,2,0,15,22,1,1,2,3,1,5,0,0,0,0,52
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2023-01-01,1,1,7,14,5,5,12,26,13,12,0,0,0,0,96
CARACOLLO,atencion odontologica,cirugia bucal menor,2023-01-01,2,1,32,36,14,16,14,55,3,8,0,0,0,0,181
CARANAVI,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,16,21,10,3,11,25,12,4,0,0,0,0,102
CARANGAS,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3
CARAPARI,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,27,31,15,12,14,70,9,7,0,0,0,0,186
CARIPUYO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,5,1,14,4,11,16,1,13,0,0,0,0,65
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,7,0,2,9,27,5,0,0,0,0,0,53
CHALLAPATA,atencion odontologica,cirugia bucal menor,2023-01-01,7,3,85,63,28,31,14,58,17,27,0,0,0,0,333
CHAQUI,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,19,16,2,5,11,16,10,19,0,0,0,0,98
CHARAGUA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,20,28,26,37,43,107,12,5,0,0,0,0,279
CHARAÑA,atencion odontologica,cirugia bucal menor,2023-01-01,1,1,7,6,1,4,5,7,3,2,0,0,0,0,37
CHAYANTA,atencion odontologica,cirugia bucal menor,2023-01-01,2,0,14,21,11,9,19,30,14,10,0,0,0,0,130
CHIMORE,atencion odontologica,cirugia bucal menor,2023-01-01,2,2,34,42,15,8,7,30,18,1,0,0,0,0,159
CHUA COCANI,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,5,12,2,1,9,7,2,4,0,0,0,0,42
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2023-01-01,0,0,1,10,0,1,0,4,0,0,0,0,0,0,16
CHUMA,atencion odontologica,cirugia bucal menor,2023-01-01,3,2,13,30,11,12,39,57,27,18,0,0,0,0,212
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2023-01-01,4,0,10,10,1,2,5,11,4,1,0,0,0,0,48
CKOCHAS,atencion odontologica,cirugia bucal menor,2023-01-01,2,1,5,12,2,3,4,19,6,3,0,0,0,0,57
CLIZA,atencion odontologica,cirugia bucal menor,2023-01-01,2,3,17,21,7,5,9,12,12,8,0,0,0,0,96
COBIJA,atencion odontologica,cirugia bucal menor,2023-01-01,12,10,84,68,20,20,53,103,12,24,0,0,0,0,406
COCAPATA,atencion odontologica,cirugia bucal menor,2023-01-01,8,0,8,6,10,8,15,41,7,8,0,0,0,0,111
COCHABAMBA,atencion odontologica,cirugia bucal menor,2023-01-01,20,25,275,269,71,86,148,305,98,79,0,0,0,0,1376
COIPASA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,2,0,0,0,2,0,1,0,0,0,0,8
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2023-01-01,4,2,29,27,6,10,18,27,5,7,0,0,0,0,135
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2023-01-01,1,0,5,2,0,1,6,4,1,0,0,0,0,0,20
COLLANA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,10,9,9,9,2,3,2,0,0,0,0,0,44
COLOMI,atencion odontologica,cirugia bucal menor,2023-01-01,1,2,17,26,4,4,5,18,4,3,0,0,0,0,84
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,10,3,0,0,6,0,0,0,0,0,0,22
COLQUECHACA,atencion odontologica,cirugia bucal menor,2023-01-01,6,3,10,17,9,3,19,27,5,14,0,0,0,0,113
COLQUENCHA,atencion odontologica,cirugia bucal menor,2023-01-01,0,2,27,30,20,27,11,25,4,7,0,0,0,0,153
COLQUIRI,atencion odontologica,cirugia bucal menor,2023-01-01,6,4,24,35,13,28,22,65,9,13,0,0,0,0,219
COMANCHE,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,3,4,0,3,7,11,1,1,0,0,0,0,31
COMARAPA,atencion odontologica,cirugia bucal menor,2023-01-01,0,2,21,37,3,11,15,26,8,5,0,0,0,0,128
COMBAYA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,1,2,0,1,2,1,2,6,0,0,0,0,15
COPACABANA,atencion odontologica,cirugia bucal menor,2023-01-01,1,1,4,7,8,7,1,7,1,5,0,0,0,0,42
CORIPATA,atencion odontologica,cirugia bucal menor,2023-01-01,3,3,21,24,4,10,17,27,4,0,0,0,0,0,113
CORO CORO,atencion odontologica,cirugia bucal menor,2023-01-01,1,1,16,42,9,24,11,43,9,3,0,0,0,0,159
COROICO,atencion odontologica,cirugia bucal menor,2023-01-01,3,0,12,17,10,15,26,41,3,13,0,0,0,0,140
CORQUE,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,2,4,1,2,4,5,1,3,0,0,0,0,22
COTAGAITA,atencion odontologica,cirugia bucal menor,2023-01-01,7,8,34,29,19,20,31,63,20,12,0,0,0,0,243
COTOCA,atencion odontologica,cirugia bucal menor,2023-01-01,5,2,49,48,10,14,16,54,9,9,0,0,0,0,216
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2023-01-01,1,1,18,30,2,7,7,29,5,5,0,0,0,0,105
CUEVO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,6,5,0,3,2,10,0,1,0,0,0,0,27
CULPINA,atencion odontologica,cirugia bucal menor,2023-01-01,1,3,6,11,3,5,8,15,0,8,0,0,0,0,60
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,8,12,2,3,1,10,0,8,0,0,0,0,44
CURVA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,8,2,2,3,3,4,3,1,0,0,0,0,26
DESAGUADERO,atencion odontologica,cirugia bucal menor,2023-01-01,1,1,13,10,14,3,14,7,1,14,0,0,0,0,78
EL ALTO,atencion odontologica,cirugia bucal menor,2023-01-01,62,64,483,474,154,201,243,356,88,67,0,0,0,0,2192
EL CHORO,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,4,3,1,1,3,4,3,1,0,0,0,0,21
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2023-01-01,2,0,28,34,4,11,14,28,2,1,0,0,0,0,124
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2023-01-01,0,1,16,17,12,7,15,40,4,6,0,0,0,0,118
EL TORNO,atencion odontologica,cirugia bucal menor,2023-01-01,12,11,14,19,13,15,17,27,24,27,0,0,0,0,179
EL VILLAR,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,13,12,0,3,7,22,8,2,0,0,0,0,67
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2023-01-01,1,2,27,21,7,7,13,56,4,4,0,0,0,0,142
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,8,14,5,1,0,10,0,8,0,0,0,0,47
ESCARA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3
ESCOMA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,12,10,5,4,10,16,11,5,0,0,0,0,74
ESMERALDA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,0,0,1,0,0,2,1,0,0,0,0,4
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,9,8,4,4,9,2,7,0,0,0,0,46
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,19,20,3,6,5,51,2,2,0,0,0,0,109
FILADELFIA,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,7,12,0,6,4,24,2,0,0,0,0,0,56
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,10,15,0,7,3,24,5,0,0,0,0,0,65
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2023-01-01,1,1,16,17,23,12,29,50,13,21,0,0,0,0,183
GUANAY,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,6,17,3,5,5,14,12,4,0,0,0,0,66
GUAQUI,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,11,17,9,4,8,38,15,10,0,0,0,0,112
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2023-01-01,2,5,38,42,10,21,13,45,5,3,0,0,0,0,184
GUTIERREZ,atencion odontologica,cirugia bucal menor,2023-01-01,0,2,11,14,3,13,24,37,3,4,0,0,0,0,111
HUACARAJE,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,9,11,12,6,11,7,3,3,0,0,0,0,62
HUACARETA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,8,5,1,6,7,19,1,0,0,0,0,0,48
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2023-01-01,1,0,0,7,1,0,2,2,1,0,0,0,0,0,14
HUACHACALLA,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,5,8,3,0,3,3,0,1,0,0,0,0,24
HUANUNI,atencion odontologica,cirugia bucal menor,2023-01-01,1,3,29,38,17,19,15,36,21,8,0,0,0,0,187
HUARINA,atencion odontologica,cirugia bucal menor,2023-01-01,0,2,23,21,6,6,14,17,4,6,0,0,0,0,99
HUATAJATA,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,7,5,5,2,0,16,4,5,0,0,0,0,45
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,2,5,3,1,3,4,1,0,0,0,0,19
HUMANATA,atencion odontologica,cirugia bucal menor,2023-01-01,2,0,10,23,8,14,7,31,3,25,0,0,0,0,123
ICHOCA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,11,9,5,5,12,13,5,5,0,0,0,0,66
ICLA,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,10,7,2,2,14,37,2,8,0,0,0,0,83
INCAHUASI,atencion odontologica,cirugia bucal menor,2023-01-01,1,1,11,17,7,9,5,32,1,6,0,0,0,0,90
INQUISIVI,atencion odontologica,cirugia bucal menor,2023-01-01,2,0,7,10,9,10,9,14,4,3,0,0,0,0,68
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2023-01-01,0,0,14,16,4,6,18,14,7,10,0,0,0,0,89
IXIAMAS,atencion odontologica,cirugia bucal menor,2023-01-01,0,2,12,13,5,5,10,10,4,1,0,0,0,0,62
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,11,7,16,14,10,21,6,1,0,0,0,0,87
LA ASUNTA,atencion odontologica,cirugia bucal menor,2023-01-01,4,3,54,60,42,34,45,83,8,12,0,0,0,0,345
LA GUARDIA,atencion odontologica,cirugia bucal menor,2023-01-01,4,3,35,22,5,5,13,36,6,2,0,0,0,0,131
LA PAZ,atencion odontologica,cirugia bucal menor,2023-01-01,79,69,545,570,219,287,321,560,195,148,0,0,0,0,2993
LA RIVERA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,14,23,3,2,4,27,4,1,0,0,0,0,79
LAJA,atencion odontologica,cirugia bucal menor,2023-01-01,4,6,51,60,21,21,25,68,7,27,0,0,0,0,290
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,13,2,0,1,5,12,0,2,0,0,0,0,36
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,5,5,1,7,4,6,0,0,0,0,0,0,29
LLALLAGUA,atencion odontologica,cirugia bucal menor,2023-01-01,2,2,35,32,18,10,9,36,5,6,0,0,0,0,155
LORETO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,3,1,1,0,0,0,0,0,0,0,0,5
LURIBAY,atencion odontologica,cirugia bucal menor,2023-01-01,2,2,4,7,2,5,12,20,3,2,0,0,0,0,59
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,13,9,4,5,3,4,3,2,0,0,0,0,43
MACHARETI,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,1,8,1,2,3,23,0,1,0,0,0,0,40
MAGDALENA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,4,3,0,4,1,1,5,1,0,0,0,0,19
MAIRANA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,9,13,1,1,2,9,7,0,0,0,0,0,42
MALLA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,4,1,1,4,4,0,1,0,0,0,0,18
MAPIRI,atencion odontologica,cirugia bucal menor,2023-01-01,3,0,2,6,0,1,2,4,2,0,0,0,0,0,20
MECAPACA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,25,18,3,15,17,24,6,2,0,0,0,0,110
MINEROS,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,10,8,3,5,4,18,1,1,0,0,0,0,50
MIZQUE,atencion odontologica,cirugia bucal menor,2023-01-01,2,2,30,30,6,5,7,13,4,2,0,0,0,0,101
MOCOMOCO,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,20,29,14,19,24,54,13,16,0,0,0,0,190
MOJINETE,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,2,4,0,4,0,3,0,0,0,0,0,0,13
MOJOCOYA,atencion odontologica,cirugia bucal menor,2023-01-01,4,0,15,16,8,3,10,39,0,9,0,0,0,0,104
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2023-01-01,3,3,34,27,5,9,8,38,11,10,0,0,0,0,148
MONTERO,atencion odontologica,cirugia bucal menor,2023-01-01,13,10,132,126,20,38,38,124,15,37,0,0,0,0,553
MORO MORO,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,13,4,3,0,2,7,2,1,0,0,0,0,33
MOROCHATA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,12,10,11,6,11,38,3,15,0,0,0,0,107
NAZACARA DE PACAJES,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,5,2,1,3,3,8,0,2,0,0,0,0,24
OCURI,atencion odontologica,cirugia bucal menor,2023-01-01,5,4,12,11,3,6,20,41,8,6,0,0,0,0,116
OKINAWA,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,6,11,4,10,5,18,9,1,0,0,0,0,65
OMEREQUE,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ORURO,atencion odontologica,cirugia bucal menor,2023-01-01,31,32,360,512,136,188,232,473,119,108,0,0,0,0,2191
PADCAYA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,8,4,2,7,12,28,1,4,0,0,0,0,66
PADILLA,atencion odontologica,cirugia bucal menor,2023-01-01,2,0,10,4,17,6,9,30,12,5,0,0,0,0,95
PAILON,atencion odontologica,cirugia bucal menor,2023-01-01,0,5,14,14,1,2,5,13,3,3,0,0,0,0,60
PALCA,atencion odontologica,cirugia bucal menor,2023-01-01,1,6,53,51,24,27,39,71,12,6,0,0,0,0,290
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2023-01-01,2,0,13,9,4,2,10,13,2,2,0,0,0,0,57
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,4,4,0,0,3,6,1,3,0,0,0,0,22
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,7,10,0,6,7,8,0,2,0,0,0,0,40
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,6,3,7,4,4,6,2,2,0,0,0,0,34
PASORAPA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,3,0,2,3,15,0,2,0,0,0,0,28
PATACAMAYA,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,36,47,22,13,3,33,3,3,0,0,0,0,161
PAZÑA,atencion odontologica,cirugia bucal menor,2023-01-01,1,1,14,17,7,1,7,7,5,6,0,0,0,0,66
PELECHUCO,atencion odontologica,cirugia bucal menor,2023-01-01,2,4,23,20,2,6,14,39,6,14,0,0,0,0,130
POCOATA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,15,3,3,5,8,14,8,14,0,0,0,0,70
POCONA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,4,5,0,0,3,10,3,2,0,0,0,0,27
POJO (CBBA),atencion odontologica,cirugia bucal menor,2023-01-01,0,1,14,32,4,5,11,23,4,2,0,0,0,0,96
POOPO,atencion odontologica,cirugia bucal menor,2023-01-01,1,3,14,24,3,5,14,12,6,3,0,0,0,0,85
PORCO,atencion odontologica,cirugia bucal menor,2023-01-01,1,4,1,3,0,0,2,6,0,0,0,0,0,0,17
POROMA,atencion odontologica,cirugia bucal menor,2023-01-01,2,1,2,3,1,0,9,13,4,4,0,0,0,0,39
PORONGO,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,17,23,2,7,10,12,2,1,0,0,0,0,75
PORTACHUELO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,8,6,2,10,3,9,2,3,0,0,0,0,43
PORVENIR,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,11,19,5,2,10,11,0,1,0,0,0,0,59
POTOSI,atencion odontologica,cirugia bucal menor,2023-01-01,35,31,178,222,62,111,166,332,62,36,0,0,0,0,1235
PRESTO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,16,12,1,9,12,17,7,2,0,0,0,0,76
PUCARA,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,7,1,0,0,1,4,1,0,0,0,0,0,14
PUCARANI,atencion odontologica,cirugia bucal menor,2023-01-01,3,7,50,73,35,46,37,92,17,17,0,0,0,0,377
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2023-01-01,7,0,12,17,12,11,14,32,13,8,0,0,0,0,126
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2023-01-01,4,1,17,17,6,7,28,36,17,12,0,0,0,0,145
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,9,7,2,6,6,8,1,0,0,0,0,0,39
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2023-01-01,0,1,2,3,3,6,2,4,6,1,0,0,0,0,28
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,1,0,1,0,0,2,0,1,0,0,0,0,5
PUERTO RICO,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,8,7,3,8,10,10,3,0,0,0,0,0,49
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,8,5,4,7,8,29,5,0,0,0,0,0,66
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,16,14,13,7,14,17,4,1,0,0,0,0,86
PUNA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,10,19,11,10,14,35,12,13,0,0,0,0,125
PUNATA,atencion odontologica,cirugia bucal menor,2023-01-01,4,2,29,14,2,8,9,12,2,1,0,0,0,0,83
QUIABAYA,atencion odontologica,cirugia bucal menor,2023-01-01,0,3,12,11,4,6,11,21,9,3,0,0,0,0,80
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2023-01-01,7,4,67,97,26,21,51,94,22,28,0,0,0,0,417
QUIME,atencion odontologica,cirugia bucal menor,2023-01-01,2,1,29,33,10,6,19,21,4,4,0,0,0,0,129
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,1,0,2,0,1,2,1,0,0,0,0,10
RAVELO,atencion odontologica,cirugia bucal menor,2023-01-01,1,3,6,10,3,6,22,38,25,31,0,0,0,0,145
REYES,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,0,0,0,0,1,1,0,0,0,0,0,5
RIBERALTA,atencion odontologica,cirugia bucal menor,2023-01-01,4,4,68,85,23,25,44,100,14,8,0,0,0,0,375
ROBORE,atencion odontologica,cirugia bucal menor,2023-01-01,0,0,3,6,0,1,1,6,2,0,0,0,0,0,19
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,12,7,3,5,7,11,9,1,0,0,0,0,56
SABAYA,atencion odontologica,cirugia bucal menor,2023-01-01,1,0,14,4,4,0,2,14,3,3,0,0,0,0,45
SACABA,atencion odontologica,cirugia bucal menor,2023-01-01,13,21,166,190,33,42,45,138,23,34,0,0,0,0,705
