,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,1,5,0,3,5,4,10,1,0,0,0,0,0,29
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,9,11,12,7,9,0,0,0,0,0,0,0,48
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,2,2,5,5,6,5,2,2,0,0,0,0,29
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,0,0,4,4,3,0,0,0,0,0,0,11
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,0,0,1,0,4,1,0,0,0,0,0,6
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,3,0,3,2,10,5,1,0,0,0,0,0,24
UYUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BOLPEBRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
CAIROMA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,8,2,1,1,2,0,0,0,0,0,0,0,14
CKOCHAS,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,1,0,0,0,1,2,0,0,0,0,0,0,4
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,0,2,1,0,0,2,0,0,0,0,0,0,5
GENERAL SAAVEDRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
JESUS DE MACHACA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,0,1,2,2,12,11,0,0,0,0,0,0,28
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,2,1,2,6,1,13,1,1,0,0,0,0,27
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,4,1,2,3,5,5,8,11,3,1,0,0,0,0,43
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,0,0,0,3,2,0,0,0,0,0,0,0,5
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,0,0,1,1,0,3,0,0,0,0,0,0,5
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,1,0,2,0,2,0,2,1,0,0,0,0,8
VILLAZON,atencion odontologica,cirugia bucomaxilofacial mediana,2023-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
CARANAVI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,1,0,7,0,2,0,1,9,0,0,0,0,0,0,20
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,0,0,0,1,1,9,2,0,0,0,0,0,13
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4
GUANAY,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,0,0,4,1,2,2,0,0,0,0,0,0,9
MAPIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MONTERO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,8,2,0,2,3,12,6,3,0,0,0,0,36
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,3,0,5,0,9,3,17,18,2,2,0,0,0,0,59
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11
QUIME,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,8,7,1,2,18,4,6,0,0,0,0,0,46
REYES,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,2,1,0,0,0,0,1,0,0,0,0,0,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,2,1,1,2,12,17,3,2,0,0,0,0,40
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,0,0,4,2,6,4,0,0,0,0,0,0,16
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,5,1,0,3,4,4,0,0,0,0,0,0,17
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-03-01,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3
CAIROMA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,20,8,5,3,5,9,0,3,0,0,0,0,53
CARANAVI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,1,2,0,0,1,8,0,0,0,0,0,0,12
COLPA BELGICA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,10,0,1,0,2,4,0,0,0,0,0,0,17
EL TORNO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
HUANUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,1,4,1,7,2,0,2,0,0,0,0,17
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,2,0,0,3,8,5,18,9,7,0,0,0,0,0,52
SAN MATIAS,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,8,8,3,7,0,1,0,0,3,16,0,0,0,0,46
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,0,2,3,8,24,7,3,0,0,0,0,47
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,0,0,2,2,2,0,0,0,0,0,0,6
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,0,0,3,0,7,1,0,0,0,0,0,11
VINTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,1,0,0,1,0,3,0,0,0,0,0,5
YACUIBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,1,1,0,0,0,0,0,7,0,0,0,0,9
CAQUIAVIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CHAQUI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,1,0,1,1,0,0,0,3,0,5,0,0,0,0,11
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,0,2,5,1,0,0,0,0,0,8
ENTRE RIOS CBBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,1,0,25,39,12,16,33,44,13,11,0,0,0,0,194
MONTERO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,4,5,7,8,14,13,16,6,3,1,0,0,0,0,77
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
QUIRUSILLAS,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,2,3,0,0,0,5,3,1,0,0,0,0,14
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,2,0,12,3,8,17,4,1,0,0,0,0,47
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,1,6,7,2,0,0,0,0,0,16
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,1,1,3,0,0,0,0,0,0,5
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,4,4,0,4,5,15,1,1,0,0,0,0,34
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,4,2,0,2,4,4,6,6,0,0,0,0,28
VILLA MONTES,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2023-05-01,0,0,0,0,0,2,1,1,1,1,0,0,0,0,6
CARANAVI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,1,0,4,0,0,5,0,0,0,0,0,0,10
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,2,10,0,8,0,0,0,0,20
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,23,28,4,10,17,48,12,8,0,0,0,0,150
MONTERO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,27,31,29,34,53,77,1,1,0,0,0,0,253
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,5,15,2,1,0,0,0,0,23
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,3,0,4,2,10,27,4,6,0,0,0,0,56
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,1,0,0,0,6,9,1,0,0,0,0,0,17
TIAHUANACU,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,0,0,0,0,4,0,4,0,0,0,0,8
VILLAZON,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,0,7,1,0,1,4,1,2,0,0,0,0,16
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2023-06-01,0,0,1,1,0,0,1,0,1,0,0,0,0,0,4
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,8,1,0,3,0,1,0,0,0,0,0,13
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,1,2,0,1,3,0,0,0,0,0,0,7
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,5,12,2,1,3,7,0,0,0,0,0,0,30
GUANAY,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HUANUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,2,1,1,0,1,7,4,0,0,0,0,0,16
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,27,22,10,10,22,20,11,2,0,0,0,0,124
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,3,0,1,1,5,8,23,14,3,0,0,0,0,0,58
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,36,58,17,17,20,48,22,16,0,0,0,0,234
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,0,4,1,6,17,5,3,0,0,0,0,36
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,1,0,0,3,1,0,0,0,0,0,0,5
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,0,0,0,2,3,1,0,0,0,0,0,6
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,1,4,0,0,0,1,2,0,0,0,0,0,8
UYUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2023-07-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
AIQUILE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
CORO CORO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,3,2,1,0,3,0,0,0,0,0,0,0,9
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,1,0,0,0,0,2,6,0,0,0,0,0,0,9
LORETO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,2,4,0,1,9,8,24,11,5,2,0,0,0,0,66
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,2,1,24,16,15,11,21,32,25,17,0,0,0,0,164
SACABA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,2,0,0,3,5,9,11,2,0,0,0,0,32
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,11,8,5,0,1,7,1,1,0,0,0,0,34
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,0,0,0,2,1,7,0,0,0,0,0,0,10
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,2,0,3,5,3,1,2,7,1,5,0,0,0,0,29
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2023-08-01,0,0,6,10,1,0,5,1,1,0,0,0,0,0,24
CARACOLLO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,0,0,1,2,3,0,2,0,0,0,0,8
CHAQUI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
COLQUIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,6,2,3,4,7,8,4,3,0,0,0,0,37
COMARAPA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,2,2,0,0,0,2,0,0,0,0,0,0,6
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,1,0,0,1,0,2,1,1,0,0,0,0,6
MECAPACA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
OMEREQUE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,3,1,1,1,3,1,17,12,9,5,0,0,0,0,53
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,1,39,22,8,8,19,51,19,14,0,0,0,0,181
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,4,3,1,0,0,2,0,0,0,0,0,0,10
SAN JOAQUIN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,2,1,4,3,5,12,0,0,0,0,0,0,27
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,2,2,0,2,1,4,0,0,0,0,0,0,11
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,2,1,1,5,2,15,3,1,0,0,0,0,30
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,0,0,1,2,7,0,0,0,0,0,0,10
UYUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2023-09-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
AIQUILE,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,2,0,0,2,0,2,1,0,0,0,0,7
HUANUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,6,1,2,1,3,3,0,0,0,0,0,0,16
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,1,1,0,0,5,12,5,1,0,0,0,0,25
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,2,0,1,0,3,8,15,16,6,7,0,0,0,0,58
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,1,1,19,27,13,6,24,20,23,13,0,0,0,0,147
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
SACABA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,6,2,0,1,3,1,0,0,0,0,0,0,13
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,1,2,2,3,15,13,4,3,0,0,0,0,43
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,0,0,0,1,3,1,1,0,0,0,0,6
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
UYUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
VINTO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,0,0,3,2,3,2,0,0,0,0,10
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2023-11-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
