,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TOTALES
ARBIETO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,0,1,1,2,0,0,0,0,0,0,0,0,5
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,2,5,0,1,1,3,0,0,0,0,0,0,12
ATOCHA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,2,1,0,0,0,0,0,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,2,0,1,0,4,0,1,0,0,0,0,9
AZURDUY,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,2,1,2,1,0,2,0,0,0,0,0,0,8
BERMEJO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BETANZOS,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,3,2,1,0,0,2,0,0,0,0,0,0,8
CAJUATA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
CALAMARCA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,1,6,3,0,1,0,1,0,0,0,0,13
CAMARGO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,2,4,1,1,1,3,1,0,0,0,0,0,13
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,2,1,1,0,1,0,0,0,0,0,0,6
CAMIRI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,11,6,28,26,0,14,10,24,0,7,0,0,0,0,126
CAPINOTA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,2,2,3,0,1,0,0,0,0,0,0,9
CAQUIAVIRI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CARACOLLO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,2,1,4,3,3,0,0,0,0,0,0,13
CHALLAPATA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,8,4,6,7,1,3,0,0,0,0,0,0,29
CHARAGUA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,3,3,5,4,3,17,1,0,0,0,0,0,37
CHIMORE,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,0,0,1,1,0,1,0,0,0,0,0,0,4
CHIPAYA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CHUMA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
CLIZA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,4,4,5,0,0,0,1,0,0,0,0,0,0,14
COBIJA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,7,7,2,4,4,3,2,2,0,1,0,0,0,0,32
COCAPATA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,32,26,92,108,30,36,21,56,10,7,0,0,0,0,418
COLCAPIRHUA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,8,7,4,3,2,3,0,0,0,0,0,0,27
COLLANA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,1,6,2,0,1,0,0,0,0,0,0,11
COLOMI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
COLPA BELGICA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,3,2,0,0,3,0,5,0,0,0,0,0,13
COLQUENCHA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,3,1,6,0,2,0,0,0,0,0,0,0,13
COLQUIRI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
COMARAPA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,4,2,2,1,1,0,0,0,0,0,0,10
CORIPATA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CORO CORO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
COTAGAITA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COTOCA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,3,8,1,2,1,4,0,0,0,0,0,0,19
CUATRO CAÑADAS,atencion odontologica,trat. odontologico integral terminado,2023-01-01,8,6,26,56,11,60,22,62,3,1,0,0,0,0,255
CULPINA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
CURAHUARA DE CARANGAS,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,3,2,0,2,0,2,0,0,0,0,0,0,10
DESAGUADERO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,14,13,33,34,8,9,1,15,0,0,0,0,0,0,127
EL CHORO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
EL PUENTE(STC),atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
EL TORNO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,9,6,6,4,2,6,9,11,3,1,0,0,0,0,57
EL VILLAR,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,2,1,2,0,2,0,0,0,0,0,0,7
ENTRE RIOS CBBA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
FILADELFIA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,2,0,1,1,1,0,1,1,0,0,0,0,0,0,7
GUANAY,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,1,1,1,3,0,0,0,0,0,0,7
GUAYARAMERIN,atencion odontologica,trat. odontologico integral terminado,2023-01-01,4,1,2,4,1,2,0,1,0,1,0,0,0,0,16
HUACARETA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
HUACHACALLA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
HUANUNI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,3,2,10,7,0,4,0,0,0,0,0,0,26
HUAYLLAMARCA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
HUMANATA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ICLA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
INCAHUASI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,1,0,1,0,2,0,0,0,0,0,0,5
INQUISIVI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
IXIAMAS,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
JESUS DE MACHACA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
LA ASUNTA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,2,2,3,4,0,3,2,0,0,0,0,0,0,17
LA GUARDIA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,5,0,0,1,3,1,1,0,0,0,0,11
LA PAZ,atencion odontologica,trat. odontologico integral terminado,2023-01-01,18,36,77,70,19,19,19,21,8,4,0,0,0,0,291
LAJA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,3,5,6,5,1,1,0,5,0,0,0,0,0,0,26
LICOMA PAMPA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LLALLAGUA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MACHACAMARCA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3
MACHARETI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
MAIRANA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,6,5,0,2,2,3,0,0,0,0,0,0,18
MALLA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MAPIRI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
MIZQUE,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
MOCOMOCO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,4,2,1,3,2,8,0,0,0,0,0,0,20
MOROCHATA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
ORURO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,14,10,73,98,83,83,75,97,7,3,0,0,0,0,543
PADCAYA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PADILLA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,2,6,1,1,4,0,1,0,0,0,0,0,0,15
PATACAMAYA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,4,5,2,7,3,0,0,0,0,0,0,0,0,21
PAZÑA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,2,2,1,2,0,1,0,0,0,0,0,0,8
PELECHUCO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PORCO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,1,2,2,2,0,0,0,0,0,0,0,0,0,8
POTOSI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,11,8,4,13,7,16,2,3,0,0,0,0,64
PRESTO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,2,2,0,1,0,1,0,0,0,0,0,0,6
PUERTO ACOSTA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PUERTO CARABUCO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PUERTO GONZALO MORENO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PUERTO VILLARROEL,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,1,2,1,0,0,0,0,0,0,0,5
PUNATA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,4,2,0,2,0,1,0,0,0,0,0,0,10
QUILLACOLLO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,2,6,6,11,9,10,1,14,2,1,0,0,0,0,62
QUIME,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3
RAVELO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,1,5,0,11,14,3,0,0,0,0,0,35
RIBERALTA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,4,4,1,0,2,1,0,0,0,0,0,0,12
SACABA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,6,7,34,58,7,24,6,32,0,1,0,0,0,0,175
SALINAS DE GARCI MENDOZA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN ANDRES DE MACHACA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SAN BENITO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN BORJA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,4,0,2,0,1,0,0,0,0,0,0,8
SAN IGNACIO DE VELASCO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,1,0,2,0,1,0,0,0,0,4
SAN LORENZO(TJA),atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,1,0,2,0,1,0,0,0,0,4
SAN PEDRO DE BUENA VISTA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,3,1,8,2,6,0,17,8,3,5,0,0,0,0,53
SAN PEDRO DE CURAHUARA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAN PEDRO DE QUEMES,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,1,1,0,0,2,1,0,0,0,0,0,0,6
SAN PEDRO DE TIQUINA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
SANTA ANA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,24,28,47,41,8,21,18,30,27,22,0,0,0,0,266
SANTIAGO DE HUARI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,1,2,0,1,3,4,1,0,0,0,0,0,0,13
SANTUARIO DE QUILLACAS,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
SAPAHAQUI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,1,1,1,0,0,1,0,0,0,0,0,0,5
SHINAOTA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SIPE SIPE,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,2,0,1,1,0,0,0,0,0,0,0,0,5
SORACACHI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
SORATA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SUCRE,atencion odontologica,trat. odontologico integral terminado,2023-01-01,12,7,25,24,4,12,6,35,1,0,0,0,0,0,126
TACACOMA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
TAPACARI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,1,0,2,0,0,0,0,0,0,0,0,0,0,4
TARABUCO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6
TARACO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TARIJA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,8,9,1,3,8,12,0,0,0,0,0,0,41
TIQUIPAYA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,3,7,1,2,1,4,0,0,0,0,0,0,19
TIRAQUE (CBBA),atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,2,1,0,1,0,1,0,0,0,0,0,0,6
TOCO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,1,3,1,1,1,1,0,0,0,0,0,0,9
TOLATA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,2,0,1,0,0,1,0,0,0,0,0,4
TOLEDO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TOMINA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,1,3,3,1,2,2,6,0,0,0,0,0,0,19
TOTORA(ORR),atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
TRIGAL,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,3,1,1,2,5,0,1,0,0,0,0,14
TRINIDAD,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,1,0,2,0,1,0,0,0,0,0,0,0,0,5
TURCO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,2,2,1,0,0,0,0,0,0,0,0,0,5
UMALA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
UNCIA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
UYUNI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5
VACAS,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
VIACHA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,4,2,4,0,0,0,1,0,0,0,0,0,0,11
VILLA MONTES,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,4,1,4,6,3,7,1,0,0,0,0,0,27
VILLA SERRANO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,2,6,1,0,2,1,16,0,0,0,0,0,0,29
VILLA TUNARI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,2,0,2,1,0,0,0,0,0,0,0,0,5
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,6,6,3,1,1,5,0,0,0,0,0,0,23
VILLAZON,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,9,14,2,7,0,3,1,0,0,0,0,0,36
VINTO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,1,6,2,2,1,2,3,0,0,0,0,0,0,18
WALDO BALLIVIAN,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,2,0,11,18,7,1,7,8,0,0,0,0,0,0,54
YAMPARAEZ,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,2,2,0,0,0,1,0,0,0,0,0,0,5
YANACACHI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
YOCALLA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,2,0,1,0,2,0,0,0,0,0,0,5
YOTALA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,2,0,0,0,0,1,0,0,0,0,0,0,4
YUNGUYO DE LITORAL,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3
ZUDAÑEZ,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
ACHACACHI,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
ACHOCALLA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
AIQUILE,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,2,3,1,0,0,0,0,0,0,0,0,0,6
ALCALA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3
ANDAMARCA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ANTEQUERA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
ARANI,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
ARBIETO,atencion odontologica,trat. odontologico integral terminado,2023-02-01,1,0,1,1,0,3,1,0,0,0,0,0,0,0,7
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado,2023-02-01,1,1,1,0,1,2,0,2,0,0,0,0,0,0,8
ATOCHA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3
AYO AYO,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,0,2,0,0,1,0,1,0,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,7,0,0,0,1,1,0,0,0,0,0,9
AZURDUY,atencion odontologica,trat. odontologico integral terminado,2023-02-01,1,3,0,3,0,1,0,3,0,0,0,0,0,0,11
BELLA FLOR,atencion odontologica,trat. odontologico integral terminado,2023-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
BERMEJO,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,1,1,1,1,0,3,0,0,0,0,0,0,7
BETANZOS,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAJUATA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4
CALAMARCA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CAMARGO,atencion odontologica,trat. odontologico integral terminado,2023-02-01,1,0,2,3,1,3,0,1,0,0,0,0,0,0,11
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,0,2,2,0,1,0,0,0,0,0,0,5
CAMIRI,atencion odontologica,trat. odontologico integral terminado,2023-02-01,15,13,23,16,1,0,2,25,2,1,0,0,0,0,98
CAPINOTA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
CARACOLLO,atencion odontologica,trat. odontologico integral terminado,2023-02-01,2,1,1,1,0,1,1,1,0,0,0,0,0,0,8
CATACORA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,4,3,0,0,1,3,1,0,0,0,0,0,12
CHAQUI,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CHARAGUA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,1,2,1,4,3,9,2,1,0,0,0,0,23
CHIMORE,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4
CHIPAYA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CLIZA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,1,2,1,4,1,2,0,3,0,0,0,0,0,0,14
COBIJA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,15,5,2,3,3,1,0,2,0,0,0,0,0,0,31
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,23,32,42,44,12,19,42,80,16,19,0,0,0,0,329
COLCAPIRHUA,atencion odontologica,trat. odontologico integral terminado,2023-02-01,0,0,0,2,0,1,1,0,0,1,0,0,0,0,5
