,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
CABEZAS,atencion odontologica,trat. de fracturas dentoalveolares,2023-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-02-01,0,0,0,2,0,0,1,1,1,1,0,0,0,0,6
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-02-01,0,2,1,1,6,1,17,10,4,0,0,0,0,0,42
MONTERO,atencion odontologica,trat. de fracturas dentoalveolares,2023-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SACABA,atencion odontologica,trat. de fracturas dentoalveolares,2023-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-02-01,0,0,3,0,1,7,7,15,7,3,0,0,0,0,43
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-02-01,0,0,0,1,0,1,4,5,5,1,0,0,0,0,17
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2023-02-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2023-02-01,1,0,6,0,0,0,0,0,0,0,0,0,0,0,7
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,0,7,9,9,16,9,33,23,4,0,0,0,0,0,110
CARANAVI,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,3,3,5,9,3,1,28,25,4,6,0,0,0,0,87
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,0,1,0,0,0,1,8,16,2,3,0,0,0,0,31
PUERTO VILLARROEL,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,0,3,0,0,2,4,6,11,2,1,0,0,0,0,29
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,1,1,1,0,1,5,14,9,4,3,0,0,0,0,39
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2023-03-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,trat. de fracturas dentoalveolares,2023-04-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-04-01,1,0,0,2,0,1,0,10,1,0,0,0,0,0,15
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-04-01,0,1,5,5,5,2,18,41,4,8,0,0,0,0,89
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-04-01,1,0,1,1,0,1,12,3,0,1,0,0,0,0,20
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-04-01,2,0,0,3,0,2,6,3,7,5,0,0,0,0,28
SANTA ROSA DEL SARA,atencion odontologica,trat. de fracturas dentoalveolares,2023-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-04-01,1,3,1,0,1,0,13,16,3,1,0,0,0,0,39
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2023-04-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-05-01,4,0,16,30,4,7,94,111,29,17,0,0,0,0,312
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-05-01,0,0,0,0,0,0,5,7,2,1,0,0,0,0,15
SACABA,atencion odontologica,trat. de fracturas dentoalveolares,2023-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN JOAQUIN,atencion odontologica,trat. de fracturas dentoalveolares,2023-05-01,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-05-01,0,0,2,0,0,1,8,3,1,0,0,0,0,0,15
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-05-01,0,1,1,0,0,3,8,13,5,1,0,0,0,0,32
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2023-05-01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2023-05-01,0,0,1,1,0,0,1,6,1,0,0,0,0,0,10
TUPIZA,atencion odontologica,trat. de fracturas dentoalveolares,2023-05-01,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
BERMEJO,atencion odontologica,trat. de fracturas dentoalveolares,2023-06-01,0,0,0,0,0,0,0,3,2,2,0,0,0,0,7
CARACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2023-06-01,0,0,2,4,0,0,1,3,3,0,0,0,0,0,13
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-06-01,1,0,0,0,0,1,2,3,0,0,0,0,0,0,7
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-06-01,6,4,2,19,6,10,68,127,22,25,0,0,0,0,289
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-06-01,1,0,0,0,0,0,6,11,2,3,0,0,0,0,23
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-06-01,0,0,0,0,0,0,5,8,3,1,0,0,0,0,17
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-06-01,0,1,0,1,0,3,5,8,1,1,0,0,0,0,20
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2023-06-01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-07-01,1,0,1,0,0,1,1,1,0,0,0,0,0,0,5
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-07-01,3,3,3,2,2,2,17,46,9,5,0,0,0,0,92
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-07-01,0,0,0,0,0,0,2,16,11,3,0,0,0,0,32
SAN LORENZO(TJA),atencion odontologica,trat. de fracturas dentoalveolares,2023-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-07-01,1,0,7,1,5,4,8,11,6,3,0,0,0,0,46
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-07-01,0,1,2,1,0,0,5,20,1,1,0,0,0,0,31
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2023-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ASCENCION DE GUARAYOS,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,1,1,0,0,0,1,5,3,0,0,0,0,0,0,11
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,2,0,0,7,1,4,38,48,6,6,0,0,0,0,112
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,0,0,0,0,0,0,17,9,1,0,0,0,0,0,27
PUERTO VILLARROEL,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
RIBERALTA,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,0,0,0,5,0,7,6,3,9,0,0,0,0,0,30
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,0,0,0,0,0,0,5,2,1,1,0,0,0,0,9
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2023-08-01,0,1,0,0,1,0,1,2,0,0,0,0,0,0,5
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2023-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-09-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4
HUANUNI,atencion odontologica,trat. de fracturas dentoalveolares,2023-09-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-09-01,1,2,3,3,1,4,50,45,4,1,0,0,0,0,114
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-09-01,0,0,0,0,0,0,5,19,0,0,0,0,0,0,24
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-09-01,0,0,7,0,0,5,13,4,7,0,0,0,0,0,36
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-09-01,0,0,2,0,1,3,3,16,3,7,0,0,0,0,35
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2023-09-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-10-01,2,2,2,0,0,0,1,2,1,0,0,0,0,0,10
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2023-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-10-01,1,0,5,8,0,3,25,52,4,1,0,0,0,0,99
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-10-01,0,0,0,1,0,0,13,20,1,0,0,0,0,0,35
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-10-01,1,0,0,2,0,6,13,7,9,0,0,0,0,0,38
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2023-10-01,0,0,0,0,0,0,6,9,2,0,0,0,0,0,17
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-11-01,3,2,2,0,0,0,1,3,0,1,0,0,0,0,12
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-11-01,1,1,1,3,1,1,34,29,4,8,0,0,0,0,83
MONTERO,atencion odontologica,trat. de fracturas dentoalveolares,2023-11-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-11-01,0,0,0,0,0,0,14,21,1,0,0,0,0,0,36
PUERTO VILLARROEL,atencion odontologica,trat. de fracturas dentoalveolares,2023-11-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
RIBERALTA,atencion odontologica,trat. de fracturas dentoalveolares,2023-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-11-01,0,2,0,0,1,3,3,15,2,3,0,0,0,0,29
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-11-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2023-11-01,0,0,0,0,0,1,3,4,1,1,0,0,0,0,10
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LA GUARDIA,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,1,1,0,3,0,2,27,42,4,5,0,0,0,0,85
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,0,0,0,0,0,0,7,16,0,1,0,0,0,0,24
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,0,0,0,0,1,2,2,2,3,1,0,0,0,0,11
SANTA ROSA,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,0,0,0,0,0,0,3,2,2,1,0,0,0,0,8
VILLAZON,atencion odontologica,trat. de fracturas dentoalveolares,2023-12-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
