,group,variable,month,13. NACIDOS MUERTOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,13. NACIDOS MUERTOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
CORIPATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,11,0,11,0,11
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,13,0,13,0,13
MAGDALENA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
MAPIRI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,4,0,4,0,4
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,5,0,5,0,5
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,2,0,2,0,2
ROBORE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,2,0,2,0,2
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,23,0,23,0,23
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,3,0,3,0,3
TARVITA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
APOLO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,2,0,2,0,2
CHARAGUA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,5,0,5,0,5
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,9,0,9,0,9
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,63,0,63,0,63
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,3,0,3,0,3
MAPIRI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,1,1,1,2
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,4,0,4,0,4
PADILLA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
PORCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,6,1,6,1,7
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,7,0,7,0,7
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,0,1,0,1,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,0,1,0,1,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,59,0,59,0,59
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,2,0,2,0,2
TOLEDO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,0,1,0,1,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,2,0,2,0,2
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-06-01,4,1,4,1,5
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,2,0,2,0,2
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,0,1,0,1,1
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,2,0,2,0,2
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,12,0,12,0,12
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
MAIRANA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,3,0,3,0,3
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,0,1,0,1,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,9,0,9,0,9
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,2,0,2,0,2
TUPIZA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-07-01,1,0,1,0,1
ARANI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,4,0,4,0,4
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,2,0,2,0,2
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
COROICO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,14,0,14,0,14
FILADELFIA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,5,0,5,0,5
MINEROS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,5,0,5,0,5
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,11,0,11,0,11
SORATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-08-01,2,0,2,0,2
