,group,variable,month,17. RN CON APEGO PRECOZ SERV/DOM,17. RN CON APEGO PRECOZ SERV/DOM,TOTALES,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,2,4,2,6
OKINAWA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,0,8,0,8
OMEREQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,427,4,427,4,431
PADCAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,2,7,2,9
PADILLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
PAILON,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,35,0,35,0,35
PALCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,7,4,7,11
PALOS BLANCOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,23,7,23,7,30
PAMPA GRANDE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
PAPEL PAMPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,0,4,0,4
PASORAPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,25,2,25,2,27
PAZÑA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,1,2,1,3
PELECHUCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,4,1,4,5
POCOATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,15,14,15,14,29
POCONA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,1,7,1,8
POJO (CBBA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,10,1,10,1,11
POOPO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,1,5,1,6
PORCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,14,0,14,0,14
POROMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,7,4,7,11
PORONGO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,32,0,32,0,32
PORVENIR,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,0,4,0,4
POSTRER VALLE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,282,2,282,2,284
PRESTO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,3,0,3,3
PUCARANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,11,23,11,23,34
PUERTO ACOSTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,3,2,3,5
PUERTO CARABUCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,4,4,4,8
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,0,5,0,5
PUERTO PEREZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,3,0,3,3
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,18,0,18,0,18
PUERTO RICO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
PUERTO SUAREZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,32,0,32,0,32
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,131,0,131,0,131
PUNA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,11,1,11,1,12
PUNATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,38,0,38,0,38
QUIABAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,1,1,1,2
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,179,0,179,0,179
QUIME,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,2,6,2,8
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,8,4,8,12
RAVELO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,4,1,4,5
REYES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,0,6,0,6
RIBERALTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,217,0,217,0,217
ROBORE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,19,0,19,0,19
RURRENABAQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,0,8,0,8
SABAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,2,2,2,4
SACABA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,198,0,198,0,198
SACABAMBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,2,1,2,3
SACACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,7,5,7,12
SAIPINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
SAMAIPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,1,4,1,5
SAN AGUSTIN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,4,0,4,4
SAN ANDRES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,3,5,3,8
SAN BENITO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
SAN BORJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,40,10,40,10,50
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,1,4,1,5
SAN CARLOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,16,3,16,3,19
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,22,6,22,6,28
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,79,1,79,1,80
SAN JAVIER(BNI),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,1,0,1,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,23,0,23,0,23
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,24,1,24,1,25
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,46,1,46,1,47
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,4,4,4,8
SAN LORENZO(TJA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
SAN LUCAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,16,13,16,13,29
SAN MATIAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,16,1,16,1,17
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,12,2,12,2,14
SAN PEDRO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,25,7,25,32
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,2,1,2,3
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,12,7,12,19
SAN RAFAEL,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,2,6,2,8
SAN RAMON SCZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,8,0,8,0,8
SANTA ANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,21,0,21,0,21
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,847,2,847,2,849
SANTA ROSA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,10,2,10,2,12
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,3,1,3,4
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,1,1,1,2
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,2,0,2,2
SANTIVAÑES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,3,0,3,3
SAPAHAQUI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,1,3,1,4
SENA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,9,0,9,0,9
SHINAOTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,33,1,33,1,34
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,4,6,4,10
SICAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,2,3,2,5
SIPE SIPE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,29,0,29,0,29
SOPACHUY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,0,4,0,4
SORACACHI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,4,5,4,9
SORATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,6,6,6,12
SUCRE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,314,0,314,0,314
TACACOMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
TACOBAMBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,2,0,2,2
TACOPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,1,1,1,2
TAPACARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,9,2,9,11
TARABUCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,3,6,3,9
TARACO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,2,2,2,4
TARATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,0,4,0,4
TARIJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,223,0,223,0,223
TARVITA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,5,0,5,0,5
TEOPONTE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,10,1,10,1,11
TIAHUANACU,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,6,1,6,1,7
TINGUIPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,7,2,7,9
TIPUANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
TIQUIPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,48,6,48,6,54
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,1,1,1,2
TOCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
TODOS SANTOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
TOLATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
TOLEDO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,3,0,3,0,3
TOMAVE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,0,1,0,1,1
TOMINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,4,1,4,1,5
TORO TORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,4,7,4,11
TOTORA(CBBA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,7,1,7,1,8
TOTORA(ORR),recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,2,0,2,0,2
TRINIDAD,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,180,0,180,0,180
TUPIZA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,53,7,53,7,60
TURCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-01-01,1,0,1,0,1
