,group,variable,month,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,TOTALES,TOTALES,TOTALES
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,3,0,3,0,3
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,3,0,3,0,3
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,16,0,16,0,16
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,6,0,6,0,6
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,1,2,1,3
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,3,0,3,0,3
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,309,1,309,1,310
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,29,0,29,0,29
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,13,0,13,0,13
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,5,1,5,1,6
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,20,0,20,0,20
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,4,0,4,0,4
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,7,0,7,0,7
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,8,0,8,0,8
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,0,1,0,1,1
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
VINTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,4,0,4,0,4
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,6,2,6,2,8
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,2,0,2,0,2
BOLPEBRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,3,0,3,0,3
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,2,0,2,0,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,6,0,6,0,6
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,3,0,3,0,3
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,82,0,82,0,82
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,2,0,2,0,2
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,2,0,2,2
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
COROICO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,3,0,3,0,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,70,1,70,1,71
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,5,0,5,0,5
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,2,0,2,0,2
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,111,1,111,1,112
LA RIVERA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,1,1,1,2
LORETO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,1,1,1,2
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,3,0,3,0,3
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,51,1,51,1,52
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
PAILON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,2,0,2,0,2
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,0,1,0,1,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
POCONA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,40,1,40,1,41
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,5,0,5,0,5
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,3,0,3,0,3
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,10,0,10,0,10
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,6,0,6,0,6
SACACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,4,0,4,0,4
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-03-01,1,0,1,0,1
