,group,variable,month,2. NACIDOS VIVOS EN MUJERES DE 15 A 49 AÑOS CON 4 CPN SERV/DOM,2. NACIDOS VIVOS EN MUJERES DE 15 A 49 AÑOS CON 4 CPN SERV/DOM,TOTALES,TOTALES,TOTALES
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,3,1,3,4
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,1,0,1,1
ICLA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,3,3,3,6
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,7,5,7,12
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,9,3,9,12
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,1,0,1,1
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,7,0,7,0,7
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,2,2,2,4
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,50,1,50,1,51
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,51,0,51,0,51
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,233,2,233,2,235
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,0,4,0,4
LAJA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,7,2,7,9
LAS CARRERAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,1,3,1,4
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,50,4,50,4,54
LLICA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,0,4,0,4
LORETO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,0,5,0,5
MACHACAMARCA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,0,5,0,5
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,11,1,11,1,12
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,13,0,13,0,13
MECAPACA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,11,0,11,0,11
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,6,1,6,1,7
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,6,0,6,6
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,35,0,35,0,35
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,23,0,23,0,23
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,3,0,3,3
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,1,4,1,5
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,294,4,294,4,298
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,7,2,7,2,9
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,7,0,7,0,7
PAILON,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,35,0,35,0,35
PALCA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,7,4,7,11
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,23,6,23,6,29
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
PASORAPA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,25,2,25,2,27
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,4,1,4,5
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,13,13,13,13,26
POCONA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,6,1,6,1,7
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,10,1,10,1,11
POOPO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
PORCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,8,0,8,0,8
POROMA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,6,4,6,10
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,23,0,23,0,23
PORVENIR,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
POSTRER VALLE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,67,1,67,1,68
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,1,0,1,1
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,18,3,18,21
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,3,2,3,5
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,3,3,3,6
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,0,5,0,5
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,2,0,2,2
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,120,0,120,0,120
PUNA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,10,1,10,1,11
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,71,0,71,0,71
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,1,1,1,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,146,1,146,1,147
QUIME,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,1,2,1,3
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,2,3,2,5
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,2,1,2,3
REYES,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,0,5,0,5
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,226,0,226,0,226
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,22,0,22,0,22
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,3,0,3,0,3
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,1,0,1,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,71,5,71,5,76
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,2,1,2,3
SACACA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,6,8,6,8,14
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,1,0,1,0,1
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,0,5,0,5
SAN AGUSTIN,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,3,0,3,3
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,2,0,2,0,2
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-01-01,5,3,5,3,8
