,group,variable,month,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
LORETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,0,5,0,5
MACHACAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,15,0,15,0,15
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
MECAPACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,1,2,1,3
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,12,0,12,0,12
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,20,1,20,1,21
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,6,0,6,6
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,37,0,37,0,37
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,38,0,38,0,38
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,4,4,4,8
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,2,4,2,6
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,8,0,8,0,8
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,515,4,515,4,519
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,1,1,1,2
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,7,0,7,0,7
PAILON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,35,0,35,0,35
PALCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,7,4,7,11
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,23,7,23,7,30
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
PASORAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,1,2,1,3
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,4,1,4,5
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,15,14,15,14,29
POCONA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,7,1,7,1,8
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,10,1,10,1,11
POOPO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,1,5,1,6
PORCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,0,6,0,6
POROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,7,4,7,11
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,22,0,22,0,22
PORVENIR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,441,1,441,1,442
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,3,0,3,3
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,11,21,11,21,32
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,3,2,3,5
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,4,4,4,8
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,0,5,0,5
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,17,0,17,0,17
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,32,0,32,0,32
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,9,0,9,0,9
PUNA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,11,1,11,1,12
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,7,0,7,0,7
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,1,1,1,2
QUIME,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,2,6,2,8
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,8,4,8,12
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,4,1,4,5
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,231,0,231,0,231
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,25,0,25,0,25
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,2,2,2,4
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,73,5,73,5,78
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,2,1,2,3
SACACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,9,6,9,15
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
SAN AGUSTIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,4,0,4,4
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,2,5,2,7
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,40,5,40,5,45
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,20,0,20,0,20
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,21,5,21,5,26
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,82,1,82,1,83
SAN JAVIER(BNI),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,30,0,30,0,30
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,1,3,1,4
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,44,1,44,1,45
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,1,4,1,5
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,16,13,16,13,29
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,1,2,1,3
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,12,2,12,2,14
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,7,25,7,25,32
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,1,1,1,2
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,7,12,7,12,19
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,2,6,2,8
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,20,1,20,1,21
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1456,0,1456,0,1456
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,10,2,10,2,12
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,3,1,3,4
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,1,1,1,2
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,2,0,2,2
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,3,0,3,3
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,37,0,37,0,37
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,4,6,4,10
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,2,0,2,2
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,17,0,17,0,17
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,4,5,4,9
SORATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,6,6,6,12
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,408,0,408,0,408
TACACOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
