,group,variable,month,12. NACIDOS MUERTOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,12. NACIDOS MUERTOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
INQUISIVI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,2,0,2,0,2
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
PRESTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,2,0,2,0,2
TAPACARI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,2,1,2,1,3
CARANGAS,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,5,0,5,0,5
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,3,0,3,0,3
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-11-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-12-01,5,0,5,0,5
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-12-01,2,0,2,0,2
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-12-01,3,0,3,0,3
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-12-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-12-01,2,0,2,0,2
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-12-01,3,0,3,0,3
