,group,variable,month,10. NACIDOS MUERTOS CON PESO MENOR A 2500G SERV/DOM,10. NACIDOS MUERTOS CON PESO MENOR A 2500G SERV/DOM,TOTALES,TOTALES,TOTALES
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,11,0,11,0,11
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,2,0,2,0,2
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,5,0,5,0,5
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,2,0,2,0,2
ROBORE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,5,0,5,0,5
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
TARVITA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,3,0,3,0,3
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
VINTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,2,0,2,0,2
AIQUILE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,2,0,2,0,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,11,0,11,0,11
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,8,0,8,0,8
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,9,0,9,0,9
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,2,0,2,0,2
PADILLA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,5,0,5,0,5
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,0,1,0,1,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,19,0,19,0,19
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,1,1,1,2
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-06-01,2,0,2,0,2
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,1,1,1,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,9,0,9,0,9
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,0,1,0,1,1
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,17,0,17,0,17
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,52,0,52,0,52
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,2,0,2,0,2
MAIRANA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,0,1,0,1,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,7,0,7,0,7
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,0,1,0,1,1
TUPIZA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,1,0,1,0,1
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-07-01,2,0,2,0,2
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,8,0,8,0,8
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,12,0,12,0,12
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,7,0,7,0,7
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
MAIRANA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,4,0,4,0,4
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,4,0,4,0,4
SORATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,3,0,3,0,3
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
VINTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-08-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,9,0,9,0,9
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,26,0,26,0,26
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,48,1,48,1,49
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,5,0,5,0,5
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,6,0,6,0,6
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,3,0,3,0,3
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,7,0,7,0,7
SHINAOTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,3,1,3,1,4
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,2,0,2,0,2
VINTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-09-01,2,0,2,0,2
