,group,variable,month,8. NACIDOS VIVOS ATENDIDOS POR OTROS SERV/DOM,8. NACIDOS VIVOS ATENDIDOS POR OTROS SERV/DOM,TOTALES,TOTALES,TOTALES
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,7,0,7,7
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
TOTORA(ORR),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,3,0,3,3
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,3,0,3,3
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,3,0,3,3
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,6,0,6,6
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,5,0,5,5
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,4,0,4,4
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,10,0,10,10
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,2,0,2,2
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,2,0,2,2
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
LAJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
LORETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,2,0,2,2
OCURI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,8,0,8,8
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,6,0,6,6
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,2,0,2,2
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
SACACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,2,0,2,2
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,2,0,2,2
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,3,0,3,3
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,4,0,4,4
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,6,0,6,6
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
TARATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,2,0,2,2
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,3,0,3,3
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,2,0,2,2
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,2,0,2,2
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-04-01,0,1,0,1,1
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
AYATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,4,0,4,4
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,12,0,12,12
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,2,0,2,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,4,0,4,4
MECAPACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,10,0,10,10
PAILON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,4,0,4,4
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,3,0,3,3
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,2,0,2,2
SACACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,3,0,3,3
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,2,0,2,2
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,4,0,4,4
TAHUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,2,0,2,2
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,2,0,2,2
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
VACAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,2,0,2,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,2,0,2,2
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-05-01,0,1,0,1,1
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,1,0,1,1
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,1,0,1,1
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,2,0,2,2
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,2,0,2,2
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,1,0,1,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,3,0,3,3
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-06-01,0,1,0,1,1
