,group,variable,month,5. NACIDOS VIVOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,5. NACIDOS VIVOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,71,0,71,0,71
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,36,0,36,0,36
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,19,0,19,0,19
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,0,1,0,1,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,0,2,0,2,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,7,0,7,0,7
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,2,0,2,0,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,0,1,0,1,1
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,0,1,0,1,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,2,0,2,0,2
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,7,0,7,0,7
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,17,1,17,1,18
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,2,0,2,0,2
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,4,0,4,0,4
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,52,1,52,1,53
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,73,0,73,0,73
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,22,0,22,0,22
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,37,0,37,0,37
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,8,0,8,0,8
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,61,0,61,0,61
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,12,1,12,1,13
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,13,0,13,0,13
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,2,0,2,0,2
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,11,0,11,0,11
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,9,0,9,0,9
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,2,0,2,0,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,4,0,4,0,4
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,78,0,78,0,78
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,3,0,3,0,3
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,2,0,2,0,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,2,1,2,1,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,16,0,16,0,16
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,88,0,88,0,88
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,78,0,78,0,78
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,46,0,46,0,46
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,34,0,34,0,34
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,5,0,5,0,5
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,31,0,31,0,31
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,47,0,47,0,47
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,9,0,9,0,9
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,3,0,3,0,3
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,3,0,3,0,3
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,2,0,2,0,2
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,1,1,1,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-06-01,7,0,7,0,7
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,0,1,0,1,1
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,1,1,1,2
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,0,1,0,1,1
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,4,0,4,0,4
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,4,0,4,0,4
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,58,0,58,0,58
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,7,0,7,0,7
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,65,0,65,0,65
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,74,0,74,0,74
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
POROMA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,2,0,2,0,2
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,10,0,10,0,10
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,21,0,21,0,21
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,2,0,2,0,2
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,2,0,2,0,2
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,6,0,6,0,6
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
