,group,variable,month,16. RN CON MALFORMACIÓN CONGÉNITA SERV/DOM,16. RN CON MALFORMACIÓN CONGÉNITA SERV/DOM,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,23,0,23,0,23
LAJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,0,1,0,1,1
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,2,0,2,0,2
PAPEL PAMPA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,4,0,4,0,4
RAVELO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,0,1,0,1,1
RIBERALTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,3,0,3,0,3
SACABA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,2,0,2,0,2
SORATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,5,0,5,0,5
TUPIZA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,2,0,2,0,2
WARNES,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,1,0,1,0,1
YACO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,0,1,0,1,1
ARQUE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
CARIPUYO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,6,0,6,0,6
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,3,0,3,0,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,20,0,20,0,20
MAIRANA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
MINEROS,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,2,0,2,0,2
POCOATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
POOPO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
PUNA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,3,0,3,0,3
SACACA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,6,0,6,0,6
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,2,0,2,0,2
TUPIZA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,0,1,0,1,1
VIACHA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-07-01,2,0,2,0,2
BERMEJO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,1,0,1,0,1
CARACOLLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,2,0,2,0,2
COLQUECHACA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,0,1,0,1,1
COMARAPA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,0,1,0,1,1
CULPINA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,17,0,17,0,17
MAPIRI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,4,0,4,0,4
ORURO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,9,4,9,4,13
POROMA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,5,0,5,0,5
RIBERALTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,2,0,2,0,2
ROBORE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,1,0,1,0,1
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,3,0,3,0,3
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,2,0,2,0,2
TRINIDAD,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,1,0,1,0,1
TUPIZA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,2,0,2,0,2
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-08-01,0,1,0,1,1
BUENA VISTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,3,0,3,0,3
CHARAGUA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,2,0,2,0,2
COTOCA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,12,0,12,0,12
POTOSI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
PUERTO RICO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,3,0,3,0,3
RIBERALTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
ROBORE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,3,0,3,0,3
SAN RAMON SCZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,3,0,3,0,3
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
TARABUCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
YANACACHI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-09-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,5,0,5,0,5
COTOCA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,2,0,2,0,2
CULPINA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,0,2,0,2,2
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,2,0,2,0,2
HUACARETA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
HUMANATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,21,0,21,0,21
PALOS BLANCOS,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,0,1,0,1,1
POJO (CBBA),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,4,0,4,0,4
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
SAMAIPATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,3,0,3,0,3
TARVITA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,1,0,1,0,1
UMALA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-10-01,2,0,2,0,2
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
AYO AYO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,2,0,2,0,2
CHARAÑA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,1,0,1,0,1
COLQUIRI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,0,1,0,1,1
COTOCA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-11-01,4,0,4,0,4
