,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-06-01,1,0,1
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-06-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-06-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-06-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-06-01,9,9,18
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-06-01,0,1,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-07-01,1,2,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-07-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-08-01,1,1,2
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-08-01,1,0,1
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-08-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-08-01,1,3,4
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-08-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-08-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-09-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-09-01,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-09-01,3,0,3
SENA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-09-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-09-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-10-01,0,1,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-10-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-10-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-10-01,3,1,4
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-10-01,0,1,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-10-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-10-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-10-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-11-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-11-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-11-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-11-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-11-01,1,0,1
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-11-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-11-01,2,2,4
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-11-01,0,1,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-12-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-12-01,0,0,0
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-12-01,3,2,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-12-01,1,0,1
VILLA SERRANO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-12-01,1,0,1
