,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,7,4,11
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,4,1,5
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,1,0,1
PUNATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,1,1,2
SAN CARLOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,4,1,5
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,7,2,9
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,3,1,4
POJO (CBBA),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,0,2,2
SAN JAVIER(STC),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,0,1,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-06-01,1,0,1
BOYUIBE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,2,3
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,2,0,2
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,7,1,8
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,1,2
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,6,2,8
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,0,1,1
SAN CARLOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,8,3,11
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,0,1,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-08-01,1,0,1
COROICO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,5,1,6
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,6,3,9
MIZQUE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,1,1,2
SAN BORJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,12,2,14
TOMAVE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-09-01,1,0,1
CHALLAPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,2,2,4
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,7,1,8
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,1,0,1
PRESTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,0,1,1
SAN CARLOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,10,0,10
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,1,0,1
YAMPARAEZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,1,0,1
BERMEJO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,1,2,3
CAMIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,2,1,3
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,3,0,3
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,2,1,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,2,2,4
SAN CARLOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,4,4,8
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-11-01,1,0,1
COPACABANA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,2,2,4
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,4,2,6
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,2,0,2
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-12-01,0,1,1
