,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,7,6,13
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,2,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,4,1,5
EUCALIPTUS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,5,13,18
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,1,1
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,12,12,24
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,2,0,2
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
TINGUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,2,0,2
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,0,2,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-03-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,2,0,2
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,2,0,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,16,12,28
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,2,0,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,2,1,3
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-04-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,0,1,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,2,2,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
HUATAJATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,1,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,2,0,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,13,5,18
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-05-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,4,1,5
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,12,1,13
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,2,0,2
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,2,0,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,1,2
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-06-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,3,1,4
CHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,2,1,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,0,1,1
SAN RAMON BENI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,13,9,22
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,1,0,1
YUNCHARA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-07-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,1,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,1,2
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,1,2
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,13,5,18
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-08-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,2,0,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,2,2,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,5,2,7
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,0,1,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,1,1,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,5,1,6
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,2,0,2
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,11,3,14
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,2,0,2
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,1,1,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,2,0,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-09-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,3,2,5
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,2,3
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,0,2,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,8,11,19
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,2,0,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-10-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,2,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,2,0,2
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,4,0,4
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,13,6,19
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-11-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,2,1,3
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-12-01,1,0,1
