,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,2,3
SAN MATIAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,60,30,90
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,1,2
SICAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,3,4,7
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,2,4
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,0,2
TIRAQUE (CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
TORO TORO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,2,2
VALLEGRANDE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,1,2
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,1,3
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,1,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,3,0,3
YAMPARAEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,4,2,6
BOYUIBE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,2,4
CHACARILLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,0,2
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,5,4,9
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
COLOMI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,2,2
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,0,2
CULPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,5,5,10
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,3,3
ICLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,1,3
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,6,0,6
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,3,0,3
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
MOCOMOCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,12,3,15
OMEREQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,0,2
PALCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,3,1,4
PUERTO QUIJARRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,5,1,6
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,1,3
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,2,4
ROBORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,3,3,6
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,1,2
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,3,1,4
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,3,0,3
SAN MATIAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,48,39,87
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,0,2
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,1,2
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,3,2,5
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,2,2,4
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,1,2
TORO TORO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,4,0,4
UYUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,1,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,2,2
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,3,1,4
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,5,5,10
YOTALA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-02-01,0,2,2
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,1,2
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,0,2
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,0,2
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,6,3,9
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,1,2
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,2,4
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,4,2,6
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
COLQUECHACA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
COMARAPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,3,3
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,0,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,10,4,14
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
GUTIERREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,3,4
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,3,1,4
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,9,0,9
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,7,4,11
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
MACHARETI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,0,2
MAIRANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
MECAPACA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
MOCOMOCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
MOJOCOYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,11,5,16
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,3,0,3
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,1,3
PORONGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,3,5
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,2,4
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,3,1,4
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,2,4
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,3,2,5
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,3,1,4
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,61,39,100
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,6,1,7
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,4,3,7
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,2,3
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,1,2
VILLA CHARCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,2,2
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,0,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,1,2
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,1,1,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,7,2,9
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-03-01,3,1,4
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,2,2
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,2,4
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,2,2
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,2,2
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,6,2,8
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
CKOCHAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,4,3,7
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,5,3,8
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,1,2
COLQUECHACA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,5,4,9
CULPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,13,9,22
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,4,0,4
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,0,2
GUTIERREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,3,5,8
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,4,6
LAS CARRERAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,0,2
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,3,0,3
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
MOJOCOYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,7,6,13
OMEREQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,1,3
PALCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
PASORAPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
POCOATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
PORVENIR,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,3,4,7
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,1,2
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,4,3,7
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,0,2
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,3,1,4
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,3,1,4
SAN CARLOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,42,39,81
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,1,3
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,1,3
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,3,4
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,0,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,6,3,9
UNCIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,2,2
VILLA CHARCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,3,5
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
VITICHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,1,0,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,2,3,5
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,4,1,5
YOTALA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-04-01,0,1,1
ACACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-05-01,0,1,1
