,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,11,9,20
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,2,0,2
COLQUECHACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,0,1,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,13,7,20
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,14,5,19
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,1,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,1,2
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,4,3,7
PUERTO CARABUCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,6,1,7
SAN CARLOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,16,7,23
SORATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,2,2,4
TACACOMA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
TARATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,0,1,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,2,1,3
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,0,1,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,0,1,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
YANACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
BETANZOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
CAJUATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,11,3,14
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
COTAGAITA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
CULPINA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,3,9,12
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
HUACARETA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
INCAHUASI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,19,12,31
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,3,5,8
PAILON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,8,1,9
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,2,2,4
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,2,0,2
SAN BENITO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,15,8,23
SANTA ROSA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,3,3,6
TARABUCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,3,0,3
TIAWANACU,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
UNCIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,2,0,2
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,2,3
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,2,0,2
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-03-01,1,1,2
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
AUCAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
CARAPARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
CHUMA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,0,1,1
CLIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,0,2,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,8,10,18
CULPINA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,6,9,15
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,0,2,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
GUANAY,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,0,1,1
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,14,13,27
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,1,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,2,3
PAILON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,4,1,5
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,2,0,2
SAMAIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
SAN CARLOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,0,1,1
SAN PEDRO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,19,14,33
SHINAOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,2,0,2
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,2,2,4
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,2,2,4
TARVITA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,3,0,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,0,1,1
YOTALA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-04-01,1,0,1
ACACIO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,0,1,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
CARACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
CLIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,12,8,20
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,2,0,2
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,15,10,25
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
GUANAY,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,0,1,1
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,20,12,32
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,3,0,3
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,5,4,9
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,7,2,9
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
PUNA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,3,2,5
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,24,15,39
SORATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,4,4,8
TARABUCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,0,1,1
UYUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
YOTALA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-05-01,1,0,1
ARBIETO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,0,1,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,0,1,1
CARAPARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,0,1,1
CHAQUI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,1,2
CLIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,10,7,17
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
COLOMI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,2,1,3
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,6,5,11
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,19,9,28
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,3,1,4
PALCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,0,1,1
PATACAMAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,2,2,4
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
PUNA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,2,3
SAN ANDRES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,17,15,32
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,4,5
TARATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,0,1,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,5,2,7
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,1,2
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,2,0,2
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,2,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-06-01,1,0,1
CAMARGO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,1,2
CARAPARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,4,13,17
COMARAPA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,16,5,21
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,0,1,1
GUANAY,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,10,4,14
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,2,0,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,4,2,6
PAILON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
POCOATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,9,2,11
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,2,3
SAN JAVIER(STC),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
SANTA ANA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,27,11,38
SAPAHAQUI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,1,2
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,2,3
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,2,1,3
TIRAQUE (CBBA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
TOMAVE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,3,0,3
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,2,0,2
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,2,1,3
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-07-01,2,0,2
AYATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,1,3,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,2,0,2
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,6,9,15
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,1,1,2
COLLANA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,0,1,1
COLQUENCHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,10,6,16
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,24,14,38
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,0,1,1
MIZQUE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,0,2,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-08-01,7,5,12
