,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,2,4
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,1,3
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,4,1,5
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
PAZÑA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,3,3
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,72,16,88
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,5,3,8
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,6,4,10
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,2,4
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,5,6,11
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,3,1,4
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,1,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,2,3
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,4,0,4
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,0,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,3,1,4
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,92,58,150
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,3,0,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,2,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,4,2,6
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,4,6,10
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,2,4
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,1,2
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,5,4,9
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,1,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,3,2,5
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,4,1,5
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,1,2
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,2,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,3,0,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,9,2,11
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,8,2,10
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,1,3
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,4,3,7
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,4,1,5
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,3,1,4
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,2,2,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,14,15,29
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,3,1,4
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,1,2
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,2,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,5,1,6
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,2,2,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,25,17,42
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,6,2,8
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,3,3,6
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
GUAQUI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,2,0,2
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,7,0,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,3,2,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,29,10,39
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,8,6,14
MOROCHATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,5,4,9
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,2,1,3
PELECHUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,37,12,49
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,6,4,10
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,3,3
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,8,7,15
REYES,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,4,5
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,2,3
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,1,2
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,79,47,126
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,8,4,12
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,2,0,2
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,1,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,3,1,4
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,7,2,9
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,1,2
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,4,2,6
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,3,3,6
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,7,1,8
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,7,2,9
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,4,0,4
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,4,2,6
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,2,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,3,4,7
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,5,3,8
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,17,10,27
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,3,1,4
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
CORQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,24,20,44
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,5,5
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
HUACARETA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,1,3
HUATAJATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,2,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,6,2,8
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,29,18,47
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
LAS CARRERAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,2,2
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,2,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,10,5,15
MOROCHATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,8,7,15
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,3,3,6
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,4,1,5
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,86,18,104
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,6,1,7
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,7,4,11
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,6,3,9
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,7,2,9
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,2,2
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,3,4
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,102,64,166
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,9,4,13
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,1,3
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,8,3,11
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,8,5,13
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,2,0,2
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,1,1,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,4,1,5
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-03-01,3,1,4
