,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
ORURO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,93,275,93,275,368
PADILLA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,21,36,21,36,57
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,1,2,1,3
PASORAPA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,1,0,1,1
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,7,1,7,8
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,16,1,16,1,17
POTOSI,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,49,150,49,150,199
PRESTO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,1,1,1,2
PUERTO GONZALO MORENO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,1,1,1,2
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,1,1,1,2
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,33,121,33,121,154
PUNATA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,37,90,37,90,127
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,13,78,13,78,91
RIBERALTA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,30,147,30,147,177
ROBORE,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,3,2,3,2,5
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,7,9,7,9,16
SACABA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,21,60,21,60,81
SAMAIPATA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,3,0,3,3
SAN BORJA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,19,2,19,21
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,13,13,13,13,26
SAN JAVIER(STC),internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,9,1,9,10
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,8,14,8,14,22
SAN MATIAS,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,4,0,4,4
SAN PEDRO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,0,1,0,1
SANTA ANA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,272,819,272,819,1091
SOPACHUY,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,1,2,1,3
SUCRE,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,105,151,105,151,256
TACACOMA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,1,0,1,1
TARABUCO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,8,18,8,18,26
TARIJA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,142,216,142,216,358
TARVITA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,10,1,10,11
TIQUIPAYA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,14,2,14,16
TOMINA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,3,0,3,3
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,4,1,4,5
TRINIDAD,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,22,19,22,19,41
TUPIZA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,26,78,26,78,104
UYUNI,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,3,6,3,6,9
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,5,4,5,4,9
VIACHA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,13,39,13,39,52
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,6,23,6,23,29
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,31,88,31,88,119
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,1,0,1,1
VILLAZON,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,12,29,12,29,41
WARNES,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,6,14,6,14,20
YACUIBA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,79,125,79,125,204
YAPACANI,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,121,247,121,247,368
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,11,0,11,11
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,3,8,3,8,11
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,5,8,5,8,13
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,1,6,1,6,7
AZURDUY,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,4,0,4,4
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,7,26,7,26,33
BETANZOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
BOYUIBE,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,2,1,2,1,3
CABEZAS,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,6,17,6,17,23
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,15,66,15,66,81
CAPINOTA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,3,0,3,3
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,16,37,16,37,53
CARAPARI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,0,0,0,0
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,8,23,8,23,31
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,3,6,3,6,9
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,8,0,8,8
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,42,146,42,146,188
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,168,471,168,471,639
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,27,67,27,67,94
COLOMI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,4,0,4,4
CONCEPCION,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,1,3,1,3,4
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,1,7,1,7,8
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,1,9,1,9,10
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,185,588,185,588,773
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,6,0,6,6
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,1,1,1,1,2
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,7,0,7,7
ICLA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,2,5,2,5,7
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,326,644,326,644,970
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,5,2,5,2,7
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,2,1,2,1,3
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,4,0,4,4
MINEROS,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,3,2,3,2,5
MIZQUE,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,3,6,3,6,9
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,24,31,24,31,55
MONTERO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,156,263,156,263,419
ORURO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,81,190,81,190,271
PADILLA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,19,38,19,38,57
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,5,4,5,4,9
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,4,4,4,4,8
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,14,2,14,2,16
POTOSI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,20,100,20,100,120
PRESTO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,3,3,3,3,6
PUERTO GONZALO MORENO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,2,0,2,2
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,4,1,4,1,5
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,40,90,40,90,130
PUNATA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,39,74,39,74,113
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,12,78,12,78,90
REYES,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,2,3,2,3,5
RIBERALTA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,34,133,34,133,167
ROBORE,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,2,0,2,2
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,1,4,1,4,5
SACABA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,13,51,13,51,64
SAIPINA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,3,0,3,3
SAMAIPATA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,3,0,3,3
SAN BORJA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,6,6,6,6,12
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,6,13,6,13,19
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,3,7,3,7,10
SAN IGNACIO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,11,23,11,23,34
SAN JAVIER(STC),internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,7,0,7,7
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,2,2,2,2,4
SAN MIGUEL DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,3,0,3,0,3
SAN PEDRO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,1,0,1,0,1
SANTA ANA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,329,1011,329,1011,1340
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,2,0,2,0,2
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,2,0,2,2
SOPACHUY,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,2,3,2,3,5
SUCRE,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,117,159,117,159,276
TARABUCO,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,6,17,6,17,23
TARIJA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,106,175,106,175,281
TARVITA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
TIQUIPAYA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
TOMINA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,1,0,1,0,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,2,0,2,2
TRINIDAD,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,141,116,141,116,257
TUPIZA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,203,360,203,360,563
UYUNI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,2,7,2,7,9
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,7,10,7,10,17
VIACHA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,11,32,11,32,43
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,21,35,21,35,56
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,35,72,35,72,107
VILLAZON,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,6,24,6,24,30
VITICHI,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,0,1,0,1,1
WARNES,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,4,9,4,9,13
YACUIBA,internaciones,ingresos referidos de otros establecimientos de salud,2020-02-01,68,95,68,95,163
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,17,20,17,20,37
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,3,1,3,4
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,8,20,8,20,28
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,3,1,3,4
AZURDUY,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,5,0,5,0,5
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,21,64,21,64,85
BOYUIBE,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,2,0,2,2
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,5,8,5,8,13
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,29,63,29,63,92
CAPINOTA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,1,1,1,2
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,9,57,9,57,66
CARAPARI,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,0,0,0,0
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,6,0,6,6
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,7,27,7,27,34
CHIMORE,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,3,3,3,3,6
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,4,1,4,5
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,41,171,41,171,212
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,153,485,153,485,638
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,10,30,10,30,40
COLOMI,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,2,0,2,2
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,3,0,3,3
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,2,17,2,17,19
COTAGAITA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,8,1,8,9
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,161,640,161,640,801
ENTRE RIOS CBBA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,2,1,2,3
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,0,1,0,1
EXALTACION,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
HUACARETA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,0,1,0,1
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,8,1,8,9
HUARACAJE,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,0,1,0,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,2,0,2,2
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,214,630,214,630,844
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,6,9,6,9,15
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,7,0,7,0,7
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,4,0,4,4
MIZQUE,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,2,9,2,9,11
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,18,32,18,32,50
MONTERO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,284,458,284,458,742
ORURO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,95,233,95,233,328
PADILLA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,17,30,17,30,47
PAILON,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,3,1,3,4
PASORAPA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,4,1,4,5
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,16,1,16,1,17
POTOSI,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,23,86,23,86,109
PRESTO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,6,16,6,16,22
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,38,98,38,98,136
PUNATA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,28,74,28,74,102
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,16,87,16,87,103
REYES,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,3,0,3,0,3
RIBERALTA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,28,145,28,145,173
ROBORE,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,4,3,4,3,7
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,4,6,4,6,10
SACABA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,14,48,14,48,62
SAMAIPATA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,2,1,2,3
SAN ANTONIO DE LOMERIO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,0,1,0,1
SAN BORJA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,2,7,2,7,9
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,5,12,5,12,17
SAN IGNACIO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,13,32,13,32,45
SAN JAVIER(STC),internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,3,0,3,3
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,0,1,0,1
SAN MATIAS,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,2,0,2,2
SAN PEDRO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,293,878,293,878,1171
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,2,0,2,0,2
SORACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
SORATA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
SUCRE,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,105,183,105,183,288
TACOPAYA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
TARABUCO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,13,16,13,16,29
TARIJA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,104,153,104,153,257
TIQUIPAYA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,0,0,0,0
TORO TORO,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,0,1,0,1,1
TRINIDAD,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,61,50,61,50,111
TUPIZA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,272,397,272,397,669
UYUNI,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,9,23,9,23,32
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,4,13,4,13,17
VIACHA,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,7,37,7,37,44
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos de salud,2020-03-01,10,31,10,31,41
