,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
SANTA ROSA,malaria,de 1 a menores de 5 anos,2022-02-01,2,0,0,0,2,0,2
SENA,malaria,de 1 a menores de 5 anos,2022-02-01,5,1,0,0,5,1,6
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2022-02-01,0,1,0,0,0,1,1
COBIJA,malaria,de 1 a menores de 5 anos,2022-03-01,0,1,0,0,0,1,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2022-03-01,4,1,0,0,4,1,5
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2022-03-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-03-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2022-03-01,1,0,0,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2022-03-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2022-03-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-03-01,13,8,0,0,13,8,21
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-03-01,2,5,0,0,2,5,7
SANTA ROSA,malaria,de 1 a menores de 5 anos,2022-03-01,2,3,0,0,2,3,5
SENA,malaria,de 1 a menores de 5 anos,2022-03-01,9,9,0,0,9,9,18
CONCEPCION,malaria,de 1 a menores de 5 anos,2022-04-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-04-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2022-04-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2022-04-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2022-04-01,3,0,0,0,3,0,3
PUERTO RICO,malaria,de 1 a menores de 5 anos,2022-04-01,1,2,0,0,1,2,3
REYES,malaria,de 1 a menores de 5 anos,2022-04-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-04-01,10,6,0,1,10,7,17
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-04-01,5,1,0,0,5,1,6
SENA,malaria,de 1 a menores de 5 anos,2022-04-01,13,11,0,0,13,11,24
BELLA FLOR,malaria,de 1 a menores de 5 anos,2022-05-01,0,1,0,0,0,1,1
COBIJA,malaria,de 1 a menores de 5 anos,2022-05-01,0,1,0,0,0,1,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2022-05-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2022-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-05-01,4,0,0,0,4,0,4
IXIAMAS,malaria,de 1 a menores de 5 anos,2022-05-01,4,1,0,0,4,1,5
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2022-05-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2022-05-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2022-05-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,de 1 a menores de 5 anos,2022-05-01,2,2,0,0,2,2,4
REYES,malaria,de 1 a menores de 5 anos,2022-05-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-05-01,6,3,0,0,6,3,9
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-05-01,1,2,0,0,1,2,3
SENA,malaria,de 1 a menores de 5 anos,2022-05-01,5,7,0,0,5,7,12
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2022-06-01,0,1,0,0,0,1,1
FILADELFIA,malaria,de 1 a menores de 5 anos,2022-06-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-06-01,1,0,0,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2022-06-01,1,1,1,1,2,2,4
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-06-01,5,4,0,0,5,4,9
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-06-01,4,2,0,0,4,2,6
SENA,malaria,de 1 a menores de 5 anos,2022-06-01,9,9,0,0,9,9,18
CONCEPCION,malaria,de 1 a menores de 5 anos,2022-07-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-07-01,1,1,0,0,1,1,2
IXIAMAS,malaria,de 1 a menores de 5 anos,2022-07-01,2,0,0,0,2,0,2
REYES,malaria,de 1 a menores de 5 anos,2022-07-01,2,1,0,0,2,1,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-07-01,8,6,0,0,8,6,14
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-07-01,4,4,0,0,4,4,8
SENA,malaria,de 1 a menores de 5 anos,2022-07-01,8,5,2,1,10,6,16
CONCEPCION,malaria,de 1 a menores de 5 anos,2022-08-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-08-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2022-08-01,1,0,1,0,2,0,2
REYES,malaria,de 1 a menores de 5 anos,2022-08-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-08-01,10,11,0,0,10,11,21
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-08-01,3,1,0,0,3,1,4
SENA,malaria,de 1 a menores de 5 anos,2022-08-01,4,5,1,1,5,6,11
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2022-09-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-09-01,1,1,1,0,2,1,3
IXIAMAS,malaria,de 1 a menores de 5 anos,2022-09-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2022-09-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2022-09-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-09-01,7,6,0,1,7,7,14
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-09-01,3,0,0,0,3,0,3
SENA,malaria,de 1 a menores de 5 anos,2022-09-01,4,2,1,0,5,2,7
COBIJA,malaria,de 1 a menores de 5 anos,2022-10-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2022-10-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2022-10-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2022-10-01,10,5,0,0,10,5,15
PUERTO RICO,malaria,de 1 a menores de 5 anos,2022-10-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-10-01,5,3,0,0,5,3,8
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-10-01,1,1,0,0,1,1,2
SENA,malaria,de 1 a menores de 5 anos,2022-10-01,2,1,0,0,2,1,3
BELLA FLOR,malaria,de 1 a menores de 5 anos,2022-11-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-11-01,1,17,0,0,1,17,18
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2022-11-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2022-11-01,2,0,0,0,2,0,2
REYES,malaria,de 1 a menores de 5 anos,2022-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-11-01,17,9,0,0,17,9,26
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-11-01,2,2,0,0,2,2,4
SANTA ROSA,malaria,de 1 a menores de 5 anos,2022-11-01,2,0,0,0,2,0,2
SENA,malaria,de 1 a menores de 5 anos,2022-11-01,4,3,3,2,7,5,12
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2022-12-01,1,0,0,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2022-12-01,1,2,0,0,1,2,3
PORVENIR,malaria,de 1 a menores de 5 anos,2022-12-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2022-12-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2022-12-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-12-01,8,1,0,0,8,1,9
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-12-01,1,1,1,0,2,1,3
SENA,malaria,de 1 a menores de 5 anos,2022-12-01,5,3,1,0,6,3,9
