,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,2,4
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,10,11,21
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,4,10,14
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,6,7
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,419,455,874
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,3,4
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,13,14,27
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,11,16,27
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,3,3
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,2,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,24,49,73
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,22,21,43
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,25,24,49
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,8,10,18
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,6,2,8
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,3,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,3,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,4,4,8
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,6,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,3,5
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,3,4
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,3,0,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,16,13,29
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,3,4,7
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,3,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,1,3
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,11,15,26
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,2,3
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,10,11
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,2,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,3,0,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,1,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,5,3,8
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,213,236,449
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,381,578,959
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,16,28,44
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,10,0,10
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,58,43,101
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,2,4
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,7,2,9
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,1,3
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,30,28,58
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,93,76,169
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,4,6
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,4,2,6
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,3,5
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,12,1,13
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,3,2,5
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,0,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,5,1,6
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,7,4,11
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,7,2,9
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,12,5,17
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,3,4
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,17,2,19
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,5,8,13
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,8,8,16
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,7,10
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,2,4
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,4,6,10
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,5,5
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,17,30,47
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,4,6,10
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,6,7
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,3,6
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,0,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,6,3,9
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,109,131,240
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,5,6,11
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,1,3
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,6,0,6
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,11,9,20
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,73,147,220
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,2,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,5,4,9
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,1,3
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,0,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,10,15,25
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,5,6
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,7,4,11
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,4,0,4
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,1,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,844,967,1811
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,1,3
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,1,4
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,14,13,27
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,19,34,53
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,27,45,72
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,6,4,10
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,0,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,4,11,15
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,7,12,19
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,1,3
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,11,4,15
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,9,8,17
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,3,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,2,4
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,4,5,9
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,3,6
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,8,11,19
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,0,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,6,6,12
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,3,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,5,8
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,15,9,24
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,5,5
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,2,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,4,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,4,5
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,7,0,7
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,2,5
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,1,3
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,294,379,673
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,79,127,206
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,13,3,16
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,52,46,98
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,4,4
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,2,2
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,154,336,490
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,63,57,120
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,1,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,6,5,11
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,9,13,22
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,4,6
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,1,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,2,2,4
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,6,6,12
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,5,8
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,23,26
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,3,7,10
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,21,14,35
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,14,13,27
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-02-01,4,8,12
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,8,8,16
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,3,6
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,4,3,7
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,2,4
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,3,1,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,19,18,37
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,3,4
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,40,5,45
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,1,2
CHARAÑA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,2,2,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-03-01,7,7,14
