,group,variable,month,SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,16,121,137
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,3,37,40
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,0,7,7
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,1,1,2
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,1,6,7
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,2,1,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,2,3,5
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,2,65,67
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,0,7,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,6,155,161
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,17,12,29
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,1,1,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,1,1,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,7,0,7
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,118,654,772
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,10,0,10
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,5,192,197
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,3,5,8
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,24,156,180
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,2,65,67
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,2,3,5
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,0,12,12
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,8,99,107
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,41,67,108
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,5,4,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,5,1,6
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,1,2,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,6,8,14
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,1,1,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,2,7,9
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-01-01,3,2,5
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,4,6
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,0,2
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,5,6
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,7,1,8
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,3,6
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,0,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,5,1,6
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,7,8
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,3,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,93,399,492
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,27,30
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,5,19,24
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,0,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,1,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,3,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,80,582,662
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,4,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,2,4
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,119,390,509
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,3,3
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,4,7
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,6,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,4,6,10
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,8,37,45
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,5,7
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,50,53
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,27,27
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,5,3,8
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,8,8
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,78,81
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,1,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,1,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,6,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,108,111
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,0,1
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,2,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,16,19,35
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,5,8
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,4,7
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,115,512,627
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,85,85
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,43,43
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,239,241
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,7,9
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,86,171,257
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,4,59,63
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,81,84
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,47,68,115
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,3,4,7
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,10,12,22
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,4,6
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,7,7
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,2,5,7
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-02-01,1,2,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,6,6
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,2,0,2
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,3,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,7,8
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,3,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,3,3
CHARAÑA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,10,10
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,51,518,569
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,5,22,27
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,81,540,621
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,5,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,2,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,2,3,5
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,2,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,110,395,505
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,2,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,5,6,11
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,8,8
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,27,58,85
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,38,39
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,10,51,61
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,5,0,5
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,5,6
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,2,7,9
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,22,22
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,5,5
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,2,2,4
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,5,6,11
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,3,202,205
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,2,2
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,2,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,4,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,97,449,546
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,30,264,294
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,33,267,300
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,2,67,69
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,3,130,133
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,53,65,118
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,2,2,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,20,28,48
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,2,32,34
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,6,7
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,2,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,3,2,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2011-03-01,0,2,2
