,group,variable,month,CÁNCER OTROS CANTIDAD,CÁNCER OTROS CANTIDAD,TOTALES
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,7,12,19
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,3,1,4
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,0,1
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,60,47,107
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,4,10,14
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,4,6,10
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,9,4,13
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,5,2,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,8,9
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,126,209,335
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,33,78,111
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,12,18,30
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,4,4
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,2,2
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,2,2,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,6,11,17
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,2,2,4
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,1,1,2
CHARAÑA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,192,395,587
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,10,24,34
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,3,1,4
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,16,47,63
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,1,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,5,13,18
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,4,3,7
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,22,22
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,107,310,417
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,1,2,3
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,19,66,85
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,9,2,11
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,3,6,9
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,4,2,6
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,3,4,7
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-03-01,3,2,5
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,2,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,0,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,2,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,165,174,339
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,5,31,36
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,1,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,57,59
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,31,51,82
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,1,3
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,5,7,12
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,3,5
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,3,0,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,104,185,289
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,10,40,50
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,6,6,12
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,0,3,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,0,2,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,4,6
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,0,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-04-01,2,2,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,6,6
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,1,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,2,0,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,2,1,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,215,404,619
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,10,24,34
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,74,38,112
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,15,14,29
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,2,1,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,4,1,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,2,3
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,2,4,6
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,12,12
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,139,233,372
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,2,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,31,58,89
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,2,6,8
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,4,9,13
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,3,1,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,3,4,7
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,1,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-05-01,4,0,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,3,2,5
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,3,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,209,414,623
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,9,17,26
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,2,0,2
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,115,90,205
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,3,14,17
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,4,5,9
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,8,9
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,131,191,322
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,3,0,3
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,83,97,180
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,5,10,15
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,2,2,4
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-06-01,3,3,6
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,3,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,2,2,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,1,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,2,1,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,232,434,666
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,7,18,25
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,13,25,38
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,2,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,169,141,310
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,11,6,17
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,6,4,10
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,6,2,8
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,4,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,5,1,6
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,2,1,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,6,1,7
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,2,0,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,139,212,351
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,2,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,32,96,128
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,7,21,28
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,3,4
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,2,3
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-07-01,5,1,6
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,2,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-08-01,275,446,721
