,group,variable,month,CÁNCER CERVICOUTERINO CANTIDAD,CÁNCER CERVICOUTERINO CANTIDAD,TOTALES
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,3,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,27,27
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,24,24
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,3,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,2,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,3,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,11,11
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,2,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,4,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,3,3
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,100,100
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,29,29
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,70,70
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,5,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,3,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,2,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,27,27
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,31,31
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,4,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,5,5
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,2,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,3,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,3,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-03-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,3,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,70,70
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,18,18
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,77,77
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,6,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,63,63
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,3,3
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,7,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,3,3
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,4,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,39,39
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,7,7
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,3,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,4,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,3,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-04-01,0,3,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,2,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,3,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,104,104
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,9,9
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,2,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,86,86
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,3,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,5,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,6,6
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,3,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,44,44
SENA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,25,25
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,2,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,3,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,4,4
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,2,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-05-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,5,5
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,2,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,99,99
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,23,23
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,98,98
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,2,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,3,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,7,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,50,50
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,57,57
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-06-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,3,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,102,102
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,27,27
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,7,7
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,63,63
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,7,7
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,9,9
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,4,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,2,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,2,2
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,47,47
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,38,38
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,16,16
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,3,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,3,3
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,3,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-07-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,3,3
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,4,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,98,98
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,15,15
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,6,6
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,3,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,118,118
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,3,3
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,2,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,3,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,4,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,47,47
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,28,28
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,9,9
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,2,2
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-08-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,7,7
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-09-01,0,3,3
