,group,variable,month,HABITO DE FUMAR CANTIDAD,HABITO DE FUMAR CANTIDAD,TOTALES
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,122,13,135
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,54,11,65
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,3,0,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,4,24,28
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,20,0,20
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,4,1,5
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,3,0,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,2,2,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,6,4,10
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,54,15,69
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,4,0,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,59,42,101
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,15,5,20
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,83,34,117
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,9,2,11
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,30,10,40
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,3,2,5
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,19,13,32
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,59,2,61
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,8,12,20
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,2,0,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,0,5,5
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,30,0,30
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,10,0,10
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,0,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,36,3,39
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,2,1,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,1,2
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,31,10,41
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,64,18,82
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,37,3,40
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,2,0,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,2,2,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,10,2,12
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,3,0,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-03-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,4,0,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,10,3,13
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,52,7,59
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,4,1,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,14,8,22
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,30,6,36
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,3,0,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
SAN LORENZO(PND),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,94,19,113
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,80,38,118
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,10,5,15
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,16,5,21
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,5,0,5
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,3,1,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-04-01,2,0,2
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,1,0,1
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,3,2,5
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,6,3,9
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,11,7,18
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,61,8,69
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,8,9,17
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,3,1,4
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,40,5,45
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,1,1,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,45,0,45
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,3,1,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,9,2,11
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,6,3,9
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,7,3,10
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,4,0,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,2,0,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,21,6,27
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,60,24,84
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,15,5,20
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,12,4,16
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,12,3,15
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,34,4,38
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,3,0,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-05-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,6,3,9
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,16,11,27
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,52,2,54
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,2,0,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,2,0,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,12,11,23
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,45,5,50
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,4,0,4
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,15,2,17
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,1,0,1
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,15,0,15
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,7,3,10
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,2,4,6
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,7,1,8
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,53,31,84
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,12,0,12
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,12,13,25
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,3,0,3
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,0,3,3
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-06-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,0,3,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,4,3,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,30,10,40
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,11,10,21
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,3,0,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,18,31,49
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,6,4,10
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,3,0,3
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,30,0,30
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,4,0,4
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,43,9,52
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,59,30,89
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,20,0,20
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,9,3,12
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,3,1,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,8,10,18
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,1,1,2
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,10,1,11
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-07-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,29,17,46
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,63,42,105
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,2,2,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,30,173,203
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,3,0,3
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,2,0,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,20,0,20
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,3,1,4
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,8,0,8
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,3,0,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,3,0,3
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,1,0,1
SAN PEDRO(PND),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,3,1,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,52,31,83
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,10,5,15
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,13,5,18
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,2,0,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,21,4,25
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,7,0,7
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,1,1,2
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-08-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,58,32,90
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,79,35,114
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,12,25,37
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,3,3,6
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,1,1,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,13,0,13
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,3,0,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,2,0,2
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-09-01,10,0,10
