,group,variable,month,REUMÁTICAS CANTIDAD,REUMÁTICAS CANTIDAD,TOTALES
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,1,3
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,6,9
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,10,5,15
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,3,8
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,12,13
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,8,5,13
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,13,18
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,3,6
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,10,10,20
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,2,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,4,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,124,367,491
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,7,9
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,4,6
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,21,43,64
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,8,16,24
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,5,9
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,3,5
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,9,18,27
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,6,8
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,7,7,14
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,8,12
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,6,11
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,3,5
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,2,6
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,2,4
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,7,8
ICHOCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,2,4
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,8,26,34
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,6,9
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,6,3,9
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,6,7
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,127,406,533
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,0,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,8,11,19
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,11,13
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,4,7
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,4,6
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,8,13
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,2,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,16,21
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,8,9,17
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,3,4
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,3,3
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,7,10
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,114,248,362
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,20,34,54
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,22,13,35
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,4,5
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,2,4
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,11,16
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,5,8
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,12,14
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,39,45,84
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,9,19,28
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,0,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,14,26,40
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,2,7
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,3,5
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,5,8
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,11,17,28
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,2,4
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,6,8,14
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,11,11,22
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,14,20,34
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,43,43,86
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,85,71,156
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,7,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,9,20,29
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,11,12
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,48,69,117
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,40,49,89
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,8,11
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,6,8
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,3,8
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,2,4
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,85,86,171
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,14,17,31
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,13,14
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,48,48,96
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,26,37,63
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,32,68,100
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,7,10
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,3,5
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,2,6
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,4,6
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,0,1
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,8,9
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,211,233,444
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,3,3
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,9,13
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,5,6
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,22,19,41
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,127,296,423
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,7,7
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,19,30,49
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,5,7
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,21,35,56
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,5,8
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,13,15
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
TODOS SANTOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,1,1
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,6,10,16
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,6,15,21
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,3,5
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,12,6,18
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,5,9
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,60,98,158
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,26,22,48
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,0,1
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,10,20,30
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,5,7
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,4,9
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,24,35,59
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,4,8
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,14,20,34
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,3,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,1,5
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,2,5
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,3,7
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,9,12
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,9,3,12
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,17,19
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,10,10
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,21,19,40
YACO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,27,58,85
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,5,4,9
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,1,5
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,2,6
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,7,19,26
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,10,30,40
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,3,5,8
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,19,43,62
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,20,26,46
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,5,7
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,15,10,25
AUCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,1,1
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,4,0,4
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,4,5,9
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,10,13,23
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,28,49,77
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,23,36,59
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,1,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,5,13,18
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,0,2
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,1,3
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,5,5
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,14,58,72
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,3,11,14
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,11,28,39
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,6,9,15
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,2,4
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,3,5
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,6,8
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,6,7,13
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,5,10,15
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,4,6
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,2,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,7,20,27
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,4,16,20
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,7,14,21
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,129,327,456
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,2,3
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,6,8
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,8,10
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,6,8
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,15,31,46
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,6,9,15
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,10,12,22
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,5,1,6
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,7,10,17
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,1,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,8,8,16
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,13,7,20
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,3,3
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,4,4
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,0,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,131,369,500
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,6,8
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,14,16
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,15,15,30
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,10,11
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,3,5
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,5,16,21
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,13,15
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,3,1,4
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,7,9
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,6,6,12
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,2,3
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,4,1,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,4,9,13
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,0,1
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,2,3
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,2,3
ICHOCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,0,5,5
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,20,22
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,9,32,41
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,1,5,6
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,2,1,3
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,4,6,10
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,3,5,8
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,3,3,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-02-01,439,1058,1497
