,group,variable,month,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,2,1,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,2,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,10,9,19
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,1,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,3,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,75,144,219
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,47,110,157
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,2,4,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,37,82,119
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,7,4,11
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,4,4,8
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,3,4
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,6,12,18
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,4,5
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,2,2,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,6,1,7
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,2,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,2,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,2,4,6
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,1,2
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,2,0,2
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,2,2
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,2,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,5,6
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,3,4
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,3,0,3
CHAYANTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,2,2,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,93,147,240
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,3,1,4
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,12,61,73
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,3,4
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,137,279,416
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,2,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,9,7,16
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,3,5,8
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,2,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,3,6,9
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,3,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,4,5
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,2,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,4,13,17
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,2,2
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,80,185,265
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,45,242,287
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,3,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,14,52,66
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,8,10,18
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,2,7,9
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,7,11,18
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,5,6
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,5,8,13
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,2,1,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,2,4,6
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,2,5,7
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-02-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,3,5,8
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,3,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,0,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,2,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,81,128,209
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,2,2
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,1,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,2,6,8
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,33,62,95
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,130,278,408
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,3,13,16
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,2,4,6
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,4,0,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,6,10,16
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,2,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,3,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,8,15,23
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,2,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,3,2,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,53,130,183
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,42,148,190
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,20,64,84
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,2,0,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,3,18,21
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,2,5,7
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,2,4,6
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,5,6
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,2,1,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,3,6,9
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-03-01,0,2,2
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,5,6
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,2,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,5,6
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,29,57,86
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,3,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,12,13
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,33,51,84
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,2,2,4
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,79,200,279
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,4,5
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,3,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,11,16,27
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,3,4,7
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-04-01,0,5,5
