,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,16,20,36
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,3,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,3,2,5
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,2,1,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,5,7,12
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,4,5
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,2,0,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,0,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,2,4
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,3,4,7
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,0,2
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,1,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,2,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,0,6,6
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,1,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,80,37,117
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,0,2,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,7,6,13
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,5,7
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,1,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,3,1,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,2,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,2,4
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,1,2
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,0,1,1
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,1,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,0,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,3,5,8
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,10,5,15
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,3,5
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,140,126,266
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,63,60,123
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,20,16,36
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,6,5,11
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,3,2,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,7,7,14
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,2,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,2,1,3
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-02-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,3,3,6
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,0,2
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,4,9,13
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,2,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,25,36,61
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,1,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,7,7,14
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,0,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,4,6
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,41,52,93
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,24,46,70
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,0,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,3,4,7
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,4,3,7
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,0,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,6,2,8
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,3,5
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,151,132,283
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,46,38,84
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,4,5,9
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,17,15,32
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,4,6,10
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,7,12,19
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,0,2,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-03-01,2,0,2
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,2,3,5
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,3,2,5
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,1,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,0,1,1
CHARAÑA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,2,5,7
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,17,19,36
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,7,6,13
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,16,0,16
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,0,1,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,2,0,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,2,5,7
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,2,1,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,44,67,111
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,6,5,11
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,2,3
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,1,2
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,3,2,5
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,3,2,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,4,3,7
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,49,72,121
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,73,71,144
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,11,10,21
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,9,13,22
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,2,2,4
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-04-01,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,3,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,3,2,5
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,2,9,11
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,3,4
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,2,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,32,21,53
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,10,8,18
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,10,8,18
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,2,0,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,45,55,100
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,4,4,8
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,2,1,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,9,5,14
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,2,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,3,2,5
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,2,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,4,8,12
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,58,32,90
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,56,56,112
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,1,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
TIRAQUE (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,3,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,13,9,22
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,3,4,7
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,3,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,22,8,30
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,2,2
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,2,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-05-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,3,0,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,3,2,5
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,24,21,45
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,59,38,97
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,9,6,15
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-06-01,1,0,1
