,group,variable,month,DIABETES MELLITUS I - II CANTIDAD,DIABETES MELLITUS I - II CANTIDAD,TOTALES
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,5,2,7
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,8,10
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,216,246,462
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,4,5
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,4,0,4
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,3,4
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,6,9,15
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,1,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,7,9
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,20,92,112
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,225,293,518
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,4,6,10
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,1,2
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,64,83,147
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,24,43,67
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,1,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,2,4
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,3,0,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,8,15,23
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,6,2,8
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,8,17,25
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,6,12,18
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,8,10
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,3,10,13
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,11,15,26
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,2,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,4,7,11
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,5,6
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,9,11
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,3,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,27,50,77
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,3,3
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,1,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,7,22,29
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,4,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,6,7
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,3,4,7
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,592,636,1228
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,5,6
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,237,459,696
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,2,4
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,28,29,57
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,5,9,14
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,3,2,5
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,164,400,564
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,33,27,60
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,1,3
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,17,25,42
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,12,3,15
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,15,16,31
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,0,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,8,8
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,2,4,6
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,1,3,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,15,34,49
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,26,23,49
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,14,7,21
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-01-01,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,2,5
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,6,4,10
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,0,3
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,3,3
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,5,5
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,30,37,67
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,2,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,6,11,17
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,6,7
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,14,17
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,38,58,96
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,8,18,26
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,3,4
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,9,12
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,5,8
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,7,14,21
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,234,337,571
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,6,7
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,1,2
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,2,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,9,12
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,0,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,0,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,13,17,30
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,98,195,293
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,3,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,8,19,27
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,9,12
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,4,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,8,26,34
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,7,10
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,404,549,953
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,3,4
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,2,3
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,2,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,4,5,9
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,10,28,38
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,151,272,423
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,4,6
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,33,47,80
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,19,32,51
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,5,8,13
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,5,7
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,12,18,30
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,18,29,47
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,3,6
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,4,5,9
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,10,9,19
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,5,5,10
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,7,18,25
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,4,6,10
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,12,12
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,12,21,33
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,4,7,11
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,24,41,65
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,3,5
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,14,16
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,7,7
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,3,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,4,5
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,2,2
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,2,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,3,6
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,403,712,1115
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,4,6,10
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,44,127,171
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,2,2
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,3,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,37,17,54
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,9,10
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,154,351,505
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,25,29,54
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,0,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,20,35,55
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,4,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,15,19,34
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,2,15,17
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,3,12,15
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,6,7
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,9,18,27
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,1,2,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,8,12,20
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,35,27,62
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2011-02-01,0,1,1
