,group,variable,month,ABUSO DE ALCOHOL CANTIDAD,ABUSO DE ALCOHOL CANTIDAD,TOTALES
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,3,0,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,3,0,3
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,10,0,10
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,15,4,19
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
SAN ANTONIO DE LOMERIO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,23,2,25
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,2,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,3,1,4
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,66,20,86
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,32,1,33
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,132,29,161
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,9,10,19
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,1,3
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,6,1,7
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,20,0,20
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,10,1,11
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,3,0,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,3,1,4
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,0,6,6
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,6,1,7
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,3,1,4
ALALAY,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,6,1,7
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,24,22,46
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,2,0,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,9,15,24
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,26,65,91
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,3,1,4
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,112,35,147
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,3,2,5
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,3,0,3
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,1,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,6,1,7
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,3,3,6
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,3,0,3
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,17,0,17
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,2,1,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,3,0,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,7,6,13
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,15,0,15
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,9,1,10
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,53,23,76
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,26,2,28
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,101,28,129
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,2,1,3
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,6,0,6
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,5,0,5
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,3,0,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,0,1,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,5,0,5
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-02-01,4,4,8
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,3,0,3
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,7,1,8
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,8,2,10
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,14,9,23
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,32,14,46
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,3,0,3
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,122,52,174
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,5,0,5
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,1,3
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,3,0,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,14,8,22
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,8,1,9
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,3,0,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,1,3
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,5,4,9
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,10,0,10
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,1,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,47,28,75
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,17,2,19
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,47,5,52
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,3,0,3
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,3,0,3
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,5,2,7
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,0,24,24
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,12,4,16
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,6,0,6
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-03-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,2,0,2
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,6,8,14
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,39,114,153
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,27,6,33
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,2,3
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,5,1,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,106,39,145
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,3,0,3
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,2,2,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,6,3,9
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,7,5,12
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,3,0,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,7,1,8
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,3,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,2,1,3
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,5,0,5
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,3,0,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,86,21,107
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,61,37,98
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-04-01,2,0,2
