,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,6,6
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,31,31
ESCOMA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,21,21
FERNANDEZ ALONSO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,21,21
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,3,3
GENERAL SAAVEDRA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,39,39
GRAL. J.J. PEREZ (CHARAZANI),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,7,7
GUANAY,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,14,14
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,252,252
GUTIERREZ,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,26,26
HUACARETA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
HUACAYA (VILLA DE HUACAYA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,5,5
HUACHACALLA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,7,7
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,88,88
HUARINA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,10,10
ICLA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,14,14
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,22,22
INGAVI (HUMAITA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,2,2
INQUISIVI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,121,121
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,2086,2086
LAGUNILLAS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,6,6
LAS CARRERAS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,5,5
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,160,160
LLICA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,2,2
MACHACAMARCA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,2,2
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,15,15
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,29,29
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,52,52
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,10,10
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,60,60
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,253,253
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,3,3
ORURO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,1071,1071
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,26,26
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,26,26
PAILON,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,25,25
PAMPA GRANDE,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,12,12
PATACAMAYA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,45,45
POJO (CBBA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
POOPO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,12,12
POROMA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,29,29
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,14,14
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,92,92
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,12,12
PUCARANI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,8,8
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,51,51
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,28,28
PUERTO SUAREZ,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,52,52
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,223,223
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,137,137
QUILLACOLLO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,5,5
QUIME,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,8,8
REYES,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,550,550
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,64,64
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,52,52
SACABA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,381,381
SACACA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,14,14
SAMAIPATA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,5,5
SAN ANTONIO DE LOMERIO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,3,3
SAN BENITO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,17,17
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,82,82
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,42,42
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,108,108
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,41,41
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,58,58
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,29,29
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,9,9
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,17,17
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,31,31
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,73,73
SAN MATIAS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,42,42
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,27,27
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,31,31
SAN RAFAEL,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,23,23
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,1341,1341
SANTA ROSA DEL SARA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,32,32
SANTIAGO DE MACHACA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
SENA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,2,2
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,10,10
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,5,5
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,13,13
SORACACHI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,7,7
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,599,599
TACOPAYA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,10,10
TAPACARI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,5,5
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,22,22
TARATA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,22,22
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,431,431
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,17,17
TEOPONTE,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,6,6
TIAWANACU,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,33,33
TINGUIPAYA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,5,5
TIPUANI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,16,16
TIQUIPAYA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,20,20
TOCO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,7,7
TOLATA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,6,6
TOLEDO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,9,9
TOMINA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,13,13
TOTORA(CBBA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,42,42
TOTORA(ORR),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
TRINIDAD,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,110,110
TUPIZA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,21,21
UNCIA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,10,10
URUBICHA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,20,20
UYUNI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,68,68
VALLEGRANDE,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,53,53
VIACHA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,24,24
VILLA CHARCAS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,26,26
VILLA MONTES,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,120,120
VILLA NUEVA (LOMA ALTA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,2,2
VILLA SERRANO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,32,32
VILLA TUNARI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,333,333
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,11,11
VILLAZON,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,138,138
WARNES,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,215,215
YACUIBA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,127,127
YAMPARAEZ,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,13,13
YOTALA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,5,5
YUNCHARA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,7,7
ZUDAÑEZ,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,7,7
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,60,60
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,36,36
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,9,9
ANCORAIMES,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,6,6
APOLO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,11,11
ARBIETO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,7,7
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,66,66
ATOCHA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,49,49
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,12,12
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,65,65
BETANZOS,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,37,37
BOLIVAR,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,5,5
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,1,1
BOYUIBE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,15,15
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,9,9
CABEZAS,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,41,41
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,25,25
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,9,9
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,150,150
CAPINOTA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,28,28
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,8,8
CARAPARI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,18,18
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,98,98
CHARAGUA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,18,18
CHIPAYA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,39,39
CLIZA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,65,65
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,123,123
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,927,927
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,2,2
COLPA BELGICA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,12,12
COLQUECHACA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,14,14
COMARAPA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,22,22
CORO CORO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,5,5
COROICO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,36,36
CORQUE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,2,2
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,63,63
CUATRO CAÑADAS,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,42,42
CUEVO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,3,3
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,47,47
DESAGUADERO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,8,8
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,2048,2048
EL PUENTE(STC),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,20,20
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,12,12
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,144,144
EL VILLAR,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,7,7
ENTRE RIOS TRJ,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,15,15
EUREKA (SANTOS MERCADO),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,2,2
FILADELFIA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,3,3
GUAYARAMERIN,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,261,261
GUTIERREZ,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,28,28
HUACARETA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,6,6
HUACAYA (VILLA DE HUACAYA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,7,7
HUANUNI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,50,50
HUARINA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,12,12
ICLA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,16,16
INCAHUASI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,14,14
INGAVI (HUMAITA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,5,5
IRUPANA (VILLA DE LANZA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,21,21
LA ASUNTA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,54,54
LA GUARDIA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,104,104
LA PAZ,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,1268,1268
LAGUNILLAS,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,7,7
LLALLAGUA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,145,145
LURIBAY,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,5,5
MACHACAMARCA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,1,1
MACHARETI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,16,16
MAIRANA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,19,19
MIZQUE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,42,42
MOJOCOYA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,7,7
MONTEAGUDO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,58,58
MONTERO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,237,237
NACEBE (SANTA ROSA DEL ABUNA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,3,3
ORURO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,819,819
PADCAYA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,23,23
PADILLA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,19,19
PAILON,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,74,74
PAMPA GRANDE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,21,21
PATACAMAYA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,44,44
POJO (CBBA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,5,5
POOPO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,5,5
POROMA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,9,9
PORONGO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,19,19
PORTACHUELO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,8,8
PORVENIR,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,8,8
POSTRER VALLE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,2,2
POTOSI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,169,169
PRESTO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,7,7
PUERTO GONZALO MORENO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,10,10
PUERTO QUIJARRO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,34,34
PUERTO RICO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,21,21
PUERTO VILLARROEL,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,122,122
PUNATA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,148,148
QUILLACOLLO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,4,4
QUIME,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,10,10
REYES,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,13,13
RIBERALTA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,502,502
ROBORE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,36,36
RURRENABAQUE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,41,41
SACABA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,323,323
SACACA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,13,13
SAMAIPATA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,14,14
SAN ANTONIO DE LOMERIO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,13,13
SAN CARLOS,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,60,60
SAN IGNACIO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,22,22
SAN IGNACIO DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,122,122
SAN JAVIER(STC),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,21,21
SAN JOSE DE CHIQUITOS,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,55,55
SAN JUAN DE YAPACANI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,18,18
SAN JULIAN,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,49,49
SAN LORENZO(PND),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,8,8
SAN LORENZO(TJA),vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,23,23
SAN LUCAS,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,58,58
SAN MATIAS,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,22,22
SAN MIGUEL DE VELASCO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,18,18
SAN PEDRO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,14,14
SAN RAFAEL,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,15,15
SANTA ANA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,20,20
SANTA CRUZ DE LA SIERRA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,823,823
SANTA ROSA DEL SARA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,27,27
SANTIAGO DE MACHACA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,5,5
SENA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,13,13
SHINAOTA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,8,8
SIPE SIPE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,77,77
SOPACHUY,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,10,10
SORACACHI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,4,4
SUCRE,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,610,610
TACACOMA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,3,3
TACOPAYA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,4,4
TAPACARI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,2,2
TARABUCO,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,24,24
TARATA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,17,17
TARIJA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,267,267
TARVITA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,19,19
TIAWANACU,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,11,11
TINGUIPAYA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,2,2
TIPUANI,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,17,17
TIQUIPAYA,vih,n de mujeres embarazadas con prueba rapida,2013-02-01,0,10,10
