,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
LAS CARRERAS,vih,n de personas con prueba rapida,2013-01-01,0,3,3
LLALLAGUA,vih,n de personas con prueba rapida,2013-01-01,6,170,176
MACHARETI,vih,n de personas con prueba rapida,2013-01-01,9,12,21
MAIRANA,vih,n de personas con prueba rapida,2013-01-01,3,0,3
MIZQUE,vih,n de personas con prueba rapida,2013-01-01,2,52,54
MOJOCOYA,vih,n de personas con prueba rapida,2013-01-01,5,13,18
MONTEAGUDO,vih,n de personas con prueba rapida,2013-01-01,5,27,32
MONTERO,vih,n de personas con prueba rapida,2013-01-01,29,28,57
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2013-01-01,5,16,21
ORURO,vih,n de personas con prueba rapida,2013-01-01,43,359,402
PADCAYA,vih,n de personas con prueba rapida,2013-01-01,7,26,33
PADILLA,vih,n de personas con prueba rapida,2013-01-01,2,4,6
PAILON,vih,n de personas con prueba rapida,2013-01-01,0,25,25
PAMPA GRANDE,vih,n de personas con prueba rapida,2013-01-01,0,3,3
PATACAMAYA,vih,n de personas con prueba rapida,2013-01-01,16,31,47
PAZÑA,vih,n de personas con prueba rapida,2013-01-01,13,27,40
POJO (CBBA),vih,n de personas con prueba rapida,2013-01-01,0,12,12
POROMA,vih,n de personas con prueba rapida,2013-01-01,1,4,5
PORTACHUELO,vih,n de personas con prueba rapida,2013-01-01,6,4,10
PORVENIR,vih,n de personas con prueba rapida,2013-01-01,2,1,3
POTOSI,vih,n de personas con prueba rapida,2013-01-01,8,89,97
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2013-01-01,11,19,30
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2013-01-01,22,25,47
PUERTO RICO,vih,n de personas con prueba rapida,2013-01-01,0,37,37
PUERTO SUAREZ,vih,n de personas con prueba rapida,2013-01-01,5,54,59
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2013-01-01,11,30,41
PUNATA,vih,n de personas con prueba rapida,2013-01-01,6,141,147
QUILLACOLLO,vih,n de personas con prueba rapida,2013-01-01,0,10,10
QUIME,vih,n de personas con prueba rapida,2013-01-01,2,1,3
REYES,vih,n de personas con prueba rapida,2013-01-01,0,4,4
ROBORE,vih,n de personas con prueba rapida,2013-01-01,11,12,23
RURRENABAQUE,vih,n de personas con prueba rapida,2013-01-01,3,52,55
SACABA,vih,n de personas con prueba rapida,2013-01-01,13,63,76
SAN BENITO,vih,n de personas con prueba rapida,2013-01-01,2,17,19
SAN BORJA,vih,n de personas con prueba rapida,2013-01-01,0,1,1
SAN CARLOS,vih,n de personas con prueba rapida,2013-01-01,3,71,74
SAN IGNACIO,vih,n de personas con prueba rapida,2013-01-01,10,20,30
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2013-01-01,35,81,116
SAN JAVIER(STC),vih,n de personas con prueba rapida,2013-01-01,2,41,43
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2013-01-01,2,10,12
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2013-01-01,1,23,24
SAN JULIAN,vih,n de personas con prueba rapida,2013-01-01,1,9,10
SAN LORENZO(PND),vih,n de personas con prueba rapida,2013-01-01,0,16,16
SAN LUCAS,vih,n de personas con prueba rapida,2013-01-01,2,0,2
SAN PEDRO,vih,n de personas con prueba rapida,2013-01-01,4,2,6
SAN RAFAEL,vih,n de personas con prueba rapida,2013-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2013-01-01,369,1018,1387
SENA,vih,n de personas con prueba rapida,2013-01-01,3,26,29
SHINAOTA,vih,n de personas con prueba rapida,2013-01-01,18,6,24
SIPE SIPE,vih,n de personas con prueba rapida,2013-01-01,0,5,5
SOPACHUY,vih,n de personas con prueba rapida,2013-01-01,7,33,40
SUCRE,vih,n de personas con prueba rapida,2013-01-01,68,101,169
TACOPAYA,vih,n de personas con prueba rapida,2013-01-01,0,10,10
TAPACARI,vih,n de personas con prueba rapida,2013-01-01,2,15,17
TARABUCO,vih,n de personas con prueba rapida,2013-01-01,10,3,13
TARATA,vih,n de personas con prueba rapida,2013-01-01,1,23,24
TARIJA,vih,n de personas con prueba rapida,2013-01-01,53,89,142
TARVITA,vih,n de personas con prueba rapida,2013-01-01,0,1,1
TEOPONTE,vih,n de personas con prueba rapida,2013-01-01,0,12,12
TIAWANACU,vih,n de personas con prueba rapida,2013-01-01,1,37,38
TIPUANI,vih,n de personas con prueba rapida,2013-01-01,0,1,1
TOCO,vih,n de personas con prueba rapida,2013-01-01,0,1,1
TOLATA,vih,n de personas con prueba rapida,2013-01-01,1,7,8
TOTORA(CBBA),vih,n de personas con prueba rapida,2013-01-01,1,0,1
TOTORA(ORR),vih,n de personas con prueba rapida,2013-01-01,0,3,3
TRINIDAD,vih,n de personas con prueba rapida,2013-01-01,214,330,544
TUPIZA,vih,n de personas con prueba rapida,2013-01-01,1,16,17
UNCIA,vih,n de personas con prueba rapida,2013-01-01,2,0,2
URIONDO (A. CONCEPCION),vih,n de personas con prueba rapida,2013-01-01,1,1,2
URUBICHA,vih,n de personas con prueba rapida,2013-01-01,5,4,9
UYUNI,vih,n de personas con prueba rapida,2013-01-01,0,36,36
VALLEGRANDE,vih,n de personas con prueba rapida,2013-01-01,2,63,65
VIACHA,vih,n de personas con prueba rapida,2013-01-01,5,14,19
VILLA MONTES,vih,n de personas con prueba rapida,2013-01-01,11,39,50
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2013-01-01,5,7,12
VILLA SERRANO,vih,n de personas con prueba rapida,2013-01-01,1,32,33
VILLA TUNARI,vih,n de personas con prueba rapida,2013-01-01,13,16,29
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2013-01-01,0,13,13
VILLAZON,vih,n de personas con prueba rapida,2013-01-01,3,31,34
WARNES,vih,n de personas con prueba rapida,2013-01-01,52,20,72
YACUIBA,vih,n de personas con prueba rapida,2013-01-01,34,93,127
YUNCHARA,vih,n de personas con prueba rapida,2013-01-01,1,2,3
ZUDAÑEZ,vih,n de personas con prueba rapida,2013-01-01,1,0,1
ACHACACHI,vih,n de personas con prueba rapida,2013-02-01,5,62,67
AIQUILE,vih,n de personas con prueba rapida,2013-02-01,2,51,53
ALCALA,vih,n de personas con prueba rapida,2013-02-01,2,1,3
ANCORAIMES,vih,n de personas con prueba rapida,2013-02-01,0,33,33
ANZALDO,vih,n de personas con prueba rapida,2013-02-01,1,0,1
APOLO,vih,n de personas con prueba rapida,2013-02-01,1,29,30
ARAMPAMPA,vih,n de personas con prueba rapida,2013-02-01,0,4,4
ARBIETO,vih,n de personas con prueba rapida,2013-02-01,1,7,8
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2013-02-01,97,96,193
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2013-02-01,1,0,1
AZURDUY,vih,n de personas con prueba rapida,2013-02-01,0,15,15
BERMEJO,vih,n de personas con prueba rapida,2013-02-01,4,7,11
BETANZOS,vih,n de personas con prueba rapida,2013-02-01,0,3,3
BOLIVAR,vih,n de personas con prueba rapida,2013-02-01,1,3,4
BOLPEBRA,vih,n de personas con prueba rapida,2013-02-01,4,8,12
BOYUIBE,vih,n de personas con prueba rapida,2013-02-01,1,0,1
BUENA VISTA,vih,n de personas con prueba rapida,2013-02-01,24,42,66
CABEZAS,vih,n de personas con prueba rapida,2013-02-01,3,9,12
"CAIZA ""D""",vih,n de personas con prueba rapida,2013-02-01,5,5,10
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2013-02-01,1,18,19
CAMIRI,vih,n de personas con prueba rapida,2013-02-01,16,148,164
CAPINOTA,vih,n de personas con prueba rapida,2013-02-01,1,37,38
CARACOLLO,vih,n de personas con prueba rapida,2013-02-01,1,6,7
CARANAVI,vih,n de personas con prueba rapida,2013-02-01,0,1,1
CARAPARI,vih,n de personas con prueba rapida,2013-02-01,2,17,19
CHALLAPATA,vih,n de personas con prueba rapida,2013-02-01,2,98,100
CHARAGUA,vih,n de personas con prueba rapida,2013-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2013-02-01,6,2,8
CLIZA,vih,n de personas con prueba rapida,2013-02-01,0,3,3
COBIJA,vih,n de personas con prueba rapida,2013-02-01,5,31,36
COCHABAMBA,vih,n de personas con prueba rapida,2013-02-01,66,388,454
COLOMI,vih,n de personas con prueba rapida,2013-02-01,100,0,100
COLQUECHACA,vih,n de personas con prueba rapida,2013-02-01,2,3,5
COMARAPA,vih,n de personas con prueba rapida,2013-02-01,1,3,4
CORO CORO,vih,n de personas con prueba rapida,2013-02-01,7,16,23
COROICO,vih,n de personas con prueba rapida,2013-02-01,0,39,39
COTOCA,vih,n de personas con prueba rapida,2013-02-01,2,0,2
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2013-02-01,1,9,10
CULPINA,vih,n de personas con prueba rapida,2013-02-01,0,2,2
DESAGUADERO,vih,n de personas con prueba rapida,2013-02-01,0,7,7
EL ALTO,vih,n de personas con prueba rapida,2013-02-01,229,1547,1776
EL PUENTE(STC),vih,n de personas con prueba rapida,2013-02-01,18,45,63
EL PUENTE(TJA),vih,n de personas con prueba rapida,2013-02-01,0,2,2
EL TORNO,vih,n de personas con prueba rapida,2013-02-01,158,33,191
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2013-02-01,14,35,49
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2013-02-01,0,3,3
FILADELFIA,vih,n de personas con prueba rapida,2013-02-01,11,20,31
GUAYARAMERIN,vih,n de personas con prueba rapida,2013-02-01,208,281,489
GUTIERREZ,vih,n de personas con prueba rapida,2013-02-01,0,28,28
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2013-02-01,0,8,8
HUANUNI,vih,n de personas con prueba rapida,2013-02-01,4,0,4
ICLA,vih,n de personas con prueba rapida,2013-02-01,6,4,10
INCAHUASI,vih,n de personas con prueba rapida,2013-02-01,0,3,3
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2013-02-01,6,18,24
LA ASUNTA,vih,n de personas con prueba rapida,2013-02-01,2,9,11
LA GUARDIA,vih,n de personas con prueba rapida,2013-02-01,12,46,58
LA PAZ,vih,n de personas con prueba rapida,2013-02-01,399,1212,1611
LLALLAGUA,vih,n de personas con prueba rapida,2013-02-01,2,3,5
LURIBAY,vih,n de personas con prueba rapida,2013-02-01,17,17,34
MACHARETI,vih,n de personas con prueba rapida,2013-02-01,15,21,36
MAIRANA,vih,n de personas con prueba rapida,2013-02-01,1,0,1
MIZQUE,vih,n de personas con prueba rapida,2013-02-01,2,52,54
MONTEAGUDO,vih,n de personas con prueba rapida,2013-02-01,10,23,33
MONTERO,vih,n de personas con prueba rapida,2013-02-01,15,44,59
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2013-02-01,10,17,27
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2013-02-01,9,10,19
ORURO,vih,n de personas con prueba rapida,2013-02-01,123,174,297
PADCAYA,vih,n de personas con prueba rapida,2013-02-01,0,24,24
PADILLA,vih,n de personas con prueba rapida,2013-02-01,4,4,8
PAILON,vih,n de personas con prueba rapida,2013-02-01,7,16,23
PAMPA GRANDE,vih,n de personas con prueba rapida,2013-02-01,0,4,4
PATACAMAYA,vih,n de personas con prueba rapida,2013-02-01,37,45,82
POJO (CBBA),vih,n de personas con prueba rapida,2013-02-01,3,6,9
POOPO,vih,n de personas con prueba rapida,2013-02-01,1,0,1
POROMA,vih,n de personas con prueba rapida,2013-02-01,0,1,1
PORONGO,vih,n de personas con prueba rapida,2013-02-01,1,15,16
PORTACHUELO,vih,n de personas con prueba rapida,2013-02-01,3,0,3
POSTRER VALLE,vih,n de personas con prueba rapida,2013-02-01,0,2,2
POTOSI,vih,n de personas con prueba rapida,2013-02-01,13,126,139
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2013-02-01,110,54,164
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2013-02-01,4,7,11
PUERTO RICO,vih,n de personas con prueba rapida,2013-02-01,1,33,34
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2013-02-01,4,14,18
PUNATA,vih,n de personas con prueba rapida,2013-02-01,6,156,162
QUILLACOLLO,vih,n de personas con prueba rapida,2013-02-01,3,1,4
QUIME,vih,n de personas con prueba rapida,2013-02-01,5,1,6
REYES,vih,n de personas con prueba rapida,2013-02-01,0,13,13
RIBERALTA,vih,n de personas con prueba rapida,2013-02-01,2,2,4
RURRENABAQUE,vih,n de personas con prueba rapida,2013-02-01,1,44,45
SACABA,vih,n de personas con prueba rapida,2013-02-01,13,99,112
SAMAIPATA,vih,n de personas con prueba rapida,2013-02-01,1,0,1
SAN ANTONIO DE LOMERIO,vih,n de personas con prueba rapida,2013-02-01,40,50,90
SAN CARLOS,vih,n de personas con prueba rapida,2013-02-01,8,9,17
SAN IGNACIO,vih,n de personas con prueba rapida,2013-02-01,5,22,27
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2013-02-01,139,102,241
SAN JAVIER(STC),vih,n de personas con prueba rapida,2013-02-01,3,21,24
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2013-02-01,2,2,4
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2013-02-01,0,18,18
SAN JULIAN,vih,n de personas con prueba rapida,2013-02-01,3,54,57
SAN LORENZO(PND),vih,n de personas con prueba rapida,2013-02-01,1,6,7
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2013-02-01,1,0,1
SAN LUCAS,vih,n de personas con prueba rapida,2013-02-01,3,2,5
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2013-02-01,0,1,1
SAN PEDRO,vih,n de personas con prueba rapida,2013-02-01,1,1,2
SAN RAFAEL,vih,n de personas con prueba rapida,2013-02-01,1,0,1
SANTA ANA,vih,n de personas con prueba rapida,2013-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2013-02-01,509,1371,1880
SANTA ROSA DEL SARA,vih,n de personas con prueba rapida,2013-02-01,1,2,3
SANTIAGO DE MACHACA,vih,n de personas con prueba rapida,2013-02-01,0,10,10
SENA,vih,n de personas con prueba rapida,2013-02-01,0,17,17
SHINAOTA,vih,n de personas con prueba rapida,2013-02-01,9,6,15
SIPE SIPE,vih,n de personas con prueba rapida,2013-02-01,0,10,10
SOPACHUY,vih,n de personas con prueba rapida,2013-02-01,14,24,38
SUCRE,vih,n de personas con prueba rapida,2013-02-01,67,183,250
TACOPAYA,vih,n de personas con prueba rapida,2013-02-01,1,4,5
TAPACARI,vih,n de personas con prueba rapida,2013-02-01,0,11,11
TARABUCO,vih,n de personas con prueba rapida,2013-02-01,4,5,9
TARATA,vih,n de personas con prueba rapida,2013-02-01,2,18,20
TARIJA,vih,n de personas con prueba rapida,2013-02-01,196,101,297
TARVITA,vih,n de personas con prueba rapida,2013-02-01,0,2,2
TEOPONTE,vih,n de personas con prueba rapida,2013-02-01,1,6,7
TIAWANACU,vih,n de personas con prueba rapida,2013-02-01,1,20,21
TIPUANI,vih,n de personas con prueba rapida,2013-02-01,1,4,5
TOLATA,vih,n de personas con prueba rapida,2013-02-01,0,8,8
TOLEDO,vih,n de personas con prueba rapida,2013-02-01,0,1,1
TOMINA,vih,n de personas con prueba rapida,2013-02-01,0,1,1
TOTORA(CBBA),vih,n de personas con prueba rapida,2013-02-01,0,2,2
TRINIDAD,vih,n de personas con prueba rapida,2013-02-01,441,371,812
TUPIZA,vih,n de personas con prueba rapida,2013-02-01,3,17,20
TURCO,vih,n de personas con prueba rapida,2013-02-01,14,2,16
UNCIA,vih,n de personas con prueba rapida,2013-02-01,2,1,3
URUBICHA,vih,n de personas con prueba rapida,2013-02-01,50,38,88
UYUNI,vih,n de personas con prueba rapida,2013-02-01,0,22,22
VALLEGRANDE,vih,n de personas con prueba rapida,2013-02-01,1,41,42
VIACHA,vih,n de personas con prueba rapida,2013-02-01,1,6,7
VILLA CHARCAS,vih,n de personas con prueba rapida,2013-02-01,1,12,13
VILLA MONTES,vih,n de personas con prueba rapida,2013-02-01,9,37,46
VILLA SERRANO,vih,n de personas con prueba rapida,2013-02-01,42,80,122
VILLA TUNARI,vih,n de personas con prueba rapida,2013-02-01,19,17,36
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2013-02-01,2,6,8
VILLAZON,vih,n de personas con prueba rapida,2013-02-01,12,26,38
WARNES,vih,n de personas con prueba rapida,2013-02-01,48,10,58
YACUIBA,vih,n de personas con prueba rapida,2013-02-01,24,88,112
YAPACANI,vih,n de personas con prueba rapida,2013-02-01,5,95,100
YOTALA,vih,n de personas con prueba rapida,2013-02-01,0,1,1
YUNCHARA,vih,n de personas con prueba rapida,2013-02-01,3,11,14
ACACIO,vih,n de personas con prueba rapida,2013-03-01,0,4,4
ACHACACHI,vih,n de personas con prueba rapida,2013-03-01,8,60,68
AIQUILE,vih,n de personas con prueba rapida,2013-03-01,1,67,68
ANCORAIMES,vih,n de personas con prueba rapida,2013-03-01,5,1,6
ANZALDO,vih,n de personas con prueba rapida,2013-03-01,1,0,1
ARAMPAMPA,vih,n de personas con prueba rapida,2013-03-01,4,6,10
ARBIETO,vih,n de personas con prueba rapida,2013-03-01,0,1,1
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2013-03-01,32,70,102
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2013-03-01,5,1,6
BERMEJO,vih,n de personas con prueba rapida,2013-03-01,3,6,9
BETANZOS,vih,n de personas con prueba rapida,2013-03-01,2,4,6
BOLIVAR,vih,n de personas con prueba rapida,2013-03-01,10,6,16
BOLPEBRA,vih,n de personas con prueba rapida,2013-03-01,3,5,8
CABEZAS,vih,n de personas con prueba rapida,2013-03-01,4,8,12
"CAIZA ""D""",vih,n de personas con prueba rapida,2013-03-01,0,5,5
CAMARGO,vih,n de personas con prueba rapida,2013-03-01,37,23,60
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2013-03-01,2,12,14
CAMIRI,vih,n de personas con prueba rapida,2013-03-01,12,156,168
CAPINOTA,vih,n de personas con prueba rapida,2013-03-01,3,43,46
CARACOLLO,vih,n de personas con prueba rapida,2013-03-01,5,34,39
CARANAVI,vih,n de personas con prueba rapida,2013-03-01,38,36,74
CARAPARI,vih,n de personas con prueba rapida,2013-03-01,1,22,23
CHALLAPATA,vih,n de personas con prueba rapida,2013-03-01,0,120,120
CHARAGUA,vih,n de personas con prueba rapida,2013-03-01,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2013-03-01,4,56,60
CLIZA,vih,n de personas con prueba rapida,2013-03-01,1,2,3
COBIJA,vih,n de personas con prueba rapida,2013-03-01,105,49,154
COCHABAMBA,vih,n de personas con prueba rapida,2013-03-01,74,522,596
COLLANA,vih,n de personas con prueba rapida,2013-03-01,40,14,54
COLOMI,vih,n de personas con prueba rapida,2013-03-01,56,0,56
COLPA BELGICA,vih,n de personas con prueba rapida,2013-03-01,0,2,2
COLQUECHACA,vih,n de personas con prueba rapida,2013-03-01,0,1,1
COMARAPA,vih,n de personas con prueba rapida,2013-03-01,2,0,2
CORO CORO,vih,n de personas con prueba rapida,2013-03-01,3,7,10
COROICO,vih,n de personas con prueba rapida,2013-03-01,19,27,46
COTOCA,vih,n de personas con prueba rapida,2013-03-01,7,43,50
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2013-03-01,0,13,13
CULPINA,vih,n de personas con prueba rapida,2013-03-01,0,1,1
EL ALTO,vih,n de personas con prueba rapida,2013-03-01,309,2003,2312
EL PUENTE(STC),vih,n de personas con prueba rapida,2013-03-01,27,36,63
EL PUENTE(TJA),vih,n de personas con prueba rapida,2013-03-01,2,1,3
EL TORNO,vih,n de personas con prueba rapida,2013-03-01,20,88,108
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2013-03-01,28,81,109
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2013-03-01,0,1,1
ESCOMA,vih,n de personas con prueba rapida,2013-03-01,3,14,17
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2013-03-01,1,7,8
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2013-03-01,1,9,10
FILADELFIA,vih,n de personas con prueba rapida,2013-03-01,3,14,17
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2013-03-01,0,30,30
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2013-03-01,18,6,24
GUAYARAMERIN,vih,n de personas con prueba rapida,2013-03-01,231,263,494
GUTIERREZ,vih,n de personas con prueba rapida,2013-03-01,0,20,20
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2013-03-01,0,4,4
HUANUNI,vih,n de personas con prueba rapida,2013-03-01,1,1,2
ICLA,vih,n de personas con prueba rapida,2013-03-01,4,1,5
INCAHUASI,vih,n de personas con prueba rapida,2013-03-01,1,1,2
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2013-03-01,14,27,41
LA ASUNTA,vih,n de personas con prueba rapida,2013-03-01,9,11,20
LA GUARDIA,vih,n de personas con prueba rapida,2013-03-01,14,70,84
LA PAZ,vih,n de personas con prueba rapida,2013-03-01,259,1274,1533
LLALLAGUA,vih,n de personas con prueba rapida,2013-03-01,3,187,190
MACHARETI,vih,n de personas con prueba rapida,2013-03-01,11,17,28
MINEROS,vih,n de personas con prueba rapida,2013-03-01,1,2,3
MIZQUE,vih,n de personas con prueba rapida,2013-03-01,5,62,67
MOJOCOYA,vih,n de personas con prueba rapida,2013-03-01,1,0,1
MONTEAGUDO,vih,n de personas con prueba rapida,2013-03-01,24,72,96
MONTERO,vih,n de personas con prueba rapida,2013-03-01,223,139,362
MOROCHATA,vih,n de personas con prueba rapida,2013-03-01,2,9,11
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2013-03-01,12,8,20
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2013-03-01,1,2,3
ORURO,vih,n de personas con prueba rapida,2013-03-01,81,249,330
PADCAYA,vih,n de personas con prueba rapida,2013-03-01,2,22,24
PADILLA,vih,n de personas con prueba rapida,2013-03-01,2,6,8
PAILON,vih,n de personas con prueba rapida,2013-03-01,15,122,137
PAMPA GRANDE,vih,n de personas con prueba rapida,2013-03-01,1,2,3
PATACAMAYA,vih,n de personas con prueba rapida,2013-03-01,195,20,215
POROMA,vih,n de personas con prueba rapida,2013-03-01,0,10,10
PORTACHUELO,vih,n de personas con prueba rapida,2013-03-01,9,14,23
PORVENIR,vih,n de personas con prueba rapida,2013-03-01,1,15,16
POSTRER VALLE,vih,n de personas con prueba rapida,2013-03-01,0,2,2
POTOSI,vih,n de personas con prueba rapida,2013-03-01,86,168,254
PRESTO,vih,n de personas con prueba rapida,2013-03-01,1,0,1
PUCARANI,vih,n de personas con prueba rapida,2013-03-01,6,19,25
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2013-03-01,56,27,83
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2013-03-01,19,27,46
PUERTO RICO,vih,n de personas con prueba rapida,2013-03-01,0,46,46
