,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,1,2
ESCOMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,3,4
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,1,1
FERNANDEZ ALONSO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,4,26,30
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,5,5
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,39,39
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,12,14
GUANAY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,20,21
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,213,286,499
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,26,26
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,6,6
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,6,8
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,6,98,104
HUARINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,10,10
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,4,14,18
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,22,22
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,2,2
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,5,5
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,143,146
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,288,1299,1587
LAGUNILLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,1,1
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,2,2
LLALLAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,6,10,16
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,2,2
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,9,20,29
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,26,29
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,0,2
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,5,23,28
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,5,66,71
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,10,257,267
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,5,19,24
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,50,500,550
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,7,52,59
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,29,31
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,25,25
PAMPA GRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,15,15
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,16,76,92
PAZÑA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,13,27,40
POJO (CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,8,8
POOPO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,12,12
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,5,6
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,6,4,10
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,20,22
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,8,71,79
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,12,12
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,11,19,30
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,32,52,84
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,37,37
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,5,54,59
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,11,253,264
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,6,142,148
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,2,4
REYES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,4,4
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,550,550
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,11,76,87
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,54,57
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,13,444,457
SACACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,14,14
SAMAIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,8,8
SAN ANTONIO DE LOMERIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,3,3
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,17,19
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,15,18
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,12,42,54
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,35,103,138
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,41,43
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,33,69,102
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,1,2
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,6,7
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,16,16
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,31,31
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,73,75
SAN MATIAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,42,42
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,27,27
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,4,28,32
SAN PEDRO DE BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,1,3
SAN RAFAEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,24,24
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,292,1532,1824
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,32,32
SANTIAGO DE MACHACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,4,4
SANTUARIO DE QUILLACAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,1,1
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,26,29
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,18,16,34
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,2,2
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,8,32,40
SORACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,7,7
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,69,701,770
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,23,25
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,10,25,35
TARATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,2,3
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,57,230,287
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,18,18
TEOPONTE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,17,17
TIAWANACU,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,37,38
TIPUANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,17,17
TOCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,8,8
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,7,8
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,9,9
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,12,12
TOTORA(CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,42,43
TOTORA(ORR),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,7,7
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,234,335,569
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,22,22
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,10,12
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,1,2
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,5,24,29
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,14,16
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,5,7
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,20,20
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,1,1
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,5,7,12
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,32,33
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,13,349,362
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,13,13
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,193,196
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,52,235,287
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,40,195,235
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,13,13
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,5,5
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,10,11
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,7,8
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,5,2,7
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,15,17
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,10,12
ANZALDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,0,1
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,29,30
ARAMPAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,4,4
ARBIETO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,7,8
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,97,162,259
AYOPAYA (V. DE INDEPENDENCIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,33,34
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,13,15
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,58,58
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,1,1
BOLIVAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,8,9
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,4,9,13
BOYUIBE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,15,16
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,24,42,66
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,3,50,53
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,1,2
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,18,19
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,16,151,167
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,9,10
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,14,15
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,18,20
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,6,41,47
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,68,68
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,5,335,340
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,66,1077,1143
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,100,0,100
COLQUECHACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,14,16
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,3,4
CORO CORO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,7,16,23
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,2,3
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,2,2
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,62,64
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,51,52
CUEVO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,3,3
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,49,49
DESAGUADERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,15,15
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,229,2230,2459
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,18,45,63
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,2,2
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,158,177,335
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,7,7
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,8,22,30
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,3,3
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,11,23,34
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,202,316,518
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,28,28
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,6,6
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,8,8
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,4,50,54
HUARINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,12,12
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,6,20,26
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,16,16
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,6,18,24
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,21,21
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,63,65
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,12,126,138
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,427,1241,1668
LAGUNILLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,1,1
LURIBAY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,17,22,39
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,4,4
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,15,21,36
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,23,24
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,10,12
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,7,7
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,10,68,78
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,6,228,234
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,10,25,35
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,9,10,19
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,122,344,466
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,24,24
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,4,22,26
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,7,79,86
PAMPA GRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,25,25
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,37,89,126
POJO (CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,3,6,9
POOPO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,5,6
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,5,5
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,34,35
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,4,1,5
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,8,8
POSTRER VALLE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,2,2
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,10,65,75
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,7,7
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,110,54,164
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,10,10,20
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,33,34
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,4,225,229
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,6,160,166
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,5,11,16
REYES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,13,13
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,2,504,506
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,36,36
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,43,44
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,14,422,436
SACABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,2,2
SACACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,0,13,13
SAMAIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,1,14,15
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,8,63,71
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,6,23,29
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-02-01,139,128,267
