,group,variable,month,TOTAL DE 1 A MENORES DE 5 AÑOS VIVAX,TOTAL DE 1 A MENORES DE 5 AÑOS VIVAX,TOTAL DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTAL DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-02-01,1,2,0,0,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 1 a menores de 5 anos,2015-02-01,2,0,0,0,2,0,2
PORONGO,malaria,total de 1 a menores de 5 anos,2015-02-01,0,1,0,0,0,1,1
PORVENIR,malaria,total de 1 a menores de 5 anos,2015-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-02-01,1,3,0,0,1,3,4
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-02-01,3,0,0,0,3,0,3
SENA,malaria,total de 1 a menores de 5 anos,2015-02-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,total de 1 a menores de 5 anos,2015-02-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,total de 1 a menores de 5 anos,2015-03-01,1,2,0,0,1,2,3
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-03-01,2,0,0,1,2,1,3
MAGDALENA,malaria,total de 1 a menores de 5 anos,2015-03-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-03-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 1 a menores de 5 anos,2015-03-01,3,0,0,0,3,0,3
REYES,malaria,total de 1 a menores de 5 anos,2015-03-01,0,1,0,0,0,1,1
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-03-01,3,1,0,0,3,1,4
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-03-01,5,4,0,0,5,4,9
SAN LUCAS,malaria,total de 1 a menores de 5 anos,2015-03-01,3,0,0,0,3,0,3
SENA,malaria,total de 1 a menores de 5 anos,2015-03-01,5,2,0,0,5,2,7
VILLA NUEVA (LOMA ALTA),malaria,total de 1 a menores de 5 anos,2015-03-01,1,1,0,0,1,1,2
YACUIBA,malaria,total de 1 a menores de 5 anos,2015-03-01,15,14,0,0,15,14,29
EUREKA (SANTOS MERCADO),malaria,total de 1 a menores de 5 anos,2015-04-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-04-01,0,3,0,0,0,3,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-04-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 1 a menores de 5 anos,2015-04-01,2,0,0,0,2,0,2
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-04-01,4,1,0,0,4,1,5
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-04-01,9,8,0,0,9,8,17
SAN LUCAS,malaria,total de 1 a menores de 5 anos,2015-04-01,0,6,0,0,0,6,6
SENA,malaria,total de 1 a menores de 5 anos,2015-04-01,4,5,0,0,4,5,9
YACUIBA,malaria,total de 1 a menores de 5 anos,2015-04-01,11,15,0,0,11,15,26
AZURDUY,malaria,total de 1 a menores de 5 anos,2015-05-01,1,0,0,0,1,0,1
BELLA FLOR,malaria,total de 1 a menores de 5 anos,2015-05-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,total de 1 a menores de 5 anos,2015-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-05-01,1,2,1,0,2,2,4
INGAVI (HUMAITA),malaria,total de 1 a menores de 5 anos,2015-05-01,0,1,0,0,0,1,1
LA GUARDIA,malaria,total de 1 a menores de 5 anos,2015-05-01,0,0,3,0,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-05-01,3,1,0,0,3,1,4
PORVENIR,malaria,total de 1 a menores de 5 anos,2015-05-01,1,0,0,0,1,0,1
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-05-01,21,19,0,0,21,19,40
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-05-01,2,2,0,0,2,2,4
SAN LORENZO(PND),malaria,total de 1 a menores de 5 anos,2015-05-01,1,1,0,0,1,1,2
SAN PEDRO(PND),malaria,total de 1 a menores de 5 anos,2015-05-01,1,0,0,0,1,0,1
SENA,malaria,total de 1 a menores de 5 anos,2015-05-01,2,2,0,0,2,2,4
VILLA NUEVA (LOMA ALTA),malaria,total de 1 a menores de 5 anos,2015-05-01,0,1,0,0,0,1,1
YACUIBA,malaria,total de 1 a menores de 5 anos,2015-05-01,11,10,0,0,11,10,21
COBIJA,malaria,total de 1 a menores de 5 anos,2015-06-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,total de 1 a menores de 5 anos,2015-06-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-06-01,5,7,0,1,5,8,13
MAGDALENA,malaria,total de 1 a menores de 5 anos,2015-06-01,0,1,0,0,0,1,1
MONTERO,malaria,total de 1 a menores de 5 anos,2015-06-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-06-01,2,1,0,0,2,1,3
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-06-01,5,2,0,0,5,2,7
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-06-01,4,2,0,0,4,2,6
SAN LORENZO(PND),malaria,total de 1 a menores de 5 anos,2015-06-01,0,2,0,0,0,2,2
SAN LUCAS,malaria,total de 1 a menores de 5 anos,2015-06-01,1,0,0,0,1,0,1
SENA,malaria,total de 1 a menores de 5 anos,2015-06-01,3,2,0,0,3,2,5
VILLA NUEVA (LOMA ALTA),malaria,total de 1 a menores de 5 anos,2015-06-01,0,1,0,0,0,1,1
YACUIBA,malaria,total de 1 a menores de 5 anos,2015-06-01,10,13,0,0,10,13,23
AIQUILE,malaria,total de 1 a menores de 5 anos,2015-07-01,0,1,0,0,0,1,1
BUENA VISTA,malaria,total de 1 a menores de 5 anos,2015-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-07-01,5,12,1,0,6,12,18
MONTERO,malaria,total de 1 a menores de 5 anos,2015-07-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-07-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 1 a menores de 5 anos,2015-07-01,4,0,0,0,4,0,4
PUERTO RICO,malaria,total de 1 a menores de 5 anos,2015-07-01,0,1,0,0,0,1,1
REYES,malaria,total de 1 a menores de 5 anos,2015-07-01,0,2,0,0,0,2,2
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-07-01,3,3,0,0,3,3,6
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-07-01,2,3,0,0,2,3,5
SAN LORENZO(PND),malaria,total de 1 a menores de 5 anos,2015-07-01,2,0,0,0,2,0,2
SENA,malaria,total de 1 a menores de 5 anos,2015-07-01,4,4,0,0,4,4,8
EUREKA (SANTOS MERCADO),malaria,total de 1 a menores de 5 anos,2015-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-08-01,9,6,0,0,9,6,15
MAGDALENA,malaria,total de 1 a menores de 5 anos,2015-08-01,0,1,0,0,0,1,1
MONTERO,malaria,total de 1 a menores de 5 anos,2015-08-01,0,0,0,0,0,0,0
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 1 a menores de 5 anos,2015-08-01,2,1,0,0,2,1,3
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-08-01,1,1,0,0,1,1,2
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-08-01,8,7,0,0,8,7,15
SAN LORENZO(PND),malaria,total de 1 a menores de 5 anos,2015-08-01,0,2,0,0,0,2,2
SENA,malaria,total de 1 a menores de 5 anos,2015-08-01,1,4,0,0,1,4,5
VILLA NUEVA (LOMA ALTA),malaria,total de 1 a menores de 5 anos,2015-08-01,2,0,0,0,2,0,2
CONCEPCION,malaria,total de 1 a menores de 5 anos,2015-09-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,malaria,total de 1 a menores de 5 anos,2015-09-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,total de 1 a menores de 5 anos,2015-09-01,3,0,0,0,3,0,3
FILADELFIA,malaria,total de 1 a menores de 5 anos,2015-09-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-09-01,5,5,0,0,5,5,10
MAGDALENA,malaria,total de 1 a menores de 5 anos,2015-09-01,0,2,0,0,0,2,2
MONTERO,malaria,total de 1 a menores de 5 anos,2015-09-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-09-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 1 a menores de 5 anos,2015-09-01,2,0,0,0,2,0,2
PORVENIR,malaria,total de 1 a menores de 5 anos,2015-09-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,total de 1 a menores de 5 anos,2015-09-01,1,0,0,0,1,0,1
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-09-01,8,5,0,0,8,5,13
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-09-01,4,2,0,0,4,2,6
SAN LORENZO(PND),malaria,total de 1 a menores de 5 anos,2015-09-01,1,3,0,0,1,3,4
SAN LUCAS,malaria,total de 1 a menores de 5 anos,2015-09-01,2,0,0,0,2,0,2
SENA,malaria,total de 1 a menores de 5 anos,2015-09-01,5,0,0,0,5,0,5
COCHABAMBA,malaria,total de 1 a menores de 5 anos,2015-10-01,0,0,0,1,0,1,1
ENTRE RIOS TRJ,malaria,total de 1 a menores de 5 anos,2015-10-01,1,0,0,1,1,1,2
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-10-01,5,2,0,0,5,2,7
INGAVI (HUMAITA),malaria,total de 1 a menores de 5 anos,2015-10-01,3,0,0,0,3,0,3
MAGDALENA,malaria,total de 1 a menores de 5 anos,2015-10-01,0,1,0,0,0,1,1
MONTERO,malaria,total de 1 a menores de 5 anos,2015-10-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-10-01,1,1,0,0,1,1,2
PORVENIR,malaria,total de 1 a menores de 5 anos,2015-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-10-01,10,6,0,0,10,6,16
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-10-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,total de 1 a menores de 5 anos,2015-10-01,80,0,0,0,80,0,80
SAN LUCAS,malaria,total de 1 a menores de 5 anos,2015-10-01,1,0,0,0,1,0,1
SENA,malaria,total de 1 a menores de 5 anos,2015-10-01,2,1,0,0,2,1,3
VILLA TUNARI,malaria,total de 1 a menores de 5 anos,2015-10-01,0,0,15,0,15,0,15
EUREKA (SANTOS MERCADO),malaria,total de 1 a menores de 5 anos,2015-11-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-11-01,3,1,0,0,3,1,4
MAGDALENA,malaria,total de 1 a menores de 5 anos,2015-11-01,0,1,0,0,0,1,1
MONTERO,malaria,total de 1 a menores de 5 anos,2015-11-01,0,0,0,0,0,0,0
PUERTO GONZALO MORENO,malaria,total de 1 a menores de 5 anos,2015-11-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,total de 1 a menores de 5 anos,2015-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-11-01,7,5,0,0,7,5,12
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-11-01,1,1,0,0,1,1,2
SAN LORENZO(PND),malaria,total de 1 a menores de 5 anos,2015-11-01,1,2,0,0,1,2,3
SAN LUCAS,malaria,total de 1 a menores de 5 anos,2015-11-01,1,0,0,0,1,0,1
SENA,malaria,total de 1 a menores de 5 anos,2015-11-01,2,1,0,0,2,1,3
COBIJA,malaria,total de 1 a menores de 5 anos,2015-12-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,total de 1 a menores de 5 anos,2015-12-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-12-01,1,1,0,0,1,1,2
MONTERO,malaria,total de 1 a menores de 5 anos,2015-12-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-12-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,total de 1 a menores de 5 anos,2015-12-01,0,1,0,0,0,1,1
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-12-01,18,23,0,0,18,23,41
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-12-01,2,0,0,0,2,0,2
SAN LORENZO(PND),malaria,total de 1 a menores de 5 anos,2015-12-01,1,3,0,0,1,3,4
SENA,malaria,total de 1 a menores de 5 anos,2015-12-01,3,3,0,0,3,3,6
