,group,variable,month,TOTAL MUJER EMBARAZADA VIVAX,TOTAL MUJER EMBARAZADA VIVAX,TOTAL MUJER EMBARAZADA FALCIPARUM,TOTAL MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,malaria,total mujer embarazada,2015-05-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),malaria,total mujer embarazada,2015-05-01,0,1,0,0,0,1,1
PORONGO,malaria,total mujer embarazada,2015-05-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,total mujer embarazada,2015-05-01,0,1,0,0,0,1,1
REYES,malaria,total mujer embarazada,2015-05-01,0,2,0,0,0,2,2
RIBERALTA,malaria,total mujer embarazada,2015-05-01,0,3,0,0,0,3,3
SAIPINA,malaria,total mujer embarazada,2015-05-01,0,8,0,0,0,8,8
SAN LORENZO(PND),malaria,total mujer embarazada,2015-05-01,0,1,0,0,0,1,1
SENA,malaria,total mujer embarazada,2015-05-01,0,2,0,0,0,2,2
VILLA CHARCAS,malaria,total mujer embarazada,2015-05-01,0,0,0,2,0,2,2
YACUIBA,malaria,total mujer embarazada,2015-05-01,0,5,0,0,0,5,5
GUAYARAMERIN,malaria,total mujer embarazada,2015-06-01,0,25,0,0,0,25,25
INGAVI (HUMAITA),malaria,total mujer embarazada,2015-06-01,0,1,0,0,0,1,1
MONTERO,malaria,total mujer embarazada,2015-06-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total mujer embarazada,2015-06-01,0,6,0,0,0,6,6
SAIPINA,malaria,total mujer embarazada,2015-06-01,0,11,0,0,0,11,11
YACUIBA,malaria,total mujer embarazada,2015-06-01,0,12,0,0,0,12,12
GUAYARAMERIN,malaria,total mujer embarazada,2015-07-01,0,12,0,0,0,12,12
MONTERO,malaria,total mujer embarazada,2015-07-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total mujer embarazada,2015-07-01,0,1,0,0,0,1,1
SAIPINA,malaria,total mujer embarazada,2015-07-01,0,7,0,0,0,7,7
TARIJA,malaria,total mujer embarazada,2015-07-01,0,1,0,2,0,3,3
GUAYARAMERIN,malaria,total mujer embarazada,2015-08-01,0,15,0,0,0,15,15
MONTERO,malaria,total mujer embarazada,2015-08-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total mujer embarazada,2015-08-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,total mujer embarazada,2015-09-01,0,18,0,0,0,18,18
MONTERO,malaria,total mujer embarazada,2015-09-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total mujer embarazada,2015-09-01,0,2,0,0,0,2,2
SAIPINA,malaria,total mujer embarazada,2015-09-01,0,17,0,0,0,17,17
SENA,malaria,total mujer embarazada,2015-09-01,0,1,0,0,0,1,1
TARIJA,malaria,total mujer embarazada,2015-09-01,0,30,0,23,0,53,53
GUAYARAMERIN,malaria,total mujer embarazada,2015-10-01,0,1,0,0,0,1,1
MONTERO,malaria,total mujer embarazada,2015-10-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total mujer embarazada,2015-10-01,0,2,0,0,0,2,2
SAIPINA,malaria,total mujer embarazada,2015-10-01,0,14,0,0,0,14,14
GUAYARAMERIN,malaria,total mujer embarazada,2015-11-01,0,25,0,0,0,25,25
MONTERO,malaria,total mujer embarazada,2015-11-01,0,0,0,0,0,0,0
PUERTO GONZALO MORENO,malaria,total mujer embarazada,2015-11-01,0,2,0,0,0,2,2
SAIPINA,malaria,total mujer embarazada,2015-11-01,0,4,0,0,0,4,4
MONTERO,malaria,total mujer embarazada,2015-12-01,0,0,0,0,0,0,0
PUNA,malaria,total mujer embarazada,2015-12-01,0,0,0,6,0,6,6
SAIPINA,malaria,total mujer embarazada,2015-12-01,0,3,0,0,0,3,3
