,group,variable,month,TOTAL DE 5 AÑOS Y MÁS VIVAX,TOTAL DE 5 AÑOS Y MÁS VIVAX,TOTAL DE 5 AÑOS Y MÁS FALCIPARUM,TOTAL DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
SENA,malaria,total de 5 anos y mas,2015-01-01,22,11,0,0,22,11,33
VALLEGRANDE,malaria,total de 5 anos y mas,2015-01-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-01-01,7,6,0,0,7,6,13
AZURDUY,malaria,total de 5 anos y mas,2015-02-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,total de 5 anos y mas,2015-02-01,5,3,0,0,5,3,8
COBIJA,malaria,total de 5 anos y mas,2015-02-01,3,2,0,0,3,2,5
CONCEPCION,malaria,total de 5 anos y mas,2015-02-01,15,23,0,0,15,23,38
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-02-01,6,2,0,0,6,2,8
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-02-01,160,11,1,2,161,13,174
HUACARETA,malaria,total de 5 anos y mas,2015-02-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-02-01,3,1,0,0,3,1,4
LA PAZ,malaria,total de 5 anos y mas,2015-02-01,3,1,0,0,3,1,4
MAGDALENA,malaria,total de 5 anos y mas,2015-02-01,1,2,0,0,1,2,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-02-01,16,8,0,0,16,8,24
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-02-01,14,12,0,0,14,12,26
PALOS BLANCOS,malaria,total de 5 anos y mas,2015-02-01,0,1,0,0,0,1,1
PORVENIR,malaria,total de 5 anos y mas,2015-02-01,2,2,0,0,2,2,4
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-02-01,4,2,0,0,4,2,6
PUERTO RICO,malaria,total de 5 anos y mas,2015-02-01,7,2,0,0,7,2,9
RIBERALTA,malaria,total de 5 anos y mas,2015-02-01,56,22,1,0,57,22,79
SAIPINA,malaria,total de 5 anos y mas,2015-02-01,23,42,0,0,23,42,65
SAN IGNACIO DE VELASCO,malaria,total de 5 anos y mas,2015-02-01,0,4,0,0,0,4,4
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-02-01,1,1,0,0,1,1,2
SENA,malaria,total de 5 anos y mas,2015-02-01,23,15,0,0,23,15,38
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-02-01,4,8,0,0,4,8,12
YACUIBA,malaria,total de 5 anos y mas,2015-02-01,1,2,0,0,1,2,3
YAPACANI,malaria,total de 5 anos y mas,2015-02-01,1,0,0,0,1,0,1
AIQUILE,malaria,total de 5 anos y mas,2015-03-01,1,0,0,0,1,0,1
AZURDUY,malaria,total de 5 anos y mas,2015-03-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,total de 5 anos y mas,2015-03-01,3,1,0,0,3,1,4
BUENA VISTA,malaria,total de 5 anos y mas,2015-03-01,2,0,0,0,2,0,2
COBIJA,malaria,total de 5 anos y mas,2015-03-01,9,4,0,0,9,4,13
CONCEPCION,malaria,total de 5 anos y mas,2015-03-01,27,16,0,0,27,16,43
CULPINA,malaria,total de 5 anos y mas,2015-03-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,malaria,total de 5 anos y mas,2015-03-01,3,0,0,0,3,0,3
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-03-01,6,5,0,0,6,5,11
FILADELFIA,malaria,total de 5 anos y mas,2015-03-01,3,0,0,0,3,0,3
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-03-01,50,10,0,0,50,10,60
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-03-01,1,2,0,0,1,2,3
MAGDALENA,malaria,total de 5 anos y mas,2015-03-01,1,1,0,0,1,1,2
MONTEAGUDO,malaria,total de 5 anos y mas,2015-03-01,3,2,0,0,3,2,5
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-03-01,18,10,0,0,18,10,28
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-03-01,16,4,0,0,16,4,20
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-03-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,total de 5 anos y mas,2015-03-01,5,1,0,0,5,1,6
REYES,malaria,total de 5 anos y mas,2015-03-01,9,1,0,0,9,1,10
RIBERALTA,malaria,total de 5 anos y mas,2015-03-01,52,34,0,0,52,34,86
SAIPINA,malaria,total de 5 anos y mas,2015-03-01,28,73,0,0,28,73,101
SAN IGNACIO,malaria,total de 5 anos y mas,2015-03-01,0,0,1,0,1,0,1
SAN LUCAS,malaria,total de 5 anos y mas,2015-03-01,6,0,0,0,6,0,6
SAN PEDRO(PND),malaria,total de 5 anos y mas,2015-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,total de 5 anos y mas,2015-03-01,33,46,0,0,33,46,79
SENA,malaria,total de 5 anos y mas,2015-03-01,20,24,0,0,20,24,44
TOMINA,malaria,total de 5 anos y mas,2015-03-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-03-01,8,6,0,0,8,6,14
YACUIBA,malaria,total de 5 anos y mas,2015-03-01,2,0,0,0,2,0,2
AIQUILE,malaria,total de 5 anos y mas,2015-04-01,1,1,0,0,1,1,2
AZURDUY,malaria,total de 5 anos y mas,2015-04-01,4,2,0,0,4,2,6
BUENA VISTA,malaria,total de 5 anos y mas,2015-04-01,2,0,0,0,2,0,2
CARANAVI,malaria,total de 5 anos y mas,2015-04-01,1,0,0,0,1,0,1
COBIJA,malaria,total de 5 anos y mas,2015-04-01,6,4,0,0,6,4,10
CONCEPCION,malaria,total de 5 anos y mas,2015-04-01,10,14,0,0,10,14,24
CULPINA,malaria,total de 5 anos y mas,2015-04-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,malaria,total de 5 anos y mas,2015-04-01,0,0,6,4,6,4,10
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-04-01,7,2,0,0,7,2,9
FILADELFIA,malaria,total de 5 anos y mas,2015-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-04-01,15,8,1,2,16,10,26
HUACARETA,malaria,total de 5 anos y mas,2015-04-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-04-01,5,2,0,0,5,2,7
MAGDALENA,malaria,total de 5 anos y mas,2015-04-01,0,2,0,0,0,2,2
MOJOCOYA,malaria,total de 5 anos y mas,2015-04-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,total de 5 anos y mas,2015-04-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-04-01,21,12,0,0,21,12,33
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-04-01,13,6,0,0,13,6,19
PORVENIR,malaria,total de 5 anos y mas,2015-04-01,3,0,0,0,3,0,3
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-04-01,5,1,0,0,5,1,6
PUERTO RICO,malaria,total de 5 anos y mas,2015-04-01,6,2,0,0,6,2,8
REYES,malaria,total de 5 anos y mas,2015-04-01,6,4,0,0,6,4,10
RIBERALTA,malaria,total de 5 anos y mas,2015-04-01,115,35,0,0,115,35,150
SAIPINA,malaria,total de 5 anos y mas,2015-04-01,27,58,0,0,27,58,85
SAN BORJA,malaria,total de 5 anos y mas,2015-04-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,total de 5 anos y mas,2015-04-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-04-01,16,10,0,0,16,10,26
SAN LUCAS,malaria,total de 5 anos y mas,2015-04-01,2,6,0,0,2,6,8
SAN PEDRO(PND),malaria,total de 5 anos y mas,2015-04-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,total de 5 anos y mas,2015-04-01,2,0,0,0,2,0,2
SENA,malaria,total de 5 anos y mas,2015-04-01,32,17,0,0,32,17,49
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-04-01,5,4,0,0,5,4,9
YACUIBA,malaria,total de 5 anos y mas,2015-04-01,88,0,0,0,88,0,88
AIQUILE,malaria,total de 5 anos y mas,2015-05-01,1,0,0,0,1,0,1
AZURDUY,malaria,total de 5 anos y mas,2015-05-01,7,2,0,0,7,2,9
BAURES,malaria,total de 5 anos y mas,2015-05-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,total de 5 anos y mas,2015-05-01,6,1,0,0,6,1,7
COBIJA,malaria,total de 5 anos y mas,2015-05-01,8,1,0,0,8,1,9
CONCEPCION,malaria,total de 5 anos y mas,2015-05-01,19,18,0,0,19,18,37
ENTRE RIOS TRJ,malaria,total de 5 anos y mas,2015-05-01,1,1,0,0,1,1,2
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-05-01,1,3,0,0,1,3,4
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-05-01,55,26,10,9,65,35,100
HUACARETA,malaria,total de 5 anos y mas,2015-05-01,1,1,0,0,1,1,2
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-05-01,5,3,0,0,5,3,8
IXIAMAS,malaria,total de 5 anos y mas,2015-05-01,1,0,0,0,1,0,1
LA GUARDIA,malaria,total de 5 anos y mas,2015-05-01,0,0,0,1,0,1,1
MAGDALENA,malaria,total de 5 anos y mas,2015-05-01,2,1,0,0,2,1,3
MONTERO,malaria,total de 5 anos y mas,2015-05-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-05-01,34,10,0,0,34,10,44
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-05-01,3,8,0,0,3,8,11
PORVENIR,malaria,total de 5 anos y mas,2015-05-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-05-01,5,1,0,0,5,1,6
PUERTO RICO,malaria,total de 5 anos y mas,2015-05-01,4,2,0,0,4,2,6
RIBERALTA,malaria,total de 5 anos y mas,2015-05-01,156,97,3,0,159,97,256
SAIPINA,malaria,total de 5 anos y mas,2015-05-01,28,58,0,0,28,58,86
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-05-01,18,12,0,0,18,12,30
SAN LUCAS,malaria,total de 5 anos y mas,2015-05-01,4,4,0,0,4,4,8
SAN PEDRO(PND),malaria,total de 5 anos y mas,2015-05-01,1,2,0,0,1,2,3
SENA,malaria,total de 5 anos y mas,2015-05-01,24,14,0,0,24,14,38
VILLA MONTES,malaria,total de 5 anos y mas,2015-05-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-05-01,8,4,0,0,8,4,12
YACUIBA,malaria,total de 5 anos y mas,2015-05-01,59,88,0,0,59,88,147
ACACIO,malaria,total de 5 anos y mas,2015-06-01,0,2,0,0,0,2,2
AZURDUY,malaria,total de 5 anos y mas,2015-06-01,3,0,0,0,3,0,3
BELLA FLOR,malaria,total de 5 anos y mas,2015-06-01,2,1,0,0,2,1,3
CAMIRI,malaria,total de 5 anos y mas,2015-06-01,0,1,0,0,0,1,1
CARANAVI,malaria,total de 5 anos y mas,2015-06-01,1,1,0,0,1,1,2
COBIJA,malaria,total de 5 anos y mas,2015-06-01,6,1,0,0,6,1,7
CONCEPCION,malaria,total de 5 anos y mas,2015-06-01,13,10,0,0,13,10,23
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-06-01,5,4,0,0,5,4,9
FILADELFIA,malaria,total de 5 anos y mas,2015-06-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-06-01,68,37,1,0,69,37,106
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-06-01,3,1,0,0,3,1,4
MAGDALENA,malaria,total de 5 anos y mas,2015-06-01,4,6,0,0,4,6,10
MONTERO,malaria,total de 5 anos y mas,2015-06-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-06-01,28,23,0,0,28,23,51
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-06-01,13,9,0,0,13,9,22
PALOS BLANCOS,malaria,total de 5 anos y mas,2015-06-01,1,0,0,0,1,0,1
PORVENIR,malaria,total de 5 anos y mas,2015-06-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-06-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,total de 5 anos y mas,2015-06-01,3,1,0,0,3,1,4
REYES,malaria,total de 5 anos y mas,2015-06-01,3,1,0,0,3,1,4
RIBERALTA,malaria,total de 5 anos y mas,2015-06-01,49,41,0,0,49,41,90
SAIPINA,malaria,total de 5 anos y mas,2015-06-01,38,56,0,0,38,56,94
SAN BORJA,malaria,total de 5 anos y mas,2015-06-01,1,1,0,0,1,1,2
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-06-01,19,2,0,0,19,2,21
SAN LUCAS,malaria,total de 5 anos y mas,2015-06-01,1,0,0,0,1,0,1
SAN PEDRO(PND),malaria,total de 5 anos y mas,2015-06-01,1,1,0,0,1,1,2
SENA,malaria,total de 5 anos y mas,2015-06-01,18,8,0,0,18,8,26
VILLA MONTES,malaria,total de 5 anos y mas,2015-06-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-06-01,0,2,0,0,0,2,2
YACUIBA,malaria,total de 5 anos y mas,2015-06-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,total de 5 anos y mas,2015-07-01,3,0,0,0,3,0,3
COBIJA,malaria,total de 5 anos y mas,2015-07-01,4,1,0,0,4,1,5
CONCEPCION,malaria,total de 5 anos y mas,2015-07-01,26,26,0,0,26,26,52
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-07-01,4,6,0,0,4,6,10
FILADELFIA,malaria,total de 5 anos y mas,2015-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-07-01,52,43,6,7,58,50,108
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-07-01,8,2,0,0,8,2,10
MONTERO,malaria,total de 5 anos y mas,2015-07-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-07-01,22,18,0,0,22,18,40
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-07-01,11,2,0,0,11,2,13
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-07-01,3,3,0,0,3,3,6
PUERTO RICO,malaria,total de 5 anos y mas,2015-07-01,2,1,0,0,2,1,3
REYES,malaria,total de 5 anos y mas,2015-07-01,0,1,0,0,0,1,1
RIBERALTA,malaria,total de 5 anos y mas,2015-07-01,107,43,2,0,109,43,152
SAIPINA,malaria,total de 5 anos y mas,2015-07-01,25,58,0,0,25,58,83
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-07-01,12,11,0,0,12,11,23
SAN LORENZO(TJA),malaria,total de 5 anos y mas,2015-07-01,1,0,0,0,1,0,1
SAN PEDRO(PND),malaria,total de 5 anos y mas,2015-07-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,total de 5 anos y mas,2015-07-01,1,0,0,0,1,0,1
SENA,malaria,total de 5 anos y mas,2015-07-01,32,16,0,0,32,16,48
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-07-01,4,2,0,0,4,2,6
BELLA FLOR,malaria,total de 5 anos y mas,2015-08-01,0,1,0,0,0,1,1
COBIJA,malaria,total de 5 anos y mas,2015-08-01,9,4,0,0,9,4,13
CONCEPCION,malaria,total de 5 anos y mas,2015-08-01,28,21,0,0,28,21,49
ENTRE RIOS TRJ,malaria,total de 5 anos y mas,2015-08-01,4,2,0,0,4,2,6
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-08-01,5,3,0,0,5,3,8
FILADELFIA,malaria,total de 5 anos y mas,2015-08-01,3,2,0,0,3,2,5
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-08-01,43,26,1,3,44,29,73
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-08-01,5,11,0,0,5,11,16
MAGDALENA,malaria,total de 5 anos y mas,2015-08-01,11,3,0,0,11,3,14
MONTEAGUDO,malaria,total de 5 anos y mas,2015-08-01,0,1,0,0,0,1,1
MONTERO,malaria,total de 5 anos y mas,2015-08-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-08-01,14,12,0,0,14,12,26
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-08-01,8,4,0,0,8,4,12
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-08-01,4,3,0,0,4,3,7
PUERTO RICO,malaria,total de 5 anos y mas,2015-08-01,2,2,0,0,2,2,4
REYES,malaria,total de 5 anos y mas,2015-08-01,2,2,0,0,2,2,4
RIBERALTA,malaria,total de 5 anos y mas,2015-08-01,81,33,0,0,81,33,114
SAIPINA,malaria,total de 5 anos y mas,2015-08-01,82,97,0,0,82,97,179
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-08-01,13,8,0,0,13,8,21
SANTA CRUZ DE LA SIERRA,malaria,total de 5 anos y mas,2015-08-01,1,1,0,0,1,1,2
SENA,malaria,total de 5 anos y mas,2015-08-01,18,9,0,0,18,9,27
TEOPONTE,malaria,total de 5 anos y mas,2015-08-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-08-01,2,5,0,0,2,5,7
AIQUILE,malaria,total de 5 anos y mas,2015-09-01,2,0,0,0,2,0,2
CARANAVI,malaria,total de 5 anos y mas,2015-09-01,1,0,0,0,1,0,1
COBIJA,malaria,total de 5 anos y mas,2015-09-01,7,3,0,0,7,3,10
CONCEPCION,malaria,total de 5 anos y mas,2015-09-01,53,63,0,0,53,63,116
ENTRE RIOS TRJ,malaria,total de 5 anos y mas,2015-09-01,10,18,0,0,10,18,28
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-09-01,3,5,0,0,3,5,8
FILADELFIA,malaria,total de 5 anos y mas,2015-09-01,6,2,0,0,6,2,8
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-09-01,45,34,0,0,45,34,79
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-09-01,11,7,0,0,11,7,18
IXIAMAS,malaria,total de 5 anos y mas,2015-09-01,1,0,0,0,1,0,1
MAGDALENA,malaria,total de 5 anos y mas,2015-09-01,4,5,0,0,4,5,9
MONTERO,malaria,total de 5 anos y mas,2015-09-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-09-01,22,3,0,0,22,3,25
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-09-01,15,8,0,0,15,8,23
PORVENIR,malaria,total de 5 anos y mas,2015-09-01,3,10,0,0,3,10,13
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-09-01,4,8,0,0,4,8,12
PUERTO RICO,malaria,total de 5 anos y mas,2015-09-01,2,1,0,0,2,1,3
REYES,malaria,total de 5 anos y mas,2015-09-01,1,0,0,0,1,0,1
RIBERALTA,malaria,total de 5 anos y mas,2015-09-01,130,54,0,0,130,54,184
SAIPINA,malaria,total de 5 anos y mas,2015-09-01,77,82,0,0,77,82,159
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-09-01,25,20,0,0,25,20,45
SAN PEDRO(PND),malaria,total de 5 anos y mas,2015-09-01,0,1,0,0,0,1,1
SENA,malaria,total de 5 anos y mas,2015-09-01,28,23,0,0,28,23,51
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-09-01,4,3,0,0,4,3,7
BELLA FLOR,malaria,total de 5 anos y mas,2015-10-01,7,2,0,0,7,2,9
COBIJA,malaria,total de 5 anos y mas,2015-10-01,4,5,0,0,4,5,9
COCHABAMBA,malaria,total de 5 anos y mas,2015-10-01,0,2,0,1,0,3,3
ENTRE RIOS TRJ,malaria,total de 5 anos y mas,2015-10-01,0,10,12,0,12,10,22
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-10-01,4,3,0,0,4,3,7
FILADELFIA,malaria,total de 5 anos y mas,2015-10-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-10-01,53,18,0,0,53,18,71
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-10-01,7,5,0,0,7,5,12
LA GUARDIA,malaria,total de 5 anos y mas,2015-10-01,0,1,0,0,0,1,1
MAGDALENA,malaria,total de 5 anos y mas,2015-10-01,5,0,0,0,5,0,5
MONTERO,malaria,total de 5 anos y mas,2015-10-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-10-01,17,10,0,0,17,10,27
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-10-01,7,3,0,0,7,3,10
PORVENIR,malaria,total de 5 anos y mas,2015-10-01,11,8,0,0,11,8,19
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-10-01,4,3,0,0,4,3,7
PUERTO RICO,malaria,total de 5 anos y mas,2015-10-01,0,1,0,0,0,1,1
REYES,malaria,total de 5 anos y mas,2015-10-01,2,1,0,0,2,1,3
RIBERALTA,malaria,total de 5 anos y mas,2015-10-01,126,61,0,0,126,61,187
SAIPINA,malaria,total de 5 anos y mas,2015-10-01,23,34,0,0,23,34,57
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-10-01,2,2,0,0,2,2,4
SAN LUCAS,malaria,total de 5 anos y mas,2015-10-01,1,0,0,0,1,0,1
SAN MATIAS,malaria,total de 5 anos y mas,2015-10-01,6,14,0,0,6,14,20
SANTA ROSA,malaria,total de 5 anos y mas,2015-10-01,1,0,0,0,1,0,1
SENA,malaria,total de 5 anos y mas,2015-10-01,32,7,0,0,32,7,39
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-10-01,2,1,0,0,2,1,3
AIQUILE,malaria,total de 5 anos y mas,2015-11-01,1,0,0,0,1,0,1
BELLA FLOR,malaria,total de 5 anos y mas,2015-11-01,4,3,0,0,4,3,7
COBIJA,malaria,total de 5 anos y mas,2015-11-01,3,0,0,0,3,0,3
CONCEPCION,malaria,total de 5 anos y mas,2015-11-01,22,23,0,0,22,23,45
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-11-01,4,4,0,0,4,4,8
FILADELFIA,malaria,total de 5 anos y mas,2015-11-01,1,2,0,0,1,2,3
GUAYARAMERIN,malaria,total de 5 anos y mas,2015-11-01,28,23,0,0,28,23,51
INGAVI (HUMAITA),malaria,total de 5 anos y mas,2015-11-01,10,2,0,0,10,2,12
MAGDALENA,malaria,total de 5 anos y mas,2015-11-01,1,1,0,0,1,1,2
MONTERO,malaria,total de 5 anos y mas,2015-11-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 5 anos y mas,2015-11-01,13,8,0,0,13,8,21
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 5 anos y mas,2015-11-01,14,7,0,0,14,7,21
PORVENIR,malaria,total de 5 anos y mas,2015-11-01,3,2,0,0,3,2,5
PUERTO GONZALO MORENO,malaria,total de 5 anos y mas,2015-11-01,3,0,0,0,3,0,3
PUERTO RICO,malaria,total de 5 anos y mas,2015-11-01,2,2,0,0,2,2,4
PUNATA,malaria,total de 5 anos y mas,2015-11-01,1,0,11,9,12,9,21
REYES,malaria,total de 5 anos y mas,2015-11-01,1,2,0,0,1,2,3
RIBERALTA,malaria,total de 5 anos y mas,2015-11-01,128,93,0,0,128,93,221
SAIPINA,malaria,total de 5 anos y mas,2015-11-01,15,35,0,0,15,35,50
SAN LORENZO(PND),malaria,total de 5 anos y mas,2015-11-01,27,12,0,0,27,12,39
SAN MATIAS,malaria,total de 5 anos y mas,2015-11-01,22,21,0,0,22,21,43
SAN PEDRO(PND),malaria,total de 5 anos y mas,2015-11-01,2,1,0,0,2,1,3
SANTA ROSA,malaria,total de 5 anos y mas,2015-11-01,2,0,0,0,2,0,2
SENA,malaria,total de 5 anos y mas,2015-11-01,33,18,0,0,33,18,51
VILLA NUEVA (LOMA ALTA),malaria,total de 5 anos y mas,2015-11-01,0,1,0,0,0,1,1
YOTALA,malaria,total de 5 anos y mas,2015-11-01,0,0,4,1,4,1,5
BELLA FLOR,malaria,total de 5 anos y mas,2015-12-01,4,2,0,0,4,2,6
COBIJA,malaria,total de 5 anos y mas,2015-12-01,2,1,0,0,2,1,3
CONCEPCION,malaria,total de 5 anos y mas,2015-12-01,13,17,0,0,13,17,30
EUREKA (SANTOS MERCADO),malaria,total de 5 anos y mas,2015-12-01,3,0,0,0,3,0,3
