municipality,group,variable,month,"Tratamientos terminados en el mes, en niños (as) de 1 año a 14 años de edad",TOTAL
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,0,0
SIPE SIPE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,6,6
CHAQUI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,2,2
COTAGAITA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,4,4
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,2,2
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,6,6
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,6,6
MOJOCOYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,5,5
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,1,1
SACABA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,1,1
TIQUIPAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,1,1
TOTORA(CBBA),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,2,2
CAPINOTA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,4,4
COCHABAMBA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,2,2
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,3,3
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,1,1
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,1,1
MOJOCOYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,2,2
PAMPA GRANDE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,2,2
SACABA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,1,1
SAMAIPATA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,10,10
TARIJA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,41,41
TIQUIPAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,2,2
CAMATAQUI (C. VILLA ABECIA),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
COCHABAMBA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,9,9
COTAGAITA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,3,3
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,2,2
MOJOCOYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,16,16
PAMPA GRANDE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,10,10
SACABA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
SAMAIPATA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,15,15
VALLEGRANDE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,5,5
VINTO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,3,3
AIQUILE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,1,1
"CAIZA ""D""",chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,2,2
CHAQUI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,4,4
COCHABAMBA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,2,2
COLCAPIRHUA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,2,2
ICLA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,2,2
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,3,3
SAMAIPATA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,5,5
TARIJA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,100,100
TOTORA(CBBA),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,12,12
VINTO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,10,10
WARNES,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,2,2
BERMEJO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
"CAIZA ""D""",chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,11,11
CHAQUI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,6,6
COCHABAMBA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,3,3
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,3,3
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
PORONGO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,2,2
TARIJA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
TIQUIPAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,3,3
TOTORA(CBBA),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,15,15
URIONDO (A. CONCEPCION),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
VINTO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,2,2
CHAQUI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,4,4
CHARAGUA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,5,5
GUTIERREZ,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,2,2
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,1,1
MONTERO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,3,3
PAMPA GRANDE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,1,1
PORONGO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,0,0
SUCRE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,2,2
TARIJA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,15,15
TIQUIPAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,1,1
VALLEGRANDE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,1,1
VILLA TUNARI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,4,4
ARQUE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,10,10
"CAIZA ""D""",chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,2,2
CHAQUI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,2,2
CHARAGUA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,14,14
COTAGAITA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,6,6
ICLA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,2,2
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,6,6
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,2,2
PORONGO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,1,1
SACABA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,2,2
SIPE SIPE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,2,2
SUCRE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,7,7
TARIJA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,1,1
TIRAQUE (CBBA),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,1,1
URIONDO (A. CONCEPCION),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,2,2
VALLEGRANDE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,1,1
VILLA TUNARI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,1,1
VINTO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,2,2
WARNES,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
EL TORNO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,9,9
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,2,2
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,23,23
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,0,0
SIPE SIPE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
TIQUIPAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
TOTORA(CBBA),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,5,5
VALLEGRANDE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
VILLA TUNARI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
VINTO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,2,2
WARNES,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
CHARAGUA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,29,29
EL TORNO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,5,5
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,8,8
MIZQUE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,7,7
PADILLA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,2,2
SAN LORENZO(TJA),chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,32,32
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
VALLEGRANDE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,3,3
VINTO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
WARNES,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
ARQUE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,33,33
CHAQUI,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,1,1
EL TORNO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,6,6
LA GUARDIA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,5,5
MAIRANA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,1,1
PADCAYA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,24,24
RAVELO,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,39,39
TARIJA,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,64,64
VALLEGRANDE,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,4,4
WARNES,chagas,"tratamientos terminados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,5,5
