municipality,group,variable,month,"Tratamientos iniciados en el mes, de recien nacido a menores de 1 año",TOTAL
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,1,1
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-05-01,3,3
CAMIRI,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-06-01,1,1
MIZQUE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-06-01,3,3
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-06-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-06-01,1,1
SAN LORENZO(TJA),chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-06-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-06-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-06-01,1,1
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-06-01,2,2
AIQUILE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-07-01,1,1
COCHABAMBA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-07-01,2,2
ENTRE RIOS,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-07-01,1,1
MIZQUE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-07-01,1,1
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-07-01,2,2
PUNATA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-07-01,1,1
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-07-01,1,1
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-07-01,3,3
CORIPATA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-08-01,1,1
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-08-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-08-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-08-01,1,1
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-08-01,3,3
COCHABAMBA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-09-01,2,2
IRUPANA (VILLA DE LANZA),chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-09-01,1,1
MIZQUE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-09-01,1,1
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-09-01,2,2
SACABA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-09-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-09-01,1,1
AIQUILE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-10-01,2,2
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-10-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-10-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-10-01,2,2
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-10-01,3,3
AIQUILE,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-11-01,1,1
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-11-01,1,1
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-11-01,1,1
PUERTO VILLARROEL,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-11-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-11-01,3,3
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-11-01,0,0
TARATA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-11-01,1,1
CAPINOTA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,1,1
COCHABAMBA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,1,1
PUERTO VILLARROEL,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,2,2
SAN LUCAS,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,1,1
TARIJA,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,12,12
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,1,1
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,2,2
ZUDAÑEZ,chagas,"tratamientos iniciados en el mes, de recien nacido a menores de 1 ano",2009-12-01,1,1
