municipality,group,variable,month,"Tratamientos iniciados en el mes, en niños (as) de 1 año a 14 años de edad",TOTAL
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,4,4
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,1,1
MOJOCOYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,7,7
SACABA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,0,0
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,2,2
TARIJA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-02-01,42,42
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,5,5
CHAQUI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,1,1
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,11,11
COTAGAITA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,5,5
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,2,2
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,14,14
MOJOCOYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,15,15
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,3,3
PAMPA GRANDE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,3,3
PASORAPA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,4,4
SAMAIPATA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,11,11
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,0,0
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,1,1
TOTORA(CBBA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-03-01,16,16
ALCALA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,10,10
"CAIZA ""D""",chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,7,7
CAPINOTA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,5,5
CHAQUI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,12,12
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,6,6
ICLA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,2,2
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,3,3
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,3,3
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,1,1
SAMAIPATA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,23,23
SAN LUCAS,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,2,2
TARIJA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,118,118
TOTORA(CBBA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,39,39
VINTO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,18,18
WARNES,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-04-01,3,3
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
"CAIZA ""D""",chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,3,3
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,7,7
IRUPANA (VILLA DE LANZA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,3,3
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,2,2
SAMAIPATA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,3,3
TARIJA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,15,15
TOTORA(CBBA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,11,11
VALLEGRANDE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,1,1
VINTO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,2,2
WARNES,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,7,7
YOTALA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-05-01,2,2
BERMEJO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,1,1
CHARAGUA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,15,15
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,2,2
COTAGAITA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,1,1
GUTIERREZ,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,6,6
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,7,7
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,7,7
PAMPA GRANDE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,1,1
PORONGO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,4,4
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,1,1
TARATA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,1,1
TARIJA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,3,3
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,1,1
TOTORA(CBBA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,3,3
VALLEGRANDE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,1,1
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,7,7
VINTO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,7,7
WARNES,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-06-01,2,2
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
CHAQUI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,2,2
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,2,2
COTAGAITA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
EL TORNO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,3,3
ICLA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,2,2
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,7,7
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,2,2
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
MONTERO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,3,3
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,2,2
PORONGO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,0,0
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,3,3
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,8,8
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,1,1
TOMINA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,14,14
TOTORA(CBBA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,7,7
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,3,3
VINTO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-07-01,8,8
ARQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,10,10
"CAIZA ""D""",chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,2,2
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,1,1
EL TORNO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,14,14
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,6,6
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,1,1
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,2,2
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,26,26
SAN LORENZO(TJA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,16,16
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,0,0
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,2,2
TUPIZA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,1,1
VALLEGRANDE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,11,11
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,2,2
WARNES,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-08-01,1,1
CHARAGUA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,12,12
EL TORNO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,10,10
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,10,10
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,4,4
SAIPINA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,1,1
SAN LORENZO(TJA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,10,10
SAN LUCAS,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,3,3
VALLEGRANDE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,5,5
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,2,2
VINTO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,9,9
YACUIBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,1,1
YOTALA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-09-01,8,8
CHAQUI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,2,2
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
COTAGAITA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
EL TORNO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,14,14
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,3,3
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,9,9
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,11,11
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,7,7
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,24,24
PUERTO VILLARROEL,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,5,5
RAVELO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,36,36
SAIPINA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,0,0
TARIJA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,67,67
TOTORA(CBBA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,23,23
VALLEGRANDE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,17,17
WARNES,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-10-01,8,8
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,2,2
CAMARGO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
CHARAGUA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,18,18
CHULUMANI (V. DE LA LIBERTAD),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,4,4
CLIZA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
EL TORNO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,11,11
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,5,5
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,2,2
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
PADILLA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
POJO (CBBA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,2,2
PUNA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,24,24
RAVELO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,13,13
SAIPINA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,4,4
SAN LORENZO(TJA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,32,32
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,0,0
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
TARIJA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
TOLATA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
TORO TORO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,5,5
TUPIZA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
VALLEGRANDE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,8,8
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,2,2
VINTO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,5,5
WARNES,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-11-01,4,4
ARQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,38,38
CHAQUI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,1,1
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,3,3
EL TORNO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,9,9
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,3,3
OCURI,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,2,2
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,2,2
PADILLA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,2,2
PAILON,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,6,6
PUERTO VILLARROEL,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,1,1
PUNA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,14,14
RAVELO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,10,10
SACABA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,1,1
SAIPINA,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,3,3
SAN LUCAS,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,2,2
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,1,1
TORO TORO,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,29,29
VALLEGRANDE,chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),chagas,"tratamientos iniciados en el mes, en ninos (as) de 1 ano a 14 anos de edad",2009-12-01,7,7
