,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-06-01,0,0,1,0,1,0,1
VILLA MONTES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-06-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-07-01,1,0,0,0,1,0,1
GUAYARAMERIN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-07-01,2,0,0,0,2,0,2
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-07-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-07-01,1,1,0,0,1,1,2
TARVITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-07-01,2,0,0,0,2,0,2
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-07-01,0,0,1,0,1,0,1
VINTO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-07-01,0,0,0,1,0,1,1
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-07-01,0,2,0,0,0,2,2
MOROCHATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-08-01,1,0,0,0,1,0,1
RAVELO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-08-01,0,0,1,1,1,1,2
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-08-01,0,1,0,0,0,1,1
SAN JULIAN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-08-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-08-01,0,0,1,0,1,0,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-08-01,0,0,2,0,2,0,2
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-09-01,0,0,1,0,1,0,1
MOROCHATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-09-01,0,0,1,0,1,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-09-01,0,0,0,1,0,1,1
TARABUCO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-09-01,1,0,0,0,1,0,1
TARVITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-09-01,0,0,2,0,2,0,2
ZUDAÑEZ,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-09-01,1,1,0,0,1,1,2
ALCALA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,0,1,0,0,0,1,1
"CAIZA ""D""",chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,1,1,0,0,1,1,2
COCAPATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,0,0,1,1,1,1,2
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,1,0,0,0,1,0,1
SAN JULIAN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,1,0,0,0,1,0,1
VILLA MONTES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,5,0,0,0,5,0,5
VILLA SERRANO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,2,2,0,0,2,2,4
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,0,1,0,0,0,1,1
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-10-01,1,0,0,0,1,0,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-11-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-11-01,1,0,0,0,1,0,1
CULPINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-11-01,1,1,0,0,1,1,2
MAIRANA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-11-01,1,0,0,0,1,0,1
SANTIVAÑES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-11-01,0,1,0,0,0,1,1
TARABUCO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-11-01,0,0,1,0,1,0,1
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-11-01,0,0,0,1,0,1,1
ZUDAÑEZ,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-11-01,0,0,1,0,1,0,1
ALCALA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-12-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-12-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-12-01,0,4,0,2,0,6,6
TARATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-12-01,1,0,0,0,1,0,1
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-12-01,0,1,0,0,0,1,1
VILLA SERRANO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2018-12-01,0,0,1,1,1,1,2
